variable,onset_date,peak_date,peak_dev,first_normalization,sustained_normalization,post_event_max_absz,residue_overshoot
slope_FIELD,2021-12-16,2022-05-21,1.29,2022-05-22,2022-05-22,5.375,2.375
ceiling_FIELD,2021-12-19,2022-02-25,3.375,2022-05-12,2022-05-12,3.375,0.375
onset_FIELD,2021-12-16,2022-05-21,4.615,2022-06-12,2022-06-12,2.853,0.0
slope_patch_mean,2021-12-16,2022-05-21,1.306,2022-05-22,2022-05-22,5.007,2.007
ceiling_patch_mean,2021-12-22,2022-03-22,3.126,2022-04-29,2022-04-29,2.742,0.0
onset_patch_mean,2021-12-16,2022-05-21,4.745,2022-06-08,2022-06-08,2.419,0.0
exit_entropy,2021-12-16,2022-01-28,1.263,2022-01-29,2022-01-29,3.129,0.129
exit_p1,2021-12-16,2022-02-11,2.437,2022-02-12,2022-02-12,1.135,0.0
recruitment,2021-12-16,2022-02-24,17.537,2022-03-22,2022-03-22,0.674,0.0
demand,2021-12-16,2022-03-15,0.02,2022-03-16,2022-03-16,1.433,0.0
propagation,2021-12-16,2022-04-17,1.574,2022-04-18,2022-04-18,1.574,0.0
reentry,2021-12-16,2022-03-21,0.944,2022-03-22,2022-03-22,0.674,0.0
volatility,2021-12-16,2022-05-18,0.65,2022-05-19,2022-05-19,2.282,0.0
breadth,2021-12-16,2022-04-03,2.476,2022-04-04,2022-04-04,2.257,0.0
