forcing_family,state,edge,pressure_change,pressure_sign,resolution_mechanism
BTC_ANCHOR_FORCING,6C_0,6C_0->6C_0,0.139,NEUTRAL,EDGE_PRUNING
CONCENTRATION_RELEASE_FORCING,6C_0,6C_0->6C_0,0.123,NEUTRAL,EDGE_PRUNING
DISPERSION_FORCING,6C_0,6C_0->6C_0,0.117,NEUTRAL,EDGE_PRUNING
ETH_RELATIVE_FORCING,6C_0,6C_0->6C_0,0.011,NEUTRAL,EDGE_PRUNING
PARTICIPATION_FORCING,6C_0,6C_0->6C_0,0.135,NEUTRAL,EDGE_PRUNING
PHYSICAL_DISTURBANCE_FORCING,6C_0,6C_0->6C_0,0.332,+LOAD,EDGE_PRUNING
RANK_RECRUITMENT_FORCING,6C_0,6C_0->6C_0,0.042,NEUTRAL,EDGE_PRUNING
STABLECOIN_CAPITAL_FORCING,6C_0,6C_0->6C_0,0.172,+LOAD,EDGE_PRUNING
VOLATILITY_FORCING,6C_0,6C_0->6C_0,0.078,NEUTRAL,EDGE_PRUNING
BTC_ANCHOR_FORCING,6C_1,6C_1->6C_1,-0.123,NEUTRAL,PRESSURE_CONCENTRATION
CONCENTRATION_RELEASE_FORCING,6C_1,6C_1->6C_1,0.187,+LOAD,PRESSURE_CONCENTRATION
DISPERSION_FORCING,6C_1,6C_1->6C_1,-0.232,-SUPPRESS,PRESSURE_CONCENTRATION
ETH_RELATIVE_FORCING,6C_1,6C_1->6C_1,0.01,NEUTRAL,PRESSURE_CONCENTRATION
PARTICIPATION_FORCING,6C_1,6C_1->6C_1,-0.057,NEUTRAL,PRESSURE_CONCENTRATION
PHYSICAL_DISTURBANCE_FORCING,6C_1,6C_1->6C_1,0.112,NEUTRAL,PRESSURE_CONCENTRATION
RANK_RECRUITMENT_FORCING,6C_1,6C_1->6C_1,-0.169,-SUPPRESS,PRESSURE_CONCENTRATION
STABLECOIN_CAPITAL_FORCING,6C_1,6C_1->6C_1,-0.021,NEUTRAL,PRESSURE_CONCENTRATION
VOLATILITY_FORCING,6C_1,6C_1->6C_1,0.011,NEUTRAL,PRESSURE_CONCENTRATION
BTC_ANCHOR_FORCING,6C_2,6C_2->6C_2,-0.152,-SUPPRESS,EDGE_PRUNING
CONCENTRATION_RELEASE_FORCING,6C_2,6C_2->6C_2,0.04,NEUTRAL,EDGE_PRUNING
DISPERSION_FORCING,6C_2,6C_2->6C_2,0.071,NEUTRAL,EDGE_PRUNING
ETH_RELATIVE_FORCING,6C_2,6C_2->6C_2,0.083,NEUTRAL,EDGE_PRUNING
PARTICIPATION_FORCING,6C_2,6C_2->6C_2,-0.026,NEUTRAL,EDGE_PRUNING
PHYSICAL_DISTURBANCE_FORCING,6C_2,6C_2->6C_2,-0.241,-SUPPRESS,EDGE_PRUNING
RANK_RECRUITMENT_FORCING,6C_2,6C_2->6C_2,-0.051,NEUTRAL,EDGE_PRUNING
STABLECOIN_CAPITAL_FORCING,6C_2,6C_2->6C_2,-0.151,-SUPPRESS,EDGE_PRUNING
VOLATILITY_FORCING,6C_2,6C_2->6C_2,0.061,NEUTRAL,EDGE_PRUNING
BTC_ANCHOR_FORCING,6C_3,6C_3->6C_3,0.129,NEUTRAL,PRESSURE_CONCENTRATION
CONCENTRATION_RELEASE_FORCING,6C_3,6C_3->6C_3,-0.001,NEUTRAL,PRESSURE_CONCENTRATION
DISPERSION_FORCING,6C_3,6C_3->6C_3,0.07,NEUTRAL,PRESSURE_CONCENTRATION
ETH_RELATIVE_FORCING,6C_3,6C_3->6C_3,0.118,NEUTRAL,PRESSURE_CONCENTRATION
PARTICIPATION_FORCING,6C_3,6C_3->6C_3,0.09,NEUTRAL,PRESSURE_CONCENTRATION
PHYSICAL_DISTURBANCE_FORCING,6C_3,6C_3->6C_3,-0.047,NEUTRAL,PRESSURE_CONCENTRATION
RANK_RECRUITMENT_FORCING,6C_3,6C_3->6C_3,0.017,NEUTRAL,PRESSURE_CONCENTRATION
STABLECOIN_CAPITAL_FORCING,6C_3,6C_3->6C_3,0.148,NEUTRAL,PRESSURE_CONCENTRATION
VOLATILITY_FORCING,6C_3,6C_3->6C_3,0.003,NEUTRAL,PRESSURE_CONCENTRATION
BTC_ANCHOR_FORCING,6C_3,6C_3->6C_4,-0.02,NEUTRAL,PRESSURE_CONCENTRATION
CONCENTRATION_RELEASE_FORCING,6C_3,6C_3->6C_4,-0.127,NEUTRAL,PRESSURE_CONCENTRATION
DISPERSION_FORCING,6C_3,6C_3->6C_4,-0.033,NEUTRAL,PRESSURE_CONCENTRATION
ETH_RELATIVE_FORCING,6C_3,6C_3->6C_4,0.118,NEUTRAL,PRESSURE_CONCENTRATION
PARTICIPATION_FORCING,6C_3,6C_3->6C_4,-0.086,NEUTRAL,PRESSURE_CONCENTRATION
PHYSICAL_DISTURBANCE_FORCING,6C_3,6C_3->6C_4,-0.271,-SUPPRESS,PRESSURE_CONCENTRATION
RANK_RECRUITMENT_FORCING,6C_3,6C_3->6C_4,0.21,+LOAD,PRESSURE_CONCENTRATION
STABLECOIN_CAPITAL_FORCING,6C_3,6C_3->6C_4,-0.179,-SUPPRESS,PRESSURE_CONCENTRATION
VOLATILITY_FORCING,6C_3,6C_3->6C_4,-0.295,-SUPPRESS,PRESSURE_CONCENTRATION
BTC_ANCHOR_FORCING,6C_4,6C_4->6C_4,-0.017,NEUTRAL,EDGE_PRUNING
CONCENTRATION_RELEASE_FORCING,6C_4,6C_4->6C_4,0.066,NEUTRAL,EDGE_PRUNING
DISPERSION_FORCING,6C_4,6C_4->6C_4,-0.072,NEUTRAL,EDGE_PRUNING
ETH_RELATIVE_FORCING,6C_4,6C_4->6C_4,0.13,NEUTRAL,EDGE_PRUNING
PARTICIPATION_FORCING,6C_4,6C_4->6C_4,0.018,NEUTRAL,EDGE_PRUNING
PHYSICAL_DISTURBANCE_FORCING,6C_4,6C_4->6C_4,-0.246,-SUPPRESS,EDGE_PRUNING
RANK_RECRUITMENT_FORCING,6C_4,6C_4->6C_4,0.022,NEUTRAL,EDGE_PRUNING
STABLECOIN_CAPITAL_FORCING,6C_4,6C_4->6C_4,0.023,NEUTRAL,EDGE_PRUNING
VOLATILITY_FORCING,6C_4,6C_4->6C_4,0.02,NEUTRAL,EDGE_PRUNING
BTC_ANCHOR_FORCING,6C_5,6C_5->6C_5,-0.307,-SUPPRESS,EDGE_PRUNING
CONCENTRATION_RELEASE_FORCING,6C_5,6C_5->6C_5,0.118,NEUTRAL,EDGE_PRUNING
DISPERSION_FORCING,6C_5,6C_5->6C_5,-0.217,-SUPPRESS,EDGE_PRUNING
