variable,layer,onset_date,peak_date,normalized_date,relation_to_snapback
propagation,SURFACE,,2021-02-13,2022-02-27,PRECEDED
reentry,SURFACE,2021-01-06,2021-01-11,2022-02-27,PRECEDED
volatility,SURFACE,2021-03-04,2021-06-18,2022-03-05,PRECEDED
breadth,SURFACE,2021-08-15,2021-08-19,2022-02-27,PRECEDED
demand,SURFACE,2021-04-01,2021-05-17,2022-03-12,PRECEDED
slope_FIELD,LAW,2021-03-27,2021-03-27,2022-02-27,PRECEDED
ceiling_FIELD,LAW,2021-12-18,2021-12-22,2022-05-10,PRECEDED
onset_FIELD,LAW,2021-12-15,2022-02-26,2022-06-28,COINCIDED
slope_patch_mean,LAW,2021-03-27,2021-03-27,2022-02-27,PRECEDED
ceiling_patch_mean,LAW,2021-12-20,2021-12-22,2022-04-27,PRECEDED
onset_patch_mean,LAW,2021-12-14,2022-02-25,2022-06-24,COINCIDED
exit_entropy,LAW,,2021-01-30,2022-02-27,PRECEDED
exit_p1,LAW,,2021-03-17,2022-02-27,PRECEDED
recruitment,LAW,2020-12-22,2022-02-24,2022-03-22,PRECEDED
