coordinate_a,coordinate_b,rho,partial_rho_ctl,coupling
GAIN,CEILING,-0.848,-0.836,COUPLED
GAIN,THRESHOLD_POS,0.109,0.133,INDEPENDENT
GAIN,TRANSFER,0.124,0.189,INDEPENDENT
GAIN,DEMAND,-0.05,-0.026,INDEPENDENT
GAIN,EXIT_PRESSURE,0.028,0.038,INDEPENDENT
GAIN,EXIT_ENTROPY,0.066,0.052,INDEPENDENT
GAIN,CAPACITY,-0.039,-0.067,INDEPENDENT
GAIN,ROUTE_DEFORM,0.019,0.026,INDEPENDENT
CEILING,THRESHOLD_POS,-0.209,-0.203,PARTIAL
CEILING,TRANSFER,-0.074,0.018,INDEPENDENT
CEILING,DEMAND,0.072,0.122,INDEPENDENT
CEILING,EXIT_PRESSURE,0.034,0.013,INDEPENDENT
CEILING,EXIT_ENTROPY,-0.018,-0.033,INDEPENDENT
CEILING,CAPACITY,0.109,0.112,INDEPENDENT
CEILING,ROUTE_DEFORM,0.02,0.026,INDEPENDENT
THRESHOLD_POS,TRANSFER,0.542,0.522,COUPLED
THRESHOLD_POS,DEMAND,0.157,0.153,INDEPENDENT
THRESHOLD_POS,EXIT_PRESSURE,-0.062,-0.078,INDEPENDENT
THRESHOLD_POS,EXIT_ENTROPY,-0.043,-0.046,INDEPENDENT
THRESHOLD_POS,CAPACITY,-0.457,-0.47,COUPLED
THRESHOLD_POS,ROUTE_DEFORM,-0.175,-0.168,INDEPENDENT
TRANSFER,DEMAND,0.164,0.14,INDEPENDENT
TRANSFER,EXIT_PRESSURE,-0.033,-0.057,INDEPENDENT
TRANSFER,EXIT_ENTROPY,0.067,-0.001,INDEPENDENT
TRANSFER,CAPACITY,-0.501,-0.568,COUPLED
TRANSFER,ROUTE_DEFORM,-0.121,-0.137,INDEPENDENT
DEMAND,EXIT_PRESSURE,0.005,-0.006,INDEPENDENT
DEMAND,EXIT_ENTROPY,0.07,0.048,INDEPENDENT
DEMAND,CAPACITY,-0.038,-0.043,INDEPENDENT
DEMAND,ROUTE_DEFORM,-0.033,-0.045,INDEPENDENT
EXIT_PRESSURE,EXIT_ENTROPY,-0.04,0.107,INDEPENDENT
EXIT_PRESSURE,CAPACITY,0.284,0.276,PARTIAL
EXIT_PRESSURE,ROUTE_DEFORM,0.428,0.46,COUPLED
EXIT_ENTROPY,CAPACITY,0.325,0.235,PARTIAL
EXIT_ENTROPY,ROUTE_DEFORM,0.25,0.272,PARTIAL
CAPACITY,ROUTE_DEFORM,0.303,0.251,PARTIAL
CEILING,GAIN|FORCING,-0.848,-0.21,DIAGNOSTIC
