probe,n,mean,std,q10,q50,q90,value,to_low,to_mid,to_high,low,high,verdict
distribution,2196.0,0.871,0.828,0.12,0.628,2.406,,,,,,,CONTINUOUS_GAIN_COORDINATE
autocorr_lag1,,,,,,,0.989,,,,,,CONTINUOUS_GAIN_COORDINATE
autocorr_lag5,,,,,,,0.944,,,,,,CONTINUOUS_GAIN_COORDINATE
autocorr_lag10,,,,,,,0.888,,,,,,CONTINUOUS_GAIN_COORDINATE
autocorr_lag20,,,,,,,0.774,,,,,,CONTINUOUS_GAIN_COORDINATE
autocorr_lag30,,,,,,,0.661,,,,,,CONTINUOUS_GAIN_COORDINATE
transition_from_low,,,,,,,,0.991,0.005,0.004,,,CONTINUOUS_GAIN_COORDINATE
transition_from_mid,,,,,,,,0.007,0.983,0.01,,,CONTINUOUS_GAIN_COORDINATE
transition_from_high,,,,,,,,0.003,0.011,0.987,,,CONTINUOUS_GAIN_COORDINATE
delivery_rate_by_gain,,,,,,,,,,,0.334,0.424,CONTINUOUS_GAIN_COORDINATE
sat_without_delivery_frac_by_gain,,,,,,,,,,,0.115,0.133,CONTINUOUS_GAIN_COORDINATE
forcing_PARTICIPATION_FORCING_by_gain,,,,,,,,,,,0.039,-0.01,CONTINUOUS_GAIN_COORDINATE
forcing_DISPERSION_FORCING_by_gain,,,,,,,,,,,0.002,0.0,CONTINUOUS_GAIN_COORDINATE
forcing_VOLATILITY_FORCING_by_gain,,,,,,,,,,,-0.277,0.317,CONTINUOUS_GAIN_COORDINATE
forcing_BTC_ANCHOR_FORCING_by_gain,,,,,,,,,,,-0.137,-0.065,CONTINUOUS_GAIN_COORDINATE
forcing_ETH_RELATIVE_FORCING_by_gain,,,,,,,,,,,-0.032,0.15,CONTINUOUS_GAIN_COORDINATE
forcing_RANK_RECRUITMENT_FORCING_by_gain,,,,,,,,,,,0.246,-0.016,CONTINUOUS_GAIN_COORDINATE
forcing_CONCENTRATION_RELEASE_FORCING_by_gain,,,,,,,,,,,-0.02,0.04,CONTINUOUS_GAIN_COORDINATE
forcing_STABLECOIN_CAPITAL_FORCING_by_gain,,,,,,,,,,,-0.239,0.078,CONTINUOUS_GAIN_COORDINATE
forcing_PHYSICAL_DISTURBANCE_FORCING_by_gain,,,,,,,,,,,-0.204,-0.007,CONTINUOUS_GAIN_COORDINATE
