start,end,dur,forcing_strengthens_1d,threshold_satisfied_1d,transfer_repairs_1d,state_changed_1d,saturation_decayed_1d,realization_occurs_1d,exits_reopen_or_prune_1d,forcing_strengthens_3d,threshold_satisfied_3d,transfer_repairs_3d,state_changed_3d,saturation_decayed_3d,realization_occurs_3d,exits_reopen_or_prune_3d,forcing_strengthens_7d,threshold_satisfied_7d,transfer_repairs_7d,state_changed_7d,saturation_decayed_7d,realization_occurs_7d,exits_reopen_or_prune_7d,forcing_strengthens_14d,threshold_satisfied_14d,transfer_repairs_14d,state_changed_14d,saturation_decayed_14d,realization_occurs_14d,exits_reopen_or_prune_14d,forcing_strengthens_30d,threshold_satisfied_30d,transfer_repairs_30d,state_changed_30d,saturation_decayed_30d,realization_occurs_30d,exits_reopen_or_prune_30d
2020-06-03,2020-06-04,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True
2020-10-08,2020-10-09,2,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True
2020-10-21,2020-10-22,2,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True
2020-11-20,2020-11-21,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,True,False,True
2020-11-28,2020-11-29,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True
2020-12-02,2020-12-03,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,True,False,True
2020-12-12,2020-12-13,2,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,True
2021-01-05,2021-01-06,2,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False
2021-05-30,2021-05-31,2,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True
2021-06-13,2021-06-14,2,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
2021-06-23,2021-06-24,2,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,True,True
2021-06-27,2021-06-29,3,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True
2021-07-03,2021-07-04,2,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True
2021-07-22,2021-07-27,6,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False
2021-07-29,2021-07-31,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False
2021-08-04,2021-08-05,2,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False
2021-09-22,2021-09-23,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,True
2021-09-30,2021-10-01,2,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
2021-10-13,2021-10-14,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True
2021-12-11,2021-12-12,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2021-12-14,2021-12-15,2,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,True
2022-01-28,2022-01-29,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True
2022-01-31,2022-02-01,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True
2022-02-04,2022-02-07,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,False,True
2022-02-28,2022-03-01,2,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True
2022-03-08,2022-03-09,2,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True,True
2022-05-13,2022-05-15,3,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,True
2022-05-21,2022-05-22,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,True,True,True,False,True
2022-05-28,2022-05-30,3,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,False,True
2022-06-14,2022-06-15,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,True
2022-06-19,2022-06-21,3,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,True
2022-06-23,2022-06-24,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True
2022-10-03,2022-10-04,2,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True
2022-10-16,2022-10-17,2,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True
2022-10-25,2022-10-26,2,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True
2022-11-14,2022-11-15,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,True
2022-11-22,2022-11-23,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True
2022-11-29,2022-11-30,2,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True
2023-01-01,2023-01-02,2,False,False,False,False,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True
2023-03-12,2023-03-14,3,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True
2023-03-16,2023-03-17,2,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2023-03-28,2023-03-29,2,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True
2023-04-04,2023-04-05,2,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,True
2023-04-13,2023-04-14,2,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2023-05-26,2023-05-28,3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True
2023-06-15,2023-06-17,3,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True
2023-06-19,2023-06-21,3,True,True,False,False,True,False,False,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True
2023-06-29,2023-07-01,3,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True
2023-09-12,2023-09-15,3,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,True,False,True
2023-09-18,2023-09-19,2,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2023-10-20,2023-10-25,6,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True
2023-10-28,2023-10-30,3,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2024-02-14,2024-02-15,2,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True
2024-04-06,2024-04-08,3,True,True,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2024-05-02,2024-05-03,2,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True
2024-06-04,2024-06-05,2,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2024-07-08,2024-07-09,2,True,False,False,False,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True
2024-07-12,2024-07-15,4,True,True,False,False,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,False,False,False,True,True,False,True
2024-08-23,2024-08-24,2,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True
2024-09-12,2024-09-13,2,False,False,False,True,True,False,False,True,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True
2024-10-11,2024-10-12,2,False,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2024-10-26,2024-10-27,2,True,False,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True
2024-11-05,2024-11-07,3,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2024-11-09,2024-11-11,3,True,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2024-11-15,2024-11-16,2,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False
2024-12-23,2024-12-24,2,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2025-01-01,2025-01-03,3,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,False,True,True,False,True
2025-01-14,2025-01-15,2,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True
2025-01-29,2025-01-30,2,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2025-02-19,2025-02-20,2,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2025-03-11,2025-03-12,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True
2025-03-14,2025-03-15,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True
2025-04-11,2025-04-12,2,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,True,False,True,True,True,True
2025-04-22,2025-04-23,2,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2025-04-25,2025-04-26,2,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
2025-06-01,2025-06-02,2,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2025-06-06,2025-06-07,2,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2025-06-09,2025-06-10,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True
2025-06-27,2025-06-29,3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True
2025-10-01,2025-10-02,2,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True
2025-10-12,2025-10-13,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True
2025-10-18,2025-10-19,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True
2025-10-23,2025-10-24,2,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True
2025-10-31,2025-11-01,2,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True
2025-11-23,2025-11-24,2,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,False
2025-12-08,2025-12-09,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False
2025-12-26,2025-12-27,2,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True
2026-01-01,2026-01-02,2,False,False,False,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True
2026-02-13,2026-02-14,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True
2026-03-09,2026-03-10,2,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True
2026-03-15,2026-03-16,2,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,False,False
2026-03-30,2026-03-31,2,False,False,True,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True
2026-04-09,2026-04-10,2,False,False,True,True,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True
2026-04-15,2026-04-17,3,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,True,True,True,True,True,False
2026-07-01,2026-07-03,3,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True
2026-07-09,2026-07-10,2,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
2026-07-20,2026-07-21,2,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
2026-08-19,2026-08-21,3,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False
