cell,n,delivery_rate,base_lift,patch_activation
THR_LO_TE_LO,337,0.116,-0.264,
THR_HI_TE_LO,74,0.149,-0.231,
THR_LO_TE_HI,60,0.617,0.237,
THR_HI_TE_HI,434,0.79,0.411,
THR_HI_TE_HI_6C_6C_0,325,0.822,,
THR_LO_TE_HI_6C_6C_1,51,0.549,,
THR_HI_TE_HI_6C_6C_1,109,0.697,,
THR_LO_TE_LO_6C_6C_2,268,0.127,,
THR_HI_TE_LO_6C_6C_2,15,0.0,,
THR_LO_TE_LO_6C_6C_4,67,0.075,,
THR_HI_TE_LO_6C_6C_4,28,0.286,,
THR_HI_TE_LO_6C_6C_5,31,0.097,,
THR_HI_TE_LO_8C_8C_0,11,0.182,,
THR_HI_TE_HI_8C_8C_1,325,0.822,,
THR_LO_TE_LO_8C_8C_2,21,0.0,,
THR_HI_TE_LO_8C_8C_2,22,0.364,,
THR_LO_TE_HI_8C_8C_3,51,0.549,,
THR_HI_TE_HI_8C_8C_3,109,0.697,,
THR_LO_TE_LO_8C_8C_4,46,0.109,,
THR_HI_TE_LO_8C_8C_5,20,0.05,,
THR_LO_TE_LO_8C_8C_6,268,0.127,,
THR_HI_TE_LO_8C_8C_6,15,0.0,,
THR_LO_TE_LO_patch_26-100,337,,,0.42
THR_HI_TE_LO_patch_26-100,74,,,0.459
THR_LO_TE_HI_patch_26-100,60,,,0.444
THR_HI_TE_HI_patch_26-100,434,,,0.56
THR_LO_TE_LO_patch_101-250,337,,,0.422
THR_HI_TE_LO_patch_101-250,74,,,0.463
THR_LO_TE_HI_patch_101-250,60,,,0.443
THR_HI_TE_HI_patch_101-250,434,,,0.55
THR_LO_TE_LO_patch_251-500,337,,,0.417
THR_HI_TE_LO_patch_251-500,74,,,0.461
THR_LO_TE_HI_patch_251-500,60,,,0.44
THR_HI_TE_HI_patch_251-500,434,,,0.541
THR_LO_TE_LO_patch_501-750,337,,,0.411
THR_HI_TE_LO_patch_501-750,74,,,0.458
THR_LO_TE_HI_patch_501-750,60,,,0.431
THR_HI_TE_HI_patch_501-750,434,,,0.528
THR_LO_TE_LO_patch_751-1000,337,,,0.407
THR_HI_TE_LO_patch_751-1000,74,,,0.454
THR_LO_TE_HI_patch_751-1000,60,,,0.426
THR_HI_TE_HI_patch_751-1000,434,,,0.521
THR_LO_TE_LO_patch_1001-1500,337,,,0.411
THR_HI_TE_LO_patch_1001-1500,74,,,0.456
THR_LO_TE_HI_patch_1001-1500,60,,,0.428
THR_HI_TE_HI_patch_1001-1500,434,,,0.511
THR_LO_TE_LO_patch_1501-2000,337,,,0.404
THR_HI_TE_LO_patch_1501-2000,74,,,0.45
THR_LO_TE_HI_patch_1501-2000,60,,,0.411
THR_HI_TE_HI_patch_1501-2000,434,,,0.506
THR_LO_TE_LO_GAIN_LO,118,0.178,,
THR_LO_TE_HI_GAIN_LO,26,0.769,,
THR_HI_TE_HI_GAIN_LO,75,0.84,,
THR_LO_TE_LO_GAIN_HI,108,0.056,,
THR_LO_TE_HI_GAIN_HI,23,0.348,,
THR_HI_TE_HI_GAIN_HI,179,0.877,,
