k,subset,n,deliver_rate,target,stall_rate,rate
0,BASE,2196,0.38,DELIVERY,,
1,DEMAND,676,0.408,DELIVERY,0.592,
1,CAPACITY,1152,0.21,DELIVERY,0.79,
1,THRESHOLD,674,0.628,DELIVERY,0.372,
1,TRANSFER,632,0.729,DELIVERY,0.271,
1,EXIT_PRESSURE,748,0.381,DELIVERY,0.619,
1,NON_SATURATED,1756,0.376,DELIVERY,0.624,
1,GAIN_HI,743,0.424,DELIVERY,0.576,
2,DEMAND+CAPACITY,336,0.247,DELIVERY,0.753,
2,DEMAND+THRESHOLD,268,0.578,DELIVERY,0.422,
2,DEMAND+TRANSFER,212,0.693,DELIVERY,0.307,
2,DEMAND+EXIT_PRESSURE,218,0.381,DELIVERY,0.619,
2,DEMAND+NON_SATURATED,305,0.443,DELIVERY,0.557,
2,DEMAND+GAIN_HI,238,0.42,DELIVERY,0.58,
2,CAPACITY+THRESHOLD,146,0.37,DELIVERY,0.63,
2,CAPACITY+EXIT_PRESSURE,444,0.248,DELIVERY,0.752,
2,CAPACITY+NON_SATURATED,922,0.201,DELIVERY,0.799,
2,CAPACITY+GAIN_HI,357,0.202,DELIVERY,0.798,
2,THRESHOLD+TRANSFER,434,0.79,DELIVERY,0.21,
2,THRESHOLD+EXIT_PRESSURE,208,0.625,DELIVERY,0.375,
2,THRESHOLD+NON_SATURATED,507,0.645,DELIVERY,0.355,
2,THRESHOLD+GAIN_HI,264,0.716,DELIVERY,0.284,
2,TRANSFER+EXIT_PRESSURE,159,0.748,DELIVERY,0.252,
2,TRANSFER+NON_SATURATED,508,0.73,DELIVERY,0.27,
2,TRANSFER+GAIN_HI,250,0.78,DELIVERY,0.22,
2,EXIT_PRESSURE+NON_SATURATED,597,0.38,DELIVERY,0.62,
2,EXIT_PRESSURE+GAIN_HI,233,0.408,DELIVERY,0.592,
2,NON_SATURATED+GAIN_HI,579,0.432,DELIVERY,0.568,
3,DEMAND+CAPACITY+THRESHOLD,75,0.373,DELIVERY,0.627,
3,DEMAND+CAPACITY+EXIT_PRESSURE,124,0.266,DELIVERY,0.734,
3,DEMAND+CAPACITY+NON_SATURATED,137,0.248,DELIVERY,0.752,
3,DEMAND+CAPACITY+GAIN_HI,117,0.214,DELIVERY,0.786,
3,DEMAND+THRESHOLD+TRANSFER,153,0.739,DELIVERY,0.261,
3,DEMAND+THRESHOLD+EXIT_PRESSURE,74,0.568,DELIVERY,0.432,
3,DEMAND+THRESHOLD+NON_SATURATED,130,0.631,DELIVERY,0.369,
3,DEMAND+THRESHOLD+GAIN_HI,98,0.612,DELIVERY,0.388,
3,DEMAND+TRANSFER+EXIT_PRESSURE,40,0.7,DELIVERY,0.3,
3,DEMAND+TRANSFER+NON_SATURATED,115,0.687,DELIVERY,0.313,
3,DEMAND+TRANSFER+GAIN_HI,83,0.747,DELIVERY,0.253,
3,DEMAND+EXIT_PRESSURE+NON_SATURATED,94,0.404,DELIVERY,0.596,
3,DEMAND+EXIT_PRESSURE+GAIN_HI,61,0.328,DELIVERY,0.672,
3,DEMAND+NON_SATURATED+GAIN_HI,99,0.485,DELIVERY,0.515,
3,CAPACITY+THRESHOLD+EXIT_PRESSURE,59,0.407,DELIVERY,0.593,
3,CAPACITY+THRESHOLD+NON_SATURATED,96,0.396,DELIVERY,0.604,
3,CAPACITY+THRESHOLD+GAIN_HI,56,0.304,DELIVERY,0.696,
3,CAPACITY+EXIT_PRESSURE+NON_SATURATED,359,0.242,DELIVERY,0.758,
3,CAPACITY+EXIT_PRESSURE+GAIN_HI,129,0.209,DELIVERY,0.791,
3,CAPACITY+NON_SATURATED+GAIN_HI,282,0.202,DELIVERY,0.798,
3,THRESHOLD+TRANSFER+EXIT_PRESSURE,108,0.843,DELIVERY,0.157,
3,THRESHOLD+TRANSFER+NON_SATURATED,340,0.8,DELIVERY,0.2,
3,THRESHOLD+TRANSFER+GAIN_HI,179,0.877,DELIVERY,0.123,
3,THRESHOLD+EXIT_PRESSURE+NON_SATURATED,156,0.641,DELIVERY,0.359,
3,THRESHOLD+EXIT_PRESSURE+GAIN_HI,77,0.701,DELIVERY,0.299,
3,THRESHOLD+NON_SATURATED+GAIN_HI,199,0.754,DELIVERY,0.246,
