aborted_date,recovery_date,days_to_recovery,first_change,delta_first,demand_cooled,routes_pruned,pressure_concentrated,transfer_repaired,threshold_normalized,gain_changed
2020-06-24,2020-06-30,6,routes_prune,1.0,False,False,False,False,False,False
2020-09-06,2020-09-07,1,routes_prune,-0.2,False,True,True,True,False,False
2020-09-21,2020-09-23,2,routes_prune,0.4,True,False,False,False,True,False
2020-09-25,2020-09-26,1,demand,0.3329,False,True,True,False,False,False
2020-10-19,2020-10-21,2,routes_prune,0.4,True,False,True,False,False,False
2020-10-22,2020-10-23,1,threshold_normalizes,0.096,False,False,False,True,True,False
2020-10-26,2020-10-27,1,demand,-0.3691,True,True,True,False,True,False
2020-11-20,2020-11-26,6,demand,1.1894,False,False,False,False,False,True
2020-12-18,2020-12-19,1,routes_prune,-0.2,False,True,True,False,False,False
2021-02-08,2021-02-15,7,threshold_normalizes,1.3079,True,False,False,False,True,False
2021-05-05,2021-05-10,5,routes_prune,0.8,True,False,False,True,True,False
2021-05-11,2021-05-12,1,routes_prune,-0.2,False,True,True,True,False,False
2021-07-06,2021-07-07,1,demand,0.2079,False,False,True,False,False,False
2021-07-18,2021-07-19,1,routes_prune,0.2,False,False,False,False,False,False
2021-09-13,2021-09-19,6,routes_prune,1.0,False,False,False,False,False,False
2021-10-07,2021-10-12,5,routes_prune,0.8,False,False,False,True,False,False
2021-11-27,2021-12-03,6,routes_prune,1.0,False,False,False,False,False,True
2022-02-28,2022-03-02,2,demand,0.7667,False,True,True,False,True,False
2022-03-25,2022-03-27,2,routes_prune,0.4,False,False,False,False,True,False
2022-04-18,2022-04-20,2,routes_prune,0.4,True,False,False,False,True,False
2022-07-23,2022-07-27,4,demand,-1.3649,True,False,False,False,False,True
2022-08-07,2022-08-09,2,demand,0.4154,False,False,True,False,False,False
2022-08-17,2022-08-18,1,demand,-0.4211,True,False,False,False,False,False
2022-08-25,2022-08-26,1,demand,0.464,False,False,True,False,True,False
2022-09-14,2022-09-15,1,routes_prune,0.2,True,False,False,False,False,False
2022-10-04,2022-10-06,2,demand,0.2168,False,False,True,False,True,False
2022-10-07,2022-10-14,7,routes_prune,-0.8,True,True,True,False,False,False
2022-10-24,2022-10-25,1,transfer_repairs,-0.1193,False,False,False,False,True,False
2022-11-03,2022-11-05,2,routes_prune,0.6,False,False,False,False,False,False
2022-12-08,2022-12-09,1,demand,0.3558,False,False,False,False,True,False
2022-12-20,2022-12-21,1,demand,0.2327,False,False,True,False,False,False
2023-01-10,2023-01-11,1,demand,0.3305,False,False,False,False,True,False
2023-01-15,2023-01-19,4,threshold_normalizes,3.1653,True,False,False,True,True,False
2023-03-06,2023-03-13,7,threshold_normalizes,-1.8577,True,False,False,False,False,False
2023-03-14,2023-03-16,2,threshold_normalizes,1.7802,False,False,True,True,True,False
2023-04-08,2023-04-09,1,transfer_repairs,0.581,False,False,False,True,True,False
2023-04-28,2023-04-29,1,threshold_normalizes,0.5661,False,False,True,False,True,False
2023-07-05,2023-07-06,1,routes_prune,0.2,False,False,False,False,False,False
2023-07-12,2023-07-13,1,demand,0.203,False,False,False,False,True,False
2023-08-02,2023-08-05,3,threshold_normalizes,1.9145,True,False,False,False,True,False
2023-08-19,2023-08-22,3,threshold_normalizes,-0.8605,False,False,False,False,False,True
2023-09-15,2023-09-17,1,threshold_normalizes,0.2861,False,False,True,False,True,True
2023-09-22,2023-09-23,1,routes_prune,0.4,False,False,False,False,False,False
2023-09-30,2023-10-01,1,routes_prune,-0.2,False,True,False,False,False,False
2023-10-13,2023-10-14,1,routes_prune,0.2,False,False,False,False,False,False
2023-10-18,2023-10-25,7,threshold_normalizes,3.5197,False,False,False,True,True,True
2023-12-10,2023-12-12,1,routes_prune,0.4,True,False,False,False,True,False
