chain,view_a,view_b,sign_agreement,n
Tron,GLOBAL_mkt,NATIVE_imp,0.4112,2196
Tron,GLOBAL_mkt,SECTOR,0.5842,2126
Tron,CHAIN_share,NATIVE_imp,0.7892,2196
Tron,SECTOR,NATIVE_imp,0.3645,2126
Tron,NATIVE_imp,NATIVE_vel,0.3974,2144
Ethereum,GLOBAL_mkt,NATIVE_imp,0.5278,2196
Ethereum,GLOBAL_mkt,SECTOR,0.6068,2144
Ethereum,CHAIN_share,NATIVE_imp,0.9759,2196
Ethereum,SECTOR,NATIVE_imp,0.4604,2144
Ethereum,NATIVE_imp,NATIVE_vel,0.0816,2144
Solana,GLOBAL_mkt,NATIVE_imp,0.493,1921
Solana,GLOBAL_mkt,SECTOR,0.5995,1885
Solana,CHAIN_share,NATIVE_imp,0.9282,1921
Solana,SECTOR,NATIVE_imp,0.4281,1885
Solana,NATIVE_imp,NATIVE_vel,0.3093,1885
Arbitrum,GLOBAL_mkt,NATIVE_imp,0.358,1740
Arbitrum,GLOBAL_mkt,SECTOR,0.6053,1619
Arbitrum,CHAIN_share,NATIVE_imp,0.6638,1740
Arbitrum,SECTOR,NATIVE_imp,0.3138,1619
Arbitrum,NATIVE_imp,NATIVE_vel,0.3577,1694
Avalanche,GLOBAL_mkt,NATIVE_imp,0.3165,1747
Avalanche,GLOBAL_mkt,SECTOR,0.6057,1661
Avalanche,CHAIN_share,NATIVE_imp,0.5793,1747
Avalanche,SECTOR,NATIVE_imp,0.3076,1661
Avalanche,NATIVE_imp,NATIVE_vel,0.3961,1684
Polygon,GLOBAL_mkt,NATIVE_imp,0.3285,1653
Polygon,GLOBAL_mkt,SECTOR,0.5942,1609
Polygon,CHAIN_share,NATIVE_imp,0.6243,1653
Polygon,SECTOR,NATIVE_imp,0.271,1609
Polygon,NATIVE_imp,NATIVE_vel,0.4116,1589
OP Mainnet,GLOBAL_mkt,NATIVE_imp,0.2281,1460
OP Mainnet,GLOBAL_mkt,SECTOR,0.6048,1260
OP Mainnet,CHAIN_share,NATIVE_imp,0.4205,1460
OP Mainnet,SECTOR,NATIVE_imp,0.2349,1260
OP Mainnet,NATIVE_imp,NATIVE_vel,0.4825,1426
Bitcoin,GLOBAL_mkt,NATIVE_imp,0.3368,1170
Bitcoin,GLOBAL_mkt,SECTOR,0.5862,1143
Bitcoin,CHAIN_share,NATIVE_imp,0.5829,1170
Bitcoin,SECTOR,NATIVE_imp,0.3325,1143
Bitcoin,NATIVE_imp,NATIVE_vel,0.3984,1137
Sui,GLOBAL_mkt,NATIVE_imp,0.389,689
Sui,GLOBAL_mkt,SECTOR,0.6024,679
Sui,CHAIN_share,NATIVE_imp,0.701,689
Sui,SECTOR,NATIVE_imp,0.3461,679
Sui,NATIVE_imp,NATIVE_vel,0.3754,682
Hyperliquid L1,GLOBAL_mkt,NATIVE_imp,0.2178,629
Hyperliquid L1,GLOBAL_mkt,SECTOR,0.5994,629
Hyperliquid L1,CHAIN_share,NATIVE_imp,0.4356,629
Hyperliquid L1,SECTOR,NATIVE_imp,0.194,629
Hyperliquid L1,NATIVE_imp,NATIVE_vel,0.6538,621
PulseChain,GLOBAL_mkt,NATIVE_imp,0.1452,365
PulseChain,GLOBAL_mkt,SECTOR,0.5434,265
PulseChain,CHAIN_share,NATIVE_imp,0.2822,365
PulseChain,SECTOR,NATIVE_imp,0.2038,265
PulseChain,NATIVE_imp,NATIVE_vel,0.4491,265
Cronos,GLOBAL_mkt,NATIVE_imp,0.0992,353
Cronos,GLOBAL_mkt,SECTOR,0.6076,288
Cronos,CHAIN_share,NATIVE_imp,0.1926,353
Cronos,SECTOR,NATIVE_imp,0.066,288
Cronos,NATIVE_imp,NATIVE_vel,0.3192,260
