chain,disagreement,n_days,mean_fwd14_mkt_ret
Tron,TVL_UP_NATIVE_WEAK,627,0.00157
Tron,SC_UP_DEX_WEAK,735,0.00579
Tron,BREADTH_UP_FLOW_DOWN,388,0.00932
Tron,NATIVE_UP_TVL_DOWN,440,0.00223
Ethereum,TVL_UP_NATIVE_WEAK,873,0.00216
Ethereum,SC_UP_DEX_WEAK,735,0.00579
Ethereum,BREADTH_UP_FLOW_DOWN,335,0.01013
Ethereum,NATIVE_UP_TVL_DOWN,87,0.00402
Solana,TVL_UP_NATIVE_WEAK,468,0.00332
Solana,SC_UP_DEX_WEAK,628,0.00478
Solana,BREADTH_UP_FLOW_DOWN,331,0.006
Solana,NATIVE_UP_TVL_DOWN,208,0.01237
Arbitrum,TVL_UP_NATIVE_WEAK,495,0.00169
Arbitrum,SC_UP_DEX_WEAK,565,0.00578
Arbitrum,BREADTH_UP_FLOW_DOWN,324,0.01009
Arbitrum,NATIVE_UP_TVL_DOWN,260,0.00235
Avalanche,TVL_UP_NATIVE_WEAK,350,0.00065
Avalanche,SC_UP_DEX_WEAK,551,0.00547
Avalanche,BREADTH_UP_FLOW_DOWN,376,0.00507
Avalanche,NATIVE_UP_TVL_DOWN,265,0.0043
Polygon,TVL_UP_NATIVE_WEAK,426,0.00148
Polygon,SC_UP_DEX_WEAK,526,0.00559
Polygon,BREADTH_UP_FLOW_DOWN,325,0.0072
Polygon,NATIVE_UP_TVL_DOWN,325,-0.00079
OP Mainnet,TVL_UP_NATIVE_WEAK,304,0.00048
OP Mainnet,SC_UP_DEX_WEAK,455,0.00629
OP Mainnet,BREADTH_UP_FLOW_DOWN,311,0.01066
OP Mainnet,NATIVE_UP_TVL_DOWN,246,0.00171
Bitcoin,TVL_UP_NATIVE_WEAK,324,0.00198
Bitcoin,SC_UP_DEX_WEAK,423,0.00666
Bitcoin,BREADTH_UP_FLOW_DOWN,202,0.01505
Bitcoin,NATIVE_UP_TVL_DOWN,168,0.00242
Sui,TVL_UP_NATIVE_WEAK,150,0.00093
Sui,SC_UP_DEX_WEAK,267,-0.0011
Sui,BREADTH_UP_FLOW_DOWN,150,0.00203
Sui,NATIVE_UP_TVL_DOWN,112,0.00131
Hyperliquid L1,TVL_UP_NATIVE_WEAK,55,0.00063
Hyperliquid L1,SC_UP_DEX_WEAK,250,-0.00122
Hyperliquid L1,BREADTH_UP_FLOW_DOWN,135,0.00027
Hyperliquid L1,NATIVE_UP_TVL_DOWN,44,0.0056
PulseChain,TVL_UP_NATIVE_WEAK,49,0.00075
PulseChain,SC_UP_DEX_WEAK,139,0.00087
PulseChain,BREADTH_UP_FLOW_DOWN,93,0.00251
PulseChain,NATIVE_UP_TVL_DOWN,55,-0.00237
Cronos,TVL_UP_NATIVE_WEAK,50,-0.00047
Cronos,SC_UP_DEX_WEAK,127,0.00377
Cronos,BREADTH_UP_FLOW_DOWN,111,0.00426
Cronos,NATIVE_UP_TVL_DOWN,43,0.00277
