event,window_d,precursor,precursor_desc,n_events,n_controls,event_median,control_median,diff,wilcoxon_p,fdr_q
ENTRY,1,btc_dom_chg30,btc_dominance 30D change,126,360,0.00063,0.01282,-0.01219,0.0,0.0
ENTRY,1,btc_ret30,BTC 30D return,113,350,0.00111,0.08097,-0.07985,0.0,0.0
ENTRY,1,btc_ret7,BTC 7D return,122,349,0.01363,0.0249,-0.01127,0.0045,0.0308
ENTRY,1,top3_share,top-3 mcap share,126,360,0.72024,0.72527,-0.00503,0.0424,0.1778
ENTRY,1,top3_share_chg7,top-3 share 7D change,126,360,0.00135,0.00332,-0.00197,0.0016,0.0139
ENTRY,1,breadth30,top500 breadth 30D,126,360,0.262,0.384,-0.122,0.0,0.0
ENTRY,1,disp30,top500 dispersion 30D,113,350,0.2857,0.30094,-0.01524,0.7855,0.9368
ENTRY,1,sc_chg30,stablecoin 30D change,126,360,0.02101,0.01925,0.00175,0.4845,0.7788
ENTRY,1,eth_rel30,ETH/BTC rel 30D,113,350,-0.0305,-0.05361,0.02311,0.0372,0.1612
ENTRY,1,alt_share,total alt share,126,360,0.46383,0.46017,0.00365,0.321,0.6048
ENTRY,1,eth_share,ETH mcap share,126,360,0.13419,0.14751,-0.01331,0.316,0.6048
ENTRY,1,vol_med,median vol 30D,125,356,0.04497,0.04303,0.00195,0.1724,0.4448
ENTRY,1,chain_tvl_med_chg7,median chain TVL 7D change,126,360,0.00051,0.0068,-0.00629,0.3684,0.6561
ENTRY,3,btc_dom_chg30,btc_dominance 30D change,126,360,0.0048,0.01277,-0.00797,0.0,0.0
ENTRY,3,btc_ret30,BTC 30D return,125,359,0.02041,0.07085,-0.05044,0.0,0.0
ENTRY,3,btc_ret7,BTC 7D return,126,356,0.01083,0.02294,-0.01211,0.0119,0.0673
ENTRY,3,top3_share,top-3 mcap share,126,360,0.72154,0.72609,-0.00455,0.2495,0.5317
ENTRY,3,top3_share_chg7,top-3 share 7D change,126,360,0.00174,0.00304,-0.0013,0.0133,0.0702
ENTRY,3,breadth30,top500 breadth 30D,126,360,0.29733,0.39033,-0.093,0.0015,0.0139
ENTRY,3,disp30,top500 dispersion 30D,125,359,0.29161,0.30405,-0.01244,0.9565,0.9878
ENTRY,3,sc_chg30,stablecoin 30D change,126,360,0.02168,0.01959,0.00209,0.4156,0.7153
ENTRY,3,eth_rel30,ETH/BTC rel 30D,125,359,-0.04162,-0.05242,0.0108,0.1597,0.4417
ENTRY,3,alt_share,total alt share,126,360,0.4589,0.46124,-0.00234,0.7797,0.9368
ENTRY,3,eth_share,ETH mcap share,126,360,0.13234,0.14635,-0.014,0.4397,0.7328
ENTRY,3,vol_med,median vol 30D,126,356,0.0464,0.04333,0.00307,0.1399,0.3985
ENTRY,3,chain_tvl_med_chg7,median chain TVL 7D change,126,360,0.00873,0.00627,0.00246,0.5036,0.7788
ENTRY,7,btc_dom_chg30,btc_dominance 30D change,126,360,0.00497,0.01092,-0.00595,0.0001,0.0019
ENTRY,7,btc_ret30,BTC 30D return,123,358,0.02575,0.06519,-0.03944,0.0001,0.0019
ENTRY,7,btc_ret7,BTC 7D return,126,358,0.0138,0.02126,-0.00746,0.0515,0.2029
ENTRY,7,top3_share,top-3 mcap share,126,360,0.721,0.72562,-0.00462,0.2814,0.5628
ENTRY,7,top3_share_chg7,top-3 share 7D change,126,360,0.00209,0.00297,-0.00088,0.046,0.1869
ENTRY,7,breadth30,top500 breadth 30D,126,360,0.312,0.36243,-0.05043,0.0177,0.0885
ENTRY,7,disp30,top500 dispersion 30D,123,358,0.29011,0.29771,-0.0076,0.7593,0.9312
ENTRY,7,sc_chg30,stablecoin 30D change,126,360,0.02238,0.01885,0.00353,0.3185,0.6048
ENTRY,7,eth_rel30,ETH/BTC rel 30D,123,358,-0.03587,-0.05018,0.01431,0.1986,0.4781
ENTRY,7,alt_share,total alt share,126,360,0.45838,0.45933,-0.00095,0.9269,0.9878
ENTRY,7,eth_share,ETH mcap share,126,360,0.13369,0.14796,-0.01427,0.5332,0.7788
ENTRY,7,vol_med,median vol 30D,126,358,0.04635,0.04382,0.00253,0.141,0.3985
ENTRY,7,chain_tvl_med_chg7,median chain TVL 7D change,126,360,0.00443,0.00752,-0.0031,0.4947,0.7788
ENTRY,14,btc_dom_chg30,btc_dominance 30D change,126,360,0.00445,0.00947,-0.00502,0.0026,0.0199
ENTRY,14,btc_ret30,BTC 30D return,123,351,0.0168,0.05065,-0.03385,0.0014,0.0139
ENTRY,14,btc_ret7,BTC 7D return,126,360,0.01098,0.01818,-0.0072,0.0135,0.0702
ENTRY,14,top3_share,top-3 mcap share,126,360,0.71989,0.72351,-0.00362,0.4271,0.7211
ENTRY,14,top3_share_chg7,top-3 share 7D change,126,360,0.00109,0.0023,-0.00121,0.0019,0.0154
ENTRY,14,breadth30,top500 breadth 30D,126,360,0.29479,0.33421,-0.03943,0.089,0.3127
ENTRY,14,disp30,top500 dispersion 30D,123,351,0.29783,0.29539,0.00244,0.9988,0.9991
ENTRY,14,sc_chg30,stablecoin 30D change,126,360,0.02328,0.01762,0.00566,0.2188,0.5079
ENTRY,14,eth_rel30,ETH/BTC rel 30D,123,351,-0.03011,-0.04496,0.01485,0.2431,0.5295
ENTRY,14,alt_share,total alt share,126,360,0.45484,0.45904,-0.0042,0.9199,0.9878
ENTRY,14,eth_share,ETH mcap share,126,360,0.1349,0.15332,-0.01842,0.5298,0.7788
ENTRY,14,vol_med,median vol 30D,125,359,0.04576,0.04441,0.00134,0.1757,0.4448
ENTRY,14,chain_tvl_med_chg7,median chain TVL 7D change,126,360,0.00085,0.00605,-0.0052,0.2775,0.5628
ENTRY,30,btc_dom_chg30,btc_dominance 30D change,126,360,0.00603,0.0078,-0.00176,0.139,0.3985
ENTRY,30,btc_ret30,BTC 30D return,123,346,0.01222,0.02502,-0.0128,0.1093,0.3466
ENTRY,30,btc_ret7,BTC 7D return,126,360,0.00732,0.01539,-0.00807,0.0002,0.0029
ENTRY,30,top3_share,top-3 mcap share,126,360,0.71877,0.72095,-0.00218,0.704,0.8973
ENTRY,30,top3_share_chg7,top-3 share 7D change,126,360,0.00084,0.00172,-0.00087,0.0037,0.0267
ENTRY,30,breadth30,top500 breadth 30D,126,360,0.29117,0.29963,-0.00847,0.4991,0.7788
ENTRY,30,disp30,top500 dispersion 30D,123,346,0.3108,0.30153,0.00926,0.6625,0.8788
