chain,start,end,duration_d,imp_share_chg_pre5,imp_share_chg_post3,imp_share_ctrl_med,release_trigger,state_at_end,in_conc_at_end,state_end_plus7,state_end_plus30,fwd7_propagation,subperiod
Tron,2020-06-08 23:59:59,2020-06-14 23:59:59,7,0.0,0.5,0.35,,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2020-2021
Tron,2020-07-06 23:59:59,2020-07-12 23:59:59,7,0.25,-0.55,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,True,2020-2021
Tron,2020-07-13 23:59:59,2020-07-16 23:59:59,4,-0.05,0.05,0.0,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,True,2020-2021
Tron,2020-07-31 23:59:59,2020-08-02 23:59:59,3,0.0,-0.33333,0.1,vel7,ETH_BROADENING,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,False,2020-2021
Tron,2020-08-09 23:59:59,2020-08-12 23:59:59,4,0.33333,0.0,-0.2,imp_share,MIXED_NO_CLEAR_ROUTE,False,ETH_BROADENING,STABLECOIN_PARKING,True,2020-2021
Tron,2020-08-21 23:59:59,2020-08-27 23:59:59,7,-0.33333,0.5,0.0,tvl_chg7,ETH_BROADENING,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,True,2020-2021
Tron,2020-08-31 23:59:59,2020-09-03 23:59:59,4,0.5,-0.25,0.2,tvl_chg7,ETH_BROADENING,False,ETH_BROADENING,BTC_CONCENTRATION,True,2020-2021
Tron,2020-09-08 23:59:59,2020-09-12 23:59:59,5,-0.1,-0.4,0.2,tvl_chg7,STABLECOIN_PARKING,False,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,False,2020-2021
Tron,2020-09-18 23:59:59,2020-09-21 23:59:59,4,0.55,-0.25,0.0,imp_share,STABLECOIN_PARKING,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,False,2020-2021
Tron,2020-09-23 23:59:59,2020-09-28 23:59:59,6,0.0,-0.25,0.0,vel7,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,False,2020-2021
Tron,2020-10-16 23:59:59,2020-10-19 23:59:59,4,0.75,-0.25,0.0,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2020-2021
Tron,2020-10-21 23:59:59,2020-10-23 23:59:59,3,0.0,0.25,0.25,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2020-2021
Tron,2020-10-24 23:59:59,2020-11-16 23:59:59,5,-0.25,0.0,0.66667,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2020-2021
Tron,2020-12-16 23:59:59,2020-12-23 23:59:59,8,0.5,-0.5,0.2,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,ETH_BROADENING,False,2020-2021
Tron,2021-01-05 23:59:59,2021-01-12 23:59:59,7,0.5,-0.5,-0.16667,imp_share,BTC_CONCENTRATION,True,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,False,2020-2021
Tron,2021-01-20 23:59:59,2021-01-23 23:59:59,4,-0.5,0.0,0.0,tvl_chg7,ETH_BROADENING,False,BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,True,2020-2021
Tron,2021-01-30 23:59:59,2021-02-04 23:59:59,6,0.5,0.0,0.0,imp_share,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,True,2020-2021
Tron,2021-02-05 23:59:59,2021-02-07 23:59:59,3,0.5,0.5,0.05556,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,True,2020-2021
Tron,2021-02-15 23:59:59,2021-02-19 23:59:59,5,0.5,0.0,0.2,imp_share,BROAD_RISK_EXPANSION,False,LARGE_ALT_ROTATION,MID_CAP_ROTATION,True,2020-2021
