claim,subperiod,n_exits,value
G1_ESCAPE_RATE,2020-2021,12,0.5833
G3_PROPAGATION_SHARE,2020-2021,12,0.1667
STAGED_VIA_BROAD_RISK_SHARE,2020-2021,12,0.0
G1_ESCAPE_RATE,2022,12,0.75
G3_PROPAGATION_SHARE,2022,12,0.3333
STAGED_VIA_BROAD_RISK_SHARE,2022,12,0.0
G1_ESCAPE_RATE,2023,22,0.5455
G3_PROPAGATION_SHARE,2023,22,0.4545
STAGED_VIA_BROAD_RISK_SHARE,2023,22,0.0
G1_ESCAPE_RATE,2024,34,0.5294
G3_PROPAGATION_SHARE,2024,34,0.2059
STAGED_VIA_BROAD_RISK_SHARE,2024,34,0.0
G1_ESCAPE_RATE,2025-2026,45,0.6
G3_PROPAGATION_SHARE,2025-2026,45,0.0889
STAGED_VIA_BROAD_RISK_SHARE,2025-2026,45,0.0
