chain,end,max_rb_move,disp_chg,brd_chg,moves_cancel
Tron,2020-06-14 23:59:59,,,0.0,False
Tron,2020-07-12 23:59:59,,-0.01771,0.09,False
Tron,2020-07-16 23:59:59,,0.05588,-0.008,False
Tron,2020-08-02 23:59:59,,-0.01649,-0.012,False
Tron,2020-08-12 23:59:59,,0.73497,0.014,False
Tron,2020-08-27 23:59:59,,0.05524,-0.05,False
Tron,2020-09-03 23:59:59,,-0.24516,-0.252,False
Tron,2020-09-12 23:59:59,,0.08905,0.0,False
Tron,2020-09-21 23:59:59,,-0.04286,-0.058,False
Tron,2020-09-28 23:59:59,,0.04588,-0.002,False
Tron,2020-10-19 23:59:59,,-0.13966,-0.018,False
Tron,2020-10-23 23:59:59,,0.05313,0.174,False
Tron,2020-11-16 23:59:59,,0.30677,0.052,False
Tron,2020-12-23 23:59:59,,-0.45615,-0.348,False
Tron,2021-01-12 23:59:59,,-1.56899,0.022,False
Tron,2021-01-23 23:59:59,,0.02617,-0.026,False
Tron,2021-02-04 23:59:59,,-0.21564,-0.008,False
Tron,2021-02-07 23:59:59,,,-0.682,False
Tron,2021-02-19 23:59:59,,,0.768,False
Tron,2021-03-01 23:59:59,,-0.23287,0.03,False
Tron,2021-03-05 23:59:59,,-0.13009,-0.044,False
Tron,2021-03-14 23:59:59,,0.46535,-0.128,False
Tron,2021-04-14 23:59:59,,-0.37149,-0.022,False
Tron,2021-05-06 23:59:59,,0.36867,-0.024,False
Tron,2021-05-09 23:59:59,,-0.18224,-0.144,False
Tron,2021-05-14 23:59:59,,-0.1843,-0.02,False
Tron,2021-06-04 23:59:59,,-0.02649,-0.002,False
Tron,2021-06-12 23:59:59,,-0.01114,0.0,False
Tron,2021-07-03 23:59:59,,0.01102,-0.028,False
Tron,2021-07-08 23:59:59,,0.14163,0.05,False
Tron,2021-07-29 23:59:59,,-0.11096,-0.098,False
Tron,2021-08-11 23:59:59,,0.06211,0.042,False
Tron,2021-08-23 23:59:59,,-0.34579,0.0,False
Tron,2021-08-28 23:59:59,,0.11279,0.016,False
Tron,2021-09-05 23:59:59,,-0.03643,0.0,False
Tron,2021-09-21 23:59:59,,-0.10322,-0.168,False
Tron,2021-10-05 23:59:59,,-0.01282,0.008,False
Tron,2021-10-08 23:59:59,,0.02809,0.216,False
Tron,2021-10-18 23:59:59,,-0.00701,0.042,False
Tron,2021-10-23 23:59:59,,-0.03517,-0.092,False
