event_id,exit_date,route1,route2,route3,state_sequence,propagation_depth,alt_or_broad_weight,subperiod
EXIT_000,2020-10-04 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION,0,0,2020-2021
EXIT_001,2020-10-12 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE,0,0,2020-2021
EXIT_002,2020-10-15 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE,0,0,2020-2021
EXIT_003,2020-11-17 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE,0,0,2020-2021
EXIT_004,2020-11-27 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> ETH_BROADENING,1,1,2020-2021
EXIT_005,2020-12-18 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2020-2021
EXIT_006,2021-01-20 23:59:59,ETH_BROADENING,BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,ETH_BROADENING -> BROAD_RISK_EXPANSION -> LARGE_ALT_ROTATION -> MID_CAP_ROTATION,4,1,2020-2021
EXIT_007,2021-06-30 23:59:59,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE -> STABLECOIN_PARKING -> BTC_CONCENTRATION -> ETH_BROADENING,1,1,2020-2021
EXIT_008,2021-07-08 23:59:59,STABLECOIN_PARKING,STABLECOIN_PARKING,BTC_CONCENTRATION,STABLECOIN_PARKING -> STABLECOIN_PARKING -> BTC_CONCENTRATION -> ETH_BROADENING,1,1,2020-2021
EXIT_009,2021-08-11 23:59:59,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,BROAD_RISK_EXPANSION -> BROAD_RISK_EXPANSION -> STABLECOIN_PARKING -> MIXED_NO_CLEAR_ROUTE,2,1,2020-2021
