route1,route2,n,dwell_med,lat_med
BROAD_RISK_EXPANSION,ETH_BROADENING,1,6.0,0.0
BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,1,1.0,0.0
BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2,16.0,0.0
BROAD_RISK_EXPANSION,SMALL_CAP_ROTATION,1,12.0,0.0
BTC_CONCENTRATION,BROAD_RISK_EXPANSION,1,11.0,0.0
BTC_CONCENTRATION,ETH_BROADENING,1,6.0,0.0
BTC_CONCENTRATION,LARGE_ALT_ROTATION,5,2.0,0.0
BTC_CONCENTRATION,MID_CAP_ROTATION,9,3.0,0.0
BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,66,2.0,0.0
BTC_CONCENTRATION,NARROW_LEADERSHIP,3,1.0,0.0
CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,2,15.5,0.0
ETH_BROADENING,BROAD_RISK_EXPANSION,3,3.0,0.0
ETH_BROADENING,BTC_CONCENTRATION,1,3.0,0.0
ETH_BROADENING,MID_CAP_ROTATION,1,2.0,0.0
ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,1,1.0,0.0
LARGE_ALT_ROTATION,BROAD_RISK_EXPANSION,1,3.0,0.0
LARGE_ALT_ROTATION,BTC_CONCENTRATION,1,2.0,0.0
LARGE_ALT_ROTATION,MID_CAP_ROTATION,3,3.0,0.0
LARGE_ALT_ROTATION,MIXED_NO_CLEAR_ROUTE,3,4.0,0.0
MID_CAP_ROTATION,BROAD_RISK_EXPANSION,1,1.0,0.0
MID_CAP_ROTATION,BTC_CONCENTRATION,7,1.0,0.0
MID_CAP_ROTATION,LARGE_ALT_ROTATION,1,2.0,0.0
MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,5,2.0,0.0
MID_CAP_ROTATION,NARROW_LEADERSHIP,1,1.0,0.0
MID_CAP_ROTATION,STABLECOIN_PARKING,1,1.0,0.0
MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,81,1.0,0.0
MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,2,12.5,0.0
MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,5,2.0,0.0
MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,4,1.5,0.0
MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,1,1.0,0.0
MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,6,2.5,0.0
MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,8,4.0,0.0
NARROW_LEADERSHIP,BTC_CONCENTRATION,4,1.0,0.0
NARROW_LEADERSHIP,ETH_BROADENING,2,2.0,0.0
NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,4,1.0,0.0
STABLECOIN_PARKING,LARGE_ALT_ROTATION,1,1.0,0.0
STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,8,3.0,0.0
