episode_start,episode_end,state,duration_d,disp30_chg_during,breadth_chg_during,top3_chg_during,vol_chg_during,eth_rel_chg_during,termination_style,post_termination_route,subperiod
2020-07-21 23:59:59,2020-07-23 23:59:59,ETH_BROADENING,3,-0.0399,0.074,0.0064,0.001,0.2049,LEADERSHIP_NARROWING,NEW_CLUB,2020-2021
2020-07-24 23:59:59,2020-07-26 23:59:59,BROAD_RISK_EXPANSION,3,0.0296,0.07,0.0138,0.0001,0.0263,LEADERSHIP_NARROWING,PARKING_LOT,2020-2021
2020-08-01 23:59:59,2020-08-04 23:59:59,ETH_BROADENING,4,0.0848,-0.05,-0.0039,0.0025,-0.0822,BREADTH_DIVERGENCE,PARKING_LOT,2020-2021
2020-08-16 23:59:59,2020-08-25 23:59:59,ETH_BROADENING,10,-0.1648,-0.11,-0.0029,0.0042,-0.3597,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2020-08-28 23:59:59,2020-08-30 23:59:59,BROAD_RISK_EXPANSION,3,0.0286,-0.072,-0.0172,0.0007,-0.0801,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2021-01-22 23:59:59,2021-01-28 23:59:59,ETH_BROADENING,7,0.3586,-0.052,-0.0192,0.0042,-0.0251,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2021-01-29 23:59:59,2021-02-06 23:59:59,BROAD_RISK_EXPANSION,9,-0.0861,0.022,-0.0208,0.0054,-0.4607,GRADUAL_DECAY,PARKING_LOT,2020-2021
2021-02-08 23:59:59,2021-02-14 23:59:59,BROAD_RISK_EXPANSION,7,84.836,0.084,-0.0291,0.0049,-0.1692,GRADUAL_DECAY,PARKING_LOT,2020-2021
2021-02-16 23:59:59,2021-02-21 23:59:59,BROAD_RISK_EXPANSION,6,-94.9393,-0.004,-0.0134,0.0075,-0.3807,ABRUPT_COLLAPSE,NEW_CLUB,2020-2021
2021-02-22 23:59:59,2021-02-26 23:59:59,LARGE_ALT_ROTATION,5,-0.427,-0.024,-0.0065,0.0081,-0.0684,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2021-02-27 23:59:59,2021-03-01 23:59:59,BROAD_RISK_EXPANSION,3,-0.0667,-0.024,-0.0052,0.0032,-0.0654,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2021-03-04 23:59:59,2021-03-11 23:59:59,BROAD_RISK_EXPANSION,8,0.2814,-0.132,0.011,-0.0066,0.1075,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2021-03-12 23:59:59,2021-03-30 23:59:59,MID_CAP_ROTATION,19,0.0858,0.09,-0.0413,-0.0192,0.4454,VOLATILITY_EXHAUSTION,NEW_CLUB,2020-2021
2021-03-31 23:59:59,2021-04-17 23:59:59,BROAD_RISK_EXPANSION,18,-0.6638,-0.186,-0.0431,0.0045,0.2825,ABRUPT_COLLAPSE,NEW_CLUB,2020-2021
2021-04-18 23:59:59,2021-04-24 23:59:59,ETH_BROADENING,7,-0.2315,-0.038,0.0072,0.0046,0.3235,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2021-04-26 23:59:59,2021-05-08 23:59:59,ETH_BROADENING,13,0.1347,-0.128,-0.0276,-0.002,0.4788,BREADTH_DIVERGENCE,NEW_CLUB,2020-2021
2021-08-15 23:59:59,2021-09-09 23:59:59,BROAD_RISK_EXPANSION,26,0.0505,-0.378,-0.039,0.0154,-0.2006,BREADTH_DIVERGENCE,PARKING_LOT,2020-2021
