event_id,exit_date,first_destination,days_to_destination,top500_breadth_30d_term-7,top500_breadth_30d_term-3,top500_breadth_30d_term+0,top500_breadth_30d_term+3,top500_breadth_30d_term+7,top500_breadth_30d_first_decline_days_before_term,top500_breadth_7d_term-7,top500_breadth_7d_term-3,top500_breadth_7d_term+0,top500_breadth_7d_term+3,top500_breadth_7d_term+7,top500_breadth_7d_first_decline_days_before_term,top500_dispersion_30d_term-7,top500_dispersion_30d_term-3,top500_dispersion_30d_term+0,top500_dispersion_30d_term+3,top500_dispersion_30d_term+7,top500_dispersion_30d_first_decline_days_before_term,vol_med_term-7,vol_med_term-3,vol_med_term+0,vol_med_term+3,vol_med_term+7,vol_med_first_decline_days_before_term,top3_share_chg7_term-7,top3_share_chg7_term-3,top3_share_chg7_term+0,top3_share_chg7_term+3,top3_share_chg7_term+7,top3_share_chg7_first_decline_days_before_term,eth_btc_relative_return_7d_term-7,eth_btc_relative_return_7d_term-3,eth_btc_relative_return_7d_term+0,eth_btc_relative_return_7d_term+3,eth_btc_relative_return_7d_term+7,eth_btc_relative_return_7d_first_decline_days_before_term,btc_return_7d_term-7,btc_return_7d_term-3,btc_return_7d_term+0,btc_return_7d_term+3,btc_return_7d_term+7,btc_return_7d_first_decline_days_before_term,med_ret30_51_200_term-7,med_ret30_51_200_term-3,med_ret30_51_200_term+0,med_ret30_51_200_term+3,med_ret30_51_200_term+7,med_ret30_51_200_first_decline_days_before_term
EXIT_006,2021-01-20,ETH_BROADENING,2,0.63,0.674,0.716,0.672,0.706,9.0,0.428,0.82,0.536,0.352,0.572,11.0,0.67581,0.7082,0.90927,0.7963,1.37135,11.0,0.07422,0.07928,0.07778,0.07698,0.08087,,0.00748,-0.01934,-0.02184,-0.00846,-0.00617,6.0,-0.00123,0.25668,0.15892,0.1698,0.07837,13.0,-0.00467,0.06329,-0.10372,-0.1164,0.03971,12.0,0.20612,0.36849,0.46541,0.43589,0.55091,
EXIT_009,2021-08-11,BROAD_RISK_EXPANSION,4,0.764,0.834,0.864,0.862,0.862,12.0,0.8,0.782,0.856,0.462,0.57,12.0,0.37547,0.53448,0.53417,0.88167,0.57465,13.0,0.0519,0.0533,0.05329,0.05366,0.05246,,0.00676,-0.01343,-0.03265,-0.02382,-0.00214,13.0,0.08075,-0.01065,0.02429,-0.02818,-0.06901,6.0,0.09564,0.08708,0.07418,-0.01738,0.04835,13.0,0.17688,0.34892,0.65393,0.5996,0.67452,12.0
EXIT_013,2022-03-21,BROAD_RISK_EXPANSION,9,0.7,0.758,0.74,0.758,0.806,13.0,0.85,0.882,0.856,0.782,0.154,,0.30525,0.30645,0.32578,0.34018,0.3592,13.0,0.04694,0.04694,0.04343,0.04571,0.04771,11.0,-0.00737,-0.00125,-0.00252,-0.00701,0.00363,9.0,0.05093,0.01561,0.01961,0.0653,0.01887,6.0,0.04251,0.1351,0.09721,0.03074,-0.08193,,0.15235,0.20928,0.19643,0.25519,0.18621,13.0
EXIT_014,2022-03-23,BROAD_RISK_EXPANSION,7,0.7,0.758,0.74,0.758,0.806,13.0,0.85,0.882,0.856,0.782,0.154,,0.30525,0.30645,0.32578,0.34018,0.3592,13.0,0.04694,0.04694,0.04343,0.04571,0.04771,11.0,-0.00737,-0.00125,-0.00252,-0.00701,0.00363,9.0,0.05093,0.01561,0.01961,0.0653,0.01887,6.0,0.04251,0.1351,0.09721,0.03074,-0.08193,,0.15235,0.20928,0.19643,0.25519,0.18621,13.0
EXIT_015,2022-03-26,BROAD_RISK_EXPANSION,4,0.7,0.758,0.74,0.758,0.806,13.0,0.85,0.882,0.856,0.782,0.154,,0.30525,0.30645,0.32578,0.34018,0.3592,13.0,0.04694,0.04694,0.04343,0.04571,0.04771,11.0,-0.00737,-0.00125,-0.00252,-0.00701,0.00363,9.0,0.05093,0.01561,0.01961,0.0653,0.01887,6.0,0.04251,0.1351,0.09721,0.03074,-0.08193,,0.15235,0.20928,0.19643,0.25519,0.18621,13.0
EXIT_016,2022-03-29,BROAD_RISK_EXPANSION,1,0.7,0.758,0.74,0.758,0.806,13.0,0.85,0.882,0.856,0.782,0.154,,0.30525,0.30645,0.32578,0.34018,0.3592,13.0,0.04694,0.04694,0.04343,0.04571,0.04771,11.0,-0.00737,-0.00125,-0.00252,-0.00701,0.00363,9.0,0.05093,0.01561,0.01961,0.0653,0.01887,6.0,0.04251,0.1351,0.09721,0.03074,-0.08193,,0.15235,0.20928,0.19643,0.25519,0.18621,13.0
EXIT_025,2023-01-15,LARGE_ALT_ROTATION,7,0.862,0.824,0.87,0.876,0.904,,0.91,0.806,0.762,0.884,0.83,4.0,0.28074,0.30417,0.33028,0.41324,0.48623,13.0,0.02938,0.03057,0.03355,0.03567,0.03625,7.0,0.00933,0.01045,0.00796,-0.00066,-0.00458,,-0.01579,-0.02256,-0.03921,-0.05393,-0.03548,11.0,0.22173,0.1175,0.0881,0.11741,0.0464,,0.22831,0.20233,0.32547,0.37323,0.54495,
EXIT_026,2023-01-22,LARGE_ALT_ROTATION,1,0.852,0.866,0.882,0.894,0.89,,0.916,0.858,0.8,0.844,0.398,5.0,0.2775,0.35666,0.36147,0.41743,0.48,,0.02955,0.03278,0.03421,0.03622,0.03978,8.0,0.01393,0.01095,0.00263,-0.00129,-0.0013,,-0.03786,0.00441,-0.05076,-0.05973,-0.03331,13.0,0.23104,0.13898,0.08336,0.09228,-0.00411,,0.23521,0.2976,0.35906,0.4142,0.44668,
EXIT_033,2023-07-12,LARGE_ALT_ROTATION,3,0.36,0.0,0.788,0.736,0.458,13.0,0.254,0.364,0.736,0.51,0.422,,2.23635,,1.8784,2.40407,2.56887,,0.04313,0.03369,0.03556,0.036,0.03392,5.0,0.00384,0.00183,-0.01647,-0.01384,0.00155,13.0,-0.02094,-0.01612,0.03523,0.03522,-0.01249,8.0,-0.00973,-0.00402,0.00011,-0.02496,-0.00544,11.0,-0.04024,,0.20793,0.13504,0.0113,13.0
EXIT_039,2023-11-08,BROAD_RISK_EXPANSION,12,0.876,0.866,0.806,0.796,0.752,6.0,0.71,0.38,0.272,0.496,0.0,8.0,1.29671,0.56122,0.45095,0.49421,0.48819,,0.03984,0.04042,0.04505,0.0461,0.04622,,-0.00197,-0.00068,0.00653,0.00063,-0.00255,12.0,0.02814,-0.0246,0.01378,0.0224,,13.0,0.06241,0.00896,-0.01183,0.00248,,12.0,0.39687,0.38419,0.22393,0.23466,0.16517,1.0
