horizon_d,cause,cumulative_incidence,survival
1,REENTRY,0.16,0.632
1,MIXED,0.16,0.632
1,PROPAGATION,0.048,0.632
1,OTHER,0.0,0.632
2,REENTRY,0.184,0.552
2,MIXED,0.192,0.552
2,PROPAGATION,0.064,0.552
2,OTHER,0.008,0.552
3,REENTRY,0.224,0.472
3,MIXED,0.216,0.472
3,PROPAGATION,0.08,0.472
3,OTHER,0.008,0.472
4,REENTRY,0.288,0.368
4,MIXED,0.232,0.368
4,PROPAGATION,0.104,0.368
4,OTHER,0.008,0.368
5,REENTRY,0.312,0.312
5,MIXED,0.24,0.312
5,PROPAGATION,0.12,0.312
5,OTHER,0.016,0.312
6,REENTRY,0.336,0.256
6,MIXED,0.256,0.256
6,PROPAGATION,0.136,0.256
6,OTHER,0.016,0.256
7,REENTRY,0.352,0.208
7,MIXED,0.264,0.208
7,PROPAGATION,0.16,0.208
7,OTHER,0.016,0.208
8,REENTRY,0.36,0.184
8,MIXED,0.28,0.184
8,PROPAGATION,0.16,0.184
8,OTHER,0.016,0.184
9,REENTRY,0.368,0.144
9,MIXED,0.296,0.144
9,PROPAGATION,0.176,0.144
9,OTHER,0.016,0.144
10,REENTRY,0.384,0.12
10,MIXED,0.296,0.12
10,PROPAGATION,0.184,0.12
10,OTHER,0.016,0.12
11,REENTRY,0.384,0.112
11,MIXED,0.304,0.112
11,PROPAGATION,0.184,0.112
11,OTHER,0.016,0.112
12,REENTRY,0.384,0.088
12,MIXED,0.312,0.088
12,PROPAGATION,0.2,0.088
12,OTHER,0.016,0.088
13,REENTRY,0.4,0.064
13,MIXED,0.32,0.064
13,PROPAGATION,0.2,0.064
13,OTHER,0.016,0.064
14,REENTRY,0.4,0.056
14,MIXED,0.328,0.056
14,PROPAGATION,0.2,0.056
14,OTHER,0.016,0.056
15,REENTRY,0.4,0.04
15,MIXED,0.344,0.04
15,PROPAGATION,0.2,0.04
15,OTHER,0.016,0.04
16,REENTRY,0.408,0.024
16,MIXED,0.344,0.024
16,PROPAGATION,0.208,0.024
16,OTHER,0.016,0.024
17,REENTRY,0.408,0.024
17,MIXED,0.344,0.024
17,PROPAGATION,0.208,0.024
17,OTHER,0.016,0.024
18,REENTRY,0.408,0.024
18,MIXED,0.344,0.024
18,PROPAGATION,0.208,0.024
18,OTHER,0.016,0.024
19,REENTRY,0.408,0.024
19,MIXED,0.344,0.024
19,PROPAGATION,0.208,0.024
19,OTHER,0.016,0.024
20,REENTRY,0.416,0.008
20,MIXED,0.344,0.008
20,PROPAGATION,0.216,0.008
20,OTHER,0.016,0.008
21,REENTRY,0.416,0.008
21,MIXED,0.344,0.008
21,PROPAGATION,0.216,0.008
21,OTHER,0.016,0.008
22,REENTRY,0.416,0.0
22,MIXED,0.352,0.0
22,PROPAGATION,0.216,0.0
22,OTHER,0.016,0.0
23,REENTRY,0.416,0.0
23,MIXED,0.352,0.0
23,PROPAGATION,0.216,0.0
23,OTHER,0.016,0.0
24,REENTRY,0.416,0.0
24,MIXED,0.352,0.0
24,PROPAGATION,0.216,0.0
24,OTHER,0.016,0.0
25,REENTRY,0.416,0.0
25,MIXED,0.352,0.0
25,PROPAGATION,0.216,0.0
25,OTHER,0.016,0.0
26,REENTRY,0.416,0.0
26,MIXED,0.352,0.0
26,PROPAGATION,0.216,0.0
26,OTHER,0.016,0.0
27,REENTRY,0.416,0.0
27,MIXED,0.352,0.0
27,PROPAGATION,0.216,0.0
27,OTHER,0.016,0.0
28,REENTRY,0.416,0.0
28,MIXED,0.352,0.0
28,PROPAGATION,0.216,0.0
28,OTHER,0.016,0.0
29,REENTRY,0.416,0.0
29,MIXED,0.352,0.0
29,PROPAGATION,0.216,0.0
29,OTHER,0.016,0.0
30,REENTRY,0.416,0.0
30,MIXED,0.352,0.0
30,PROPAGATION,0.216,0.0
30,OTHER,0.016,0.0
