condition,window_d,cause,n,p_cause_by_window
BTC_UP,1-3,REENTRY,68,0.0441
BTC_UP,1-3,MIXED,68,0.0735
BTC_UP,1-3,PROPAGATION,68,0.0441
BTC_UP,1-3,OTHER,68,0.0
BTC_UP,4-7,REENTRY,68,0.0882
BTC_UP,4-7,MIXED,68,0.0294
BTC_UP,4-7,PROPAGATION,68,0.1029
BTC_UP,4-7,OTHER,68,0.0
BTC_UP,8-14,REENTRY,68,0.0588
BTC_UP,8-14,MIXED,68,0.0294
BTC_UP,8-14,PROPAGATION,68,0.0588
BTC_UP,8-14,OTHER,68,0.0
BTC_UP,15-30,REENTRY,68,0.0294
BTC_UP,15-30,MIXED,68,0.0
BTC_UP,15-30,PROPAGATION,68,0.0147
BTC_UP,15-30,OTHER,68,0.0
VOL_HIGH,1-3,REENTRY,27,0.037
VOL_HIGH,1-3,MIXED,27,0.037
VOL_HIGH,1-3,PROPAGATION,27,0.1111
VOL_HIGH,1-3,OTHER,27,0.0
VOL_HIGH,4-7,REENTRY,27,0.037
VOL_HIGH,4-7,MIXED,27,0.037
VOL_HIGH,4-7,PROPAGATION,27,0.0741
VOL_HIGH,4-7,OTHER,27,0.0
VOL_HIGH,8-14,REENTRY,27,0.0
VOL_HIGH,8-14,MIXED,27,0.1481
VOL_HIGH,8-14,PROPAGATION,27,0.0741
VOL_HIGH,8-14,OTHER,27,0.0
VOL_HIGH,15-30,REENTRY,27,0.0
VOL_HIGH,15-30,MIXED,27,0.037
VOL_HIGH,15-30,PROPAGATION,27,0.037
VOL_HIGH,15-30,OTHER,27,0.0
BREADTH_EXPANDING,1-3,REENTRY,37,0.0
BREADTH_EXPANDING,1-3,MIXED,37,0.0541
BREADTH_EXPANDING,1-3,PROPAGATION,37,0.0811
BREADTH_EXPANDING,1-3,OTHER,37,0.0
BREADTH_EXPANDING,4-7,REENTRY,37,0.1081
BREADTH_EXPANDING,4-7,MIXED,37,0.0541
BREADTH_EXPANDING,4-7,PROPAGATION,37,0.1892
BREADTH_EXPANDING,4-7,OTHER,37,0.0
BREADTH_EXPANDING,8-14,REENTRY,37,0.0
BREADTH_EXPANDING,8-14,MIXED,37,0.027
BREADTH_EXPANDING,8-14,PROPAGATION,37,0.0811
BREADTH_EXPANDING,8-14,OTHER,37,0.0
BREADTH_EXPANDING,15-30,REENTRY,37,0.027
BREADTH_EXPANDING,15-30,MIXED,37,0.0
BREADTH_EXPANDING,15-30,PROPAGATION,37,0.027
BREADTH_EXPANDING,15-30,OTHER,37,0.0
ETH_STRONG,1-3,REENTRY,44,0.0455
ETH_STRONG,1-3,MIXED,44,0.0682
ETH_STRONG,1-3,PROPAGATION,44,0.0455
ETH_STRONG,1-3,OTHER,44,0.0
ETH_STRONG,4-7,REENTRY,44,0.0682
ETH_STRONG,4-7,MIXED,44,0.0
ETH_STRONG,4-7,PROPAGATION,44,0.0909
ETH_STRONG,4-7,OTHER,44,0.0
ETH_STRONG,8-14,REENTRY,44,0.0227
ETH_STRONG,8-14,MIXED,44,0.0227
ETH_STRONG,8-14,PROPAGATION,44,0.0227
ETH_STRONG,8-14,OTHER,44,0.0
ETH_STRONG,15-30,REENTRY,44,0.0455
ETH_STRONG,15-30,MIXED,44,0.0
ETH_STRONG,15-30,PROPAGATION,44,0.0
ETH_STRONG,15-30,OTHER,44,0.0
RISK_ON,1-3,REENTRY,83,0.0482
RISK_ON,1-3,MIXED,83,0.0602
RISK_ON,1-3,PROPAGATION,83,0.0482
RISK_ON,1-3,OTHER,83,0.0
RISK_ON,4-7,REENTRY,83,0.0843
RISK_ON,4-7,MIXED,83,0.0361
RISK_ON,4-7,PROPAGATION,83,0.0843
RISK_ON,4-7,OTHER,83,0.0
RISK_ON,8-14,REENTRY,83,0.0482
RISK_ON,8-14,MIXED,83,0.0361
RISK_ON,8-14,PROPAGATION,83,0.0602
RISK_ON,8-14,OTHER,83,0.0
RISK_ON,15-30,REENTRY,83,0.0241
RISK_ON,15-30,MIXED,83,0.0
RISK_ON,15-30,PROPAGATION,83,0.012
RISK_ON,15-30,OTHER,83,0.0
CONC_RISING,1-3,REENTRY,56,0.1071
CONC_RISING,1-3,MIXED,56,0.0357
CONC_RISING,1-3,PROPAGATION,56,0.0179
CONC_RISING,1-3,OTHER,56,0.0179
CONC_RISING,4-7,REENTRY,56,0.0179
CONC_RISING,4-7,MIXED,56,0.0357
CONC_RISING,4-7,PROPAGATION,56,0.0357
CONC_RISING,4-7,OTHER,56,0.0
CONC_RISING,8-14,REENTRY,56,0.0179
CONC_RISING,8-14,MIXED,56,0.0893
CONC_RISING,8-14,PROPAGATION,56,0.0
CONC_RISING,8-14,OTHER,56,0.0
CONC_RISING,15-30,REENTRY,56,0.0
CONC_RISING,15-30,MIXED,56,0.0179
CONC_RISING,15-30,PROPAGATION,56,0.0179
CONC_RISING,15-30,OTHER,56,0.0
rank_recruit_hi,1-3,REENTRY,56,0.0357
rank_recruit_hi,1-3,MIXED,56,0.0714
