cell,next_cell,n,p
HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,677,0.899070385126162
HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,29,0.03851261620185923
HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,28,0.03718459495351926
HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,19,0.025232403718459494
HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,32,0.09815950920245399
HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,244,0.7484662576687117
HIGH_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,4,0.012269938650306749
HIGH_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,46,0.1411042944785276
LOW_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,23,0.08424908424908426
LOW_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,6,0.02197802197802198
LOW_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,207,0.7582417582417582
LOW_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,37,0.13553113553113552
LOW_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,21,0.02595797280593325
LOW_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,45,0.05562422744128554
LOW_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,34,0.042027194066749075
LOW_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,709,0.8763906056860321
