path,from,mid,to,n,n_effective,median_dwell_b_d,median_total_days,fwd7_prop,fwd14_prop,subperiods,baseline_fwd7_prop
HIGH_BREADTH_LOW_DISP->LOW_BREADTH_LOW_DISP->HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,34,34,2.0,11.5,0.17647058823529413,0.2647058823529412,4,0.1762917933130699
LOW_BREADTH_LOW_DISP->HIGH_BREADTH_LOW_DISP->LOW_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,31,31,2.0,15.0,0.22580645161290322,0.25806451612903225,4,0.1762917933130699
LOW_BREADTH_HIGH_DISP->LOW_BREADTH_LOW_DISP->LOW_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,24,24,2.5,12.0,0.0,0.0,5,0.1762917933130699
LOW_BREADTH_LOW_DISP->LOW_BREADTH_HIGH_DISP->LOW_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,24,24,2.0,18.5,0.041666666666666664,0.08333333333333333,5,0.1762917933130699
HIGH_BREADTH_LOW_DISP->HIGH_BREADTH_HIGH_DISP->HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,24,24,2.0,11.5,0.375,0.375,4,0.1762917933130699
HIGH_BREADTH_HIGH_DISP->HIGH_BREADTH_LOW_DISP->HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,18,18,2.0,12.5,0.3333333333333333,0.2222222222222222,5,0.1762917933130699
HIGH_BREADTH_HIGH_DISP->LOW_BREADTH_HIGH_DISP->HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,17,17,1.0,15.0,0.23529411764705882,0.17647058823529413,5,0.1762917933130699
HIGH_BREADTH_HIGH_DISP->LOW_BREADTH_LOW_DISP->HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,17,17,1.0,16.0,0.29411764705882354,0.23529411764705882,3,0.1762917933130699
LOW_BREADTH_HIGH_DISP->HIGH_BREADTH_HIGH_DISP->LOW_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,15,15,3.0,16.0,0.13333333333333333,0.2,4,0.1762917933130699
LOW_BREADTH_LOW_DISP->HIGH_BREADTH_LOW_DISP->HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,14,14,6.5,19.5,0.21428571428571427,0.2857142857142857,4,0.1762917933130699
LOW_BREADTH_LOW_DISP->HIGH_BREADTH_HIGH_DISP->LOW_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,13,13,7.0,10.0,0.38461538461538464,0.38461538461538464,4,0.1762917933130699
HIGH_BREADTH_HIGH_DISP->HIGH_BREADTH_LOW_DISP->LOW_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,11,11,4.0,9.0,0.18181818181818182,0.09090909090909091,4,0.1762917933130699
LOW_BREADTH_HIGH_DISP->LOW_BREADTH_LOW_DISP->HIGH_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,11,11,15.0,29.0,0.09090909090909091,0.09090909090909091,4,0.1762917933130699
HIGH_BREADTH_HIGH_DISP->LOW_BREADTH_HIGH_DISP->LOW_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,10,10,12.5,35.0,0.0,0.1,5,0.1762917933130699
