rank_band,horizon,corr_1d,corr_3d,corr_7d,corr_14d,corr_30d,corr_60d,inc_r2_fwd_1d_shortest_first,inc_r2_fwd_1d_longest_first
1-25,1,1.0,0.5633623282240999,0.2801426144583382,0.19945500301311087,0.2070129666879313,0.17044219187473783,6.057575567564033e-05,
1-25,3,0.5633623282240999,1.0,0.5715491608064892,0.36473211763997665,0.36853404821860675,0.29475771539691603,0.001548326363546959,
1-25,7,0.2801426144583382,0.5715491608064892,1.0,0.740032544823587,0.6552741507326897,0.41696526175895576,0.0020518431233966794,
1-25,14,0.19945500301311087,0.36473211763997665,0.740032544823587,1.0,0.8822760838668743,0.5467726832404503,0.000291360935855689,
1-25,30,0.2070129666879313,0.36853404821860675,0.6552741507326897,0.8822760838668743,1.0,0.7408569740753322,0.0006996813000577085,
1-25,60,0.17044219187473783,0.29475771539691603,0.41696526175895576,0.5467726832404503,0.7408569740753322,1.0,0.00014742938790002214,0.0013547509850589945
26-100,1,1.0,0.5852528227915693,0.3268728925855723,0.24652053380803846,0.17351816306991472,0.11043005422448487,0.016233646721790063,
26-100,3,0.5852528227915693,1.0,0.6003325713707927,0.45147367667757304,0.3202915158865841,0.20164095323514675,-0.014840891812516466,
26-100,7,0.3268728925855723,0.6003325713707927,1.0,0.7486924767593598,0.5089774786542277,0.308863418702093,-1.5836867850449465e-06,
26-100,14,0.24652053380803846,0.45147367667757304,0.7486924767593598,1.0,0.7150048103267409,0.455438955896302,-7.465178409460371e-05,
26-100,30,0.17351816306991472,0.3202915158865841,0.5089774786542277,0.7150048103267409,1.0,0.6861179545630984,0.0001870253476126127,
26-100,60,0.11043005422448487,0.20164095323514675,0.308863418702093,0.455438955896302,0.6861179545630984,1.0,7.804889633655776e-05,0.0004224770097829289
101-250,1,1.0,0.18050712045788234,0.1851390950077044,0.19572771183607687,0.12453467452014622,0.10672475023487937,1.5457436219890042e-08,
101-250,3,0.18050712045788234,1.0,0.4326352951897723,0.4623315777943059,0.31866206626033416,0.2549394388080729,1.6659983193001437e-07,
101-250,7,0.1851390950077044,0.4326352951897723,1.0,0.5613499421967567,0.3998574162518634,0.3573640654601833,5.0156553133007264e-08,
101-250,14,0.19572771183607687,0.4623315777943059,0.5613499421967567,1.0,0.4796894734213833,0.41924423190666027,,
101-250,30,0.12453467452014622,0.31866206626033416,0.3998574162518634,0.4796894734213833,1.0,0.5722259429159204,,
101-250,60,0.10672475023487937,0.2549394388080729,0.3573640654601833,0.41924423190666027,0.5722259429159204,1.0,,5.994467200398645e-08
251-500,1,1.0,0.16270395044252042,0.24858097375073326,0.1721994254811008,0.16819377038723687,0.07295964636574495,2.906936472890642e-05,
251-500,3,0.16270395044252042,1.0,0.38903968501914554,0.270798741690961,0.2697825736301125,0.12110416722473212,5.9835696496479684e-06,
251-500,7,0.24858097375073326,0.38903968501914554,1.0,0.39236520569890476,0.3808368153945089,0.1712957058875695,,
251-500,14,0.1721994254811008,0.270798741690961,0.39236520569890476,1.0,0.475220057046375,0.21348145398526805,,
251-500,30,0.16819377038723687,0.2697825736301125,0.3808368153945089,0.475220057046375,1.0,0.37040361205443384,,
251-500,60,0.07295964636574495,0.12110416722473212,0.1712957058875695,0.21348145398526805,0.37040361205443384,1.0,,3.303180506897263e-09
501-750,1,1.0,0.5675350047296599,0.5647497747225406,0.042564065452483986,0.029852241784709996,0.004249059942942151,1.2874911869964478e-07,
501-750,3,0.5675350047296599,1.0,0.989530405590537,0.14745078021964664,0.11192519020997017,0.025977554196461788,4.064925496205518e-08,
501-750,7,0.5647497747225406,0.989530405590537,1.0,0.2992208042056994,0.23661424561715694,0.0955675230823919,,
501-750,14,0.042564065452483986,0.14745078021964664,0.2992208042056994,1.0,0.568636159172983,0.08792315043443787,1.5644628484579037e-05,
501-750,30,0.029852241784709996,0.11192519020997017,0.23661424561715694,0.568636159172983,1.0,0.4859495475368416,,
501-750,60,0.004249059942942151,0.025977554196461788,0.0955675230823919,0.08792315043443787,0.4859495475368416,1.0,,2.2791874654259914e-07
751-1000,1,1.0,0.5982112408743775,0.39636165412171853,0.30439775883449083,0.2479250317106721,0.1937095528476103,3.662514735935929e-12,
