rank_band,shape,n,n_fwd,median_fwd_7d,mean_fwd_7d,std_fwd_7d,p_extreme_up,p_extreme_dn,p_extreme_any,continuation_rate,reversal_rate
501-750,SHORT_HOT_MEDIUM_HOT,144573,142766,-0.023299782487619203,0.08045263107256234,15.074226294283045,0.13953602398330134,0.19794628973284956,0.3374823137161509,0.4151548688062984,0.5841727021839934
501-750,SHORT_HOT_MEDIUM_COLD,101364,100608,-0.02418199775884247,-0.017561370878457702,0.35327210522536273,0.09572797391857506,0.1563692748091603,0.25209724872773537,0.3930502544529262,0.6062042779898219
501-750,SHORT_COLD_MEDIUM_HOT,85914,85279,-0.020893235044492968,0.04683588865104541,10.734066151901033,0.12475521523470022,0.16917412258586523,0.29392933782056546,0.4159171660080442,0.5815265188381665
501-750,SHORT_COLD_MEDIUM_COLD,198286,192637,-0.017306407922982256,0.0258889081943212,10.802331358982592,0.10050509507519324,0.15398391793892138,0.25448901301411464,0.41475417495081424,0.5765610967778776
751-1000,SHORT_HOT_MEDIUM_HOT,132834,131617,-0.01775559837791194,0.015653725069558266,0.908132506677771,0.16178761102289219,0.18955757994787908,0.35134519097077127,0.42826534566203456,0.5704810168899155
751-1000,SHORT_HOT_MEDIUM_COLD,103885,103468,-0.023854683016593305,-0.006337011420851019,0.42684593632836726,0.11447983917733019,0.16516217574515793,0.27964201492248814,0.3944601229365601,0.6040418293578691
751-1000,SHORT_COLD_MEDIUM_HOT,81905,81419,-0.01691453138946475,0.007109375097301199,0.3157572761407223,0.14020069025657403,0.1659440671096427,0.3061447573662167,0.42397966076714283,0.5702722951645194
751-1000,SHORT_COLD_MEDIUM_COLD,220471,215550,-0.015115565932194614,85.90335609245965,15071.970444038334,0.11722570169334261,0.15798190675017398,0.2752076084435166,0.4118441196938065,0.5637763859893297
1001-1500,SHORT_HOT_MEDIUM_HOT,252783,250389,-0.02369220498739351,0.023568915713500928,3.026025518442893,0.15669618074276426,0.20883904644373355,0.36553522718649784,0.41018974475715786,0.587829337550771
1001-1500,SHORT_HOT_MEDIUM_COLD,208594,207588,-0.024957811328238162,0.004456428770307119,0.8882255213855024,0.12124978322446384,0.17491377150895043,0.29616355473341427,0.3941316453744918,0.604196774380022
1001-1500,SHORT_COLD_MEDIUM_HOT,159995,159001,-0.01784329531898026,0.02720066416182842,1.416601611460235,0.1452317909950252,0.17523160231696655,0.32046339331199175,0.42088414538273344,0.5707574166200212
1001-1500,SHORT_COLD_MEDIUM_COLD,457409,444616,-0.013924841329923648,0.03295862255680153,3.4791648750982325,0.1306565665653058,0.16395271425229863,0.2946092808176044,0.4111615416449251,0.5564374651384566
1501-2000,SHORT_HOT_MEDIUM_HOT,234171,227416,-0.017820573777813715,0.08439798899438342,3.633776871549766,0.16191033172687938,0.2019426953248672,0.3638530270517466,0.4254362050163577,0.571323037956872
1501-2000,SHORT_HOT_MEDIUM_COLD,214271,208697,-0.01722249269717618,0.12936959448282564,9.0496791737562,0.1458334331590775,0.16890995078990115,0.31474338394897866,0.42003478727533217,0.5774064792498215
1501-2000,SHORT_COLD_MEDIUM_HOT,152763,148878,-0.008208042148613919,0.11773939419143849,4.664664906472878,0.16663308212093123,0.16617633229892934,0.33280941441986056,0.4488776044815218,0.5365399857601526
1501-2000,SHORT_COLD_MEDIUM_COLD,485805,453715,-0.0031104199066874436,0.3928995132618714,92.50213659638061,0.16726799863350342,0.1504777227995548,0.3177457214330582,0.4480543953803599,0.5162778396129729
