rank_band,horizon,n,P_ge_1sigma,P_ge_2sigma,P_ge_3sigma,P_ge_4sigma,median_sigma,p95_sigma,p99_sigma
501-750,1D,467250,0.20558,0.05939,0.02508,0.01344,0.4215,2.174,4.6645
501-750,3D,467249,0.40084,0.16577,0.07771,0.0422,0.7589,3.705,7.3283
501-750,7D,467249,0.56659,0.31746,0.18086,0.10909,1.2189,5.7758,10.7589
501-750,14D,467248,0.69706,0.47577,0.319,0.21563,1.875,8.3101,15.709
501-750,30D,467246,0.8072,0.64351,0.50551,0.38955,3.0467,12.99,25.3044
751-1000,1D,503966,0.20869,0.05965,0.02452,0.01286,0.4218,2.171,4.504
751-1000,3D,503961,0.4028,0.16382,0.07396,0.03831,0.7648,3.5697,6.8379
751-1000,7D,503961,0.56695,0.31388,0.17342,0.09952,1.2227,5.4155,9.8254
751-1000,14D,503957,0.69425,0.47097,0.30933,0.2014,1.8591,7.6042,13.7859
751-1000,30D,503952,0.80402,0.64139,0.4981,0.37729,2.9944,11.2272,20.9173
1001-1500,1D,1016282,0.20236,0.05971,0.02486,0.01337,0.4005,2.1787,4.581
1001-1500,3D,1016204,0.38441,0.15591,0.07051,0.03678,0.721,3.5111,6.7523
1001-1500,7D,1016188,0.54566,0.29642,0.16195,0.09277,1.153,5.2661,9.4715
1001-1500,14D,1016187,0.6711,0.44743,0.29092,0.18772,1.7469,7.3025,13.1064
1001-1500,30D,1016218,0.78493,0.61767,0.47542,0.35687,2.8319,10.4955,19.3397
1501-2000,1D,1014204,0.19389,0.05864,0.0243,0.01289,0.3568,2.1655,4.5022
1501-2000,3D,1014137,0.36116,0.14541,0.06543,0.03337,0.6607,3.385,6.3354
1501-2000,7D,1014131,0.51561,0.27416,0.14789,0.08285,1.0572,4.9632,8.3653
1501-2000,14D,1014124,0.64101,0.41513,0.26373,0.16709,1.5904,6.7285,10.7947
1501-2000,30D,1014153,0.76014,0.58086,0.43696,0.32226,2.5519,9.3676,14.9066
251-500,1D,489106,0.20697,0.05583,0.02197,0.01175,0.4333,2.0958,4.3471
251-500,3D,489104,0.9798,0.96152,0.94252,0.92117,23.4636,53775.9909,53020540.704
251-500,7D,489104,0.98,0.96175,0.94263,0.92105,23.4654,53707.8493,53124921.5225
251-500,14D,489105,0.97956,0.96159,0.94285,0.92129,23.4594,53576.9667,52890014.9463
251-500,30D,489105,0.97971,0.96188,0.94274,0.9212,23.4557,53736.6779,53246763.9681
101-250,1D,307731,0.22231,0.06168,0.02572,0.01492,0.4656,2.2008,5.2632
101-250,3D,307730,0.98408,0.96918,0.95484,0.93989,52.2429,296380.6436,253374314.1993
101-250,7D,307728,0.98426,0.96924,0.95513,0.94011,52.2796,295619.3936,254617488.3329
101-250,14D,307727,0.98421,0.96908,0.95504,0.94012,52.2353,295554.6234,254042757.6177
101-250,30D,307727,0.9843,0.96923,0.95503,0.93984,52.3825,296467.1253,253522480.5169
26-100,1D,158141,0.2293,0.05751,0.02004,0.0095,0.4936,2.1155,3.9277
26-100,3D,158141,0.99053,0.98164,0.97197,0.96179,181.6764,262578.0519,125619074.8927
26-100,7D,158141,0.99081,0.98157,0.97209,0.96172,181.7325,263272.2884,126110804.5316
26-100,14D,158141,0.99058,0.98185,0.97232,0.96171,182.0433,262719.7192,125029554.2545
26-100,30D,158141,0.99062,0.98164,0.97245,0.96143,182.2739,262773.5097,123446743.2184
