band,atom,n_streaks,n_subperiods,median_streak_len,max_streak_len,P_tail_after,P_revert_after
501-750,VOL_EXPANSION,152,5,3.0,63,0.0993,0.5906
501-750,BAND_RISK_ON,234,5,2.0,12,0.103,1.0
501-750,LOWER_DISPERSION,43,5,3.0,12,0.2143,0.5714
501-750,RANK_DETERIORATION,148,5,4.0,55,0.0946,0.469
751-1000,VOL_EXPANSION,136,5,3.0,67,0.0741,0.5573
751-1000,BAND_RISK_ON,213,5,2.0,11,0.0613,1.0
751-1000,LOWER_DISPERSION,42,5,3.0,16,0.0732,0.5366
751-1000,RANK_DETERIORATION,139,5,4.0,51,0.0719,0.4361
1001-1500,VOL_EXPANSION,123,5,3.0,114,0.041,0.5294
1001-1500,BAND_RISK_ON,213,5,2.0,11,0.0708,1.0
1001-1500,LOWER_DISPERSION,39,5,2.0,13,0.1282,0.5641
1001-1500,RANK_DETERIORATION,128,5,4.0,60,0.1094,0.3659
1501-2000,VOL_EXPANSION,126,5,2.0,81,0.12,0.584
1501-2000,BAND_RISK_ON,208,5,2.0,11,0.1208,1.0
1501-2000,LOWER_DISPERSION,46,5,2.0,11,0.1957,0.5435
1501-2000,RANK_DETERIORATION,118,5,4.0,70,0.1897,0.4211
