coord_a,coord_b,spearman_rho,cluster,n_components,members
abs_resid,res_z,-0.0398,,,
abs_resid,peer_corr,-0.2903,,,
abs_resid,roll_turnover_30d,0.3721,,,
abs_resid,entropy_30d,-0.1081,,,
abs_resid,state_trans_rate,0.1226,,,
abs_resid,deg_decouple,0.0579,,,
abs_resid,rejoin_vel,-0.0326,,,
abs_resid,contagion_breadth,-0.0773,,,
abs_resid,peer_stress,0.3684,,,
abs_resid,peer_dispersion,0.4533,,,
abs_resid,rank_health_diff,0.0713,,,
abs_resid,nbr_momentum,0.003,,,
abs_resid,time_since_transition,-0.1328,,,
abs_resid,persist_duration,-0.1328,,,
res_z,peer_corr,-0.0887,,,
res_z,roll_turnover_30d,-0.1038,,,
res_z,entropy_30d,-0.0306,,,
res_z,state_trans_rate,-0.0611,,,
res_z,deg_decouple,0.3534,,,
res_z,rejoin_vel,0.1065,,,
res_z,contagion_breadth,-0.1822,,,
res_z,peer_stress,0.0335,,,
res_z,peer_dispersion,0.062,,,
res_z,rank_health_diff,0.4839,,,
res_z,nbr_momentum,-0.2828,,,
res_z,time_since_transition,0.0761,,,
res_z,persist_duration,0.0761,,,
peer_corr,roll_turnover_30d,-0.1074,,,
peer_corr,entropy_30d,0.0623,,,
peer_corr,state_trans_rate,0.0158,,,
peer_corr,deg_decouple,-0.0825,,,
peer_corr,rejoin_vel,-0.017,,,
peer_corr,contagion_breadth,0.0522,,,
peer_corr,peer_stress,-0.0707,,,
peer_corr,peer_dispersion,-0.0427,,,
peer_corr,rank_health_diff,-0.0611,,,
peer_corr,nbr_momentum,-0.1973,,,
peer_corr,time_since_transition,-0.0122,,,
peer_corr,persist_duration,-0.0122,,,
roll_turnover_30d,entropy_30d,-0.5118,,,
roll_turnover_30d,state_trans_rate,0.3723,,,
roll_turnover_30d,deg_decouple,-0.0434,,,
roll_turnover_30d,rejoin_vel,-0.0274,,,
roll_turnover_30d,contagion_breadth,-0.0053,,,
roll_turnover_30d,peer_stress,0.2224,,,
roll_turnover_30d,peer_dispersion,0.336,,,
roll_turnover_30d,rank_health_diff,-0.0145,,,
roll_turnover_30d,nbr_momentum,0.0055,,,
roll_turnover_30d,time_since_transition,-0.3485,,,
roll_turnover_30d,persist_duration,-0.3485,,,
entropy_30d,state_trans_rate,-0.2285,,,
entropy_30d,deg_decouple,-0.0114,,,
entropy_30d,rejoin_vel,0.0019,,,
entropy_30d,contagion_breadth,0.0218,,,
entropy_30d,peer_stress,-0.0419,,,
entropy_30d,peer_dispersion,-0.0633,,,
entropy_30d,rank_health_diff,-0.0813,,,
entropy_30d,nbr_momentum,0.0047,,,
entropy_30d,time_since_transition,0.1658,,,
entropy_30d,persist_duration,0.1658,,,
state_trans_rate,deg_decouple,-0.0339,,,
state_trans_rate,rejoin_vel,-0.0231,,,
state_trans_rate,contagion_breadth,-0.0086,,,
state_trans_rate,peer_stress,0.1254,,,
state_trans_rate,peer_dispersion,0.2031,,,
state_trans_rate,rank_health_diff,-0.0017,,,
state_trans_rate,nbr_momentum,-0.0101,,,
state_trans_rate,time_since_transition,-0.9762,,,
state_trans_rate,persist_duration,-0.9762,,,
deg_decouple,rejoin_vel,-0.2502,,,
deg_decouple,contagion_breadth,-0.0909,,,
deg_decouple,peer_stress,0.0055,,,
deg_decouple,peer_dispersion,-0.0373,,,
deg_decouple,rank_health_diff,0.2627,,,
deg_decouple,nbr_momentum,-0.1115,,,
deg_decouple,time_since_transition,0.0446,,,
deg_decouple,persist_duration,0.0446,,,
rejoin_vel,contagion_breadth,-0.0515,,,
rejoin_vel,peer_stress,-0.049,,,
rejoin_vel,peer_dispersion,-0.0525,,,
rejoin_vel,rank_health_diff,0.061,,,
rejoin_vel,nbr_momentum,-0.0226,,,
rejoin_vel,time_since_transition,0.0201,,,
rejoin_vel,persist_duration,0.0201,,,
contagion_breadth,peer_stress,-0.0035,,,
contagion_breadth,peer_dispersion,-0.0049,,,
contagion_breadth,rank_health_diff,-0.1715,,,
contagion_breadth,nbr_momentum,0.0684,,,
contagion_breadth,time_since_transition,0.0046,,,
contagion_breadth,persist_duration,0.0046,,,
peer_stress,peer_dispersion,0.5765,,,
peer_stress,rank_health_diff,-0.0114,,,
peer_stress,nbr_momentum,-0.0131,,,
peer_stress,time_since_transition,-0.1391,,,
peer_stress,persist_duration,-0.1391,,,
peer_dispersion,rank_health_diff,-0.0334,,,
peer_dispersion,nbr_momentum,0.04,,,
peer_dispersion,time_since_transition,-0.2227,,,
peer_dispersion,persist_duration,-0.2227,,,
rank_health_diff,nbr_momentum,-0.2325,,,
rank_health_diff,time_since_transition,0.015,,,
rank_health_diff,persist_duration,0.015,,,
nbr_momentum,time_since_transition,0.0069,,,
nbr_momentum,persist_duration,0.0069,,,
time_since_transition,persist_duration,1.0,,,
,,,5,3.0,state_trans_rate;time_since_transition;persist_duration
,,,PCA,15.0,eigenvalues>1 => 7 dims; cum-PVE>0.9 => 7 dims; top1 PVE 0.1772
,,,VERDICT,15.0,MULTIPLE_LOCAL_COORDINATES
