dimension,value,n,p25,p75
abs_ret,0.0653,70,0.0351,0.0837
z1,2.4089,70,2.0841,2.8341
peer_corr,-0.0593,70,-0.381,0.1527
peer_stress,0.0,70,0.0,0.0
roll_turnover_30d,0.8889,70,0.6667,1.0
rank,241.0,70,103.25,585.5
rank_vel_7d,-2.5,70,-17.25,1.0
vol_30d,0.0287,70,0.0103,0.0361
liq_proxy,11.1059,67,10.3961,11.9746
log10_mcap,8.1179,70,7.5687,8.6104
peer_med_fwd30,0.0445,70,0.0007,0.1778
peer_neg_frac30,0.3,70,0.1,0.4
price_up_30,0.0,70,0.0,0.0
rank_up_30,1.0,70,1.0,1.0
out_rejoin,0.0,70,0.0,0.0
state_changed,1.0,70,0.0,1.0
state_age_d,0.0,70,0.0,96.5
n_events_total,70.0,70,,
