family,coordinate,n,abs_spearman,prop_spearman,abs_purged_auc,prop_purged_auc,note,coord_a,coord_b,spearman_rho
STRUCTURAL,peer_corr,3647.0,0.014,0.052,0.5136,0.524,,,,
STRUCTURAL,roll_turnover_30d,3646.0,-0.323,-0.005,0.8318,0.4808,,,,
STRUCTURAL,entropy_30d,3647.0,0.226,0.022,0.6892,0.5184,,,,
STRUCTURAL,unique_peers_7d,3647.0,0.17,0.003,0.6146,0.5024,,,,
LIQUIDITY,liq_proxy,3556.0,0.166,-0.1,0.6752,0.5642,,,,
LIQUIDITY,volume_24h_usd,3556.0,0.105,-0.14,0.4842,0.5984,,,,
LIQUIDITY,log10_mcap,3647.0,0.192,-0.053,0.7087,0.5268,,,,
RANK_HEALTH,rank,3647.0,-0.197,0.076,0.7136,0.547,,,,
RANK_HEALTH,rank_vel_7d,3647.0,-0.004,-0.171,0.5033,0.6064,,,,
STRESS,peer_stress,3647.0,-0.094,-0.003,0.5713,0.4839,,,,
STRESS,peer_std_ret,3647.0,-0.128,-0.005,0.5915,0.4665,,,,
STRESS,mem_exp_sum,1874.0,0.116,-0.076,0.5937,0.5128,,,,
STRESS,cnt_prev_90d,1128.0,0.158,-0.011,0.6012,0.4849,,,,
RECOVERY,out_rejoin,3647.0,0.158,-0.052,0.6106,0.5085,,,,
RECOVERY,rejoin_vel,3647.0,0.158,-0.052,0.6106,0.5085,,,,
VERDICT,MANY_WEAK_OVERLAPPING,,,,,,"families with >=0.58 AUC: ['LIQUIDITY', 'RANK_HEALTH', 'RECOVERY', 'STRESS', 'STRUCTURAL']",,,
STRUCTURAL,,3646.0,,,,,,peer_corr,roll_turnover_30d,-0.107
STRUCTURAL,,3647.0,,,,,,peer_corr,entropy_30d,0.062
STRUCTURAL,,3647.0,,,,,,peer_corr,unique_peers_7d,0.046
STRUCTURAL,,3646.0,,,,,,roll_turnover_30d,entropy_30d,-0.512
STRUCTURAL,,3646.0,,,,,,roll_turnover_30d,unique_peers_7d,-0.403
STRUCTURAL,,3647.0,,,,,,entropy_30d,unique_peers_7d,0.662
LIQUIDITY,,3556.0,,,,,,liq_proxy,volume_24h_usd,0.9
LIQUIDITY,,3556.0,,,,,,liq_proxy,log10_mcap,0.913
LIQUIDITY,,3556.0,,,,,,volume_24h_usd,log10_mcap,0.657
RANK_HEALTH,,3647.0,,,,,,rank,rank_vel_7d,-0.263
STRESS,,3647.0,,,,,,peer_stress,peer_std_ret,0.576
STRESS,,1874.0,,,,,,peer_stress,mem_exp_sum,0.199
STRESS,,1128.0,,,,,,peer_stress,cnt_prev_90d,-0.036
STRESS,,1874.0,,,,,,peer_std_ret,mem_exp_sum,0.282
STRESS,,1128.0,,,,,,peer_std_ret,cnt_prev_90d,-0.048
STRESS,,1128.0,,,,,,mem_exp_sum,cnt_prev_90d,0.115
RECOVERY,,3647.0,,,,,,out_rejoin,rejoin_vel,1.0
