metric,bin,med_cnt,p_absorb,p_fail_absorb,p_propagated,p_persistent
prior_count,0.0,1.0,0.1596,0.8404,0.3191,0.3511
prior_count,1.0,1.0,0.0798,0.9202,0.3245,0.3298
prior_count,2.0,1.0,0.1862,0.8138,0.25,0.2394
prior_count,3.0,1.0,0.0851,0.9149,0.3298,0.2713
prior_count,4.0,2.0,0.266,0.734,0.266,0.1809
prior_count,5.0,3.0,0.2447,0.7553,0.3085,0.3085
mem_exp_sum,0.0,0.001,0.0863,0.9137,0.3706,0.2875
mem_exp_sum,1.0,0.0053,0.0994,0.9006,0.3333,0.3141
mem_exp_sum,2.0,0.017,0.1218,0.8782,0.2692,0.2981
mem_exp_sum,3.0,0.0461,0.1218,0.8782,0.3077,0.2724
mem_exp_sum,4.0,0.1018,0.1667,0.8333,0.2276,0.2372
mem_exp_sum,5.0,0.2484,0.2141,0.7859,0.2843,0.2588
sumabs_prev_90d,0.0,0.0034,0.1543,0.8457,0.4202,0.3404
sumabs_prev_90d,1.0,0.0301,0.1436,0.8564,0.3032,0.3032
sumabs_prev_90d,2.0,0.0906,0.1383,0.8617,0.3138,0.2394
sumabs_prev_90d,3.0,0.1475,0.1862,0.8138,0.234,0.2926
sumabs_prev_90d,4.0,0.2305,0.1915,0.8085,0.266,0.2819
sumabs_prev_90d,5.0,0.4881,0.2074,0.7926,0.2606,0.2234
VERDICT,,NO_FRAGILITY_ACCELERATION,,,,
