dimension,level,n,surface_abs_spread,p_absorbed,p_propagated
RANK_DEPTH,DEEP,593,0.055,0.0118,0.3238
RANK_DEPTH,MID,1219,0.115,0.041,0.3043
RANK_DEPTH,SHALLOW,1835,0.2308,0.1264,0.2496
GLOBAL_STATE,M6_A,707,0.2569,0.0849,0.2885
GLOBAL_STATE,M6_B,436,0.2143,0.0917,0.2408
GLOBAL_STATE,M6_C,857,0.1689,0.0665,0.3011
GLOBAL_STATE,M6_D,244,0.2444,0.0902,0.3115
GLOBAL_STATE,M6_E,902,0.1812,0.0809,0.2639
GLOBAL_STATE,M6_F,501,0.2222,0.0739,0.2794
SHOCK_FAMILY,DEEP_ILLIQ_STRESSED,660,0.0926,0.0197,0.3348
SHOCK_FAMILY,SHALLOW_QUIET,2987,0.2024,0.0924,0.2678
DIRECTION,DOWN,2462,0.205,0.0755,0.3461
DIRECTION,UP,1185,0.2014,0.0869,0.1426
LIQUIDITY,LIQ_DEEP,1216,0.0959,0.028,0.3396
LIQUIDITY,LIQ_NORM,1215,0.1468,0.0675,0.2593
LIQUIDITY,LIQ_THIN,1216,0.2688,0.1423,0.241
REL_STATE,CONTAGIOUS,47,0.6667,0.0638,0.1702
REL_STATE,DECOUPLED,1380,0.2783,0.1674,0.258
REL_STATE,FALSE_ISOLATED,37,0.0,0.0,0.4054
REL_STATE,LOCALLY_CONFORMING,314,0.1743,0.172,0.3662
REL_STATE,PEER_STRESSED,62,0.1111,0.0161,0.371
REL_STATE,REHABILITATING,94,0.0,0.0,0.3936
REL_STATE,REJOINING,30,0.0,0.0,0.2667
REL_STATE,REORGANIZING,1556,0.0,0.0,0.2763
REL_STATE,TRUE_ISOLATED,125,0.0,0.0,0.232
RECENT_CONTAGION,0.0,3009,0.2283,0.0761,0.2652
RECENT_CONTAGION,1.0,638,0.1948,0.094,0.3495
VERDICT,SURFACE_SHAPE,3647,,,
