cell,n,p_absorb,p_prop,p_decouple,dimension,note
S1xR1,80,0.0,0.625,0.175,OVERALL,
S1xR2,189,0.0,0.5661,0.1481,OVERALL,
S1xR3,305,0.0,0.2918,0.1705,OVERALL,
S1xR4,338,0.0,0.071,0.3254,OVERALL,
S2xR1,216,0.0648,0.5185,0.2361,OVERALL,
S2xR2,213,0.061,0.4038,0.216,OVERALL,
S2xR3,234,0.0385,0.188,0.2991,OVERALL,
S2xR4,249,0.0241,0.0683,0.3534,OVERALL,
S3xR1,267,0.1536,0.412,0.2846,OVERALL,
S3xR2,249,0.1606,0.3092,0.2731,OVERALL,
S3xR3,207,0.0773,0.1836,0.285,OVERALL,
S3xR4,188,0.0479,0.0691,0.4415,OVERALL,
S4xR1,349,0.1605,0.4327,0.2321,OVERALL,
S4xR2,261,0.1877,0.2337,0.2989,OVERALL,
S4xR3,165,0.1152,0.2061,0.3576,OVERALL,
S4xR4,137,0.1241,0.0584,0.3942,OVERALL,
VERDICT,,COMMON_CAPACITY_GEOMETRY,,,SHAPE_CONSISTENCY,"cell-absorption correlation with overall surface per subperiod: 2020-2021=0.7862, 2022=0.8021, 2023=0.8963, 2024=0.8967, 2025-2026=0.947 — surface shape repeats; boundaries shift with rank depth / liquidity / direction"
