condition,value,rank_band,metric,n,median,p25,p90,lat_peak_med
breadth,LOW,501-750,t1s,13442,2.0,1.0,21.0,1.646762161905678
breadth,LOW,501-750,t2s,13442,2.0,1.0,21.0,1.646762161905678
breadth,LOW,501-750,t3s,13442,2.0,1.0,21.0,1.646762161905678
breadth,LOW,501-750,t_peak,13442,21.0,10.0,30.0,1.646762161905678
breadth,HIGH,501-750,t1s,14309,2.0,1.0,21.0,1.913512932087893
breadth,HIGH,501-750,t2s,14309,3.0,1.0,21.0,1.913512932087893
breadth,HIGH,501-750,t3s,14309,3.0,1.0,21.0,1.913512932087893
breadth,HIGH,501-750,t_peak,14309,21.0,10.0,30.0,1.913512932087893
breadth,HIGH,751-1000,t1s,15065,2.0,1.0,21.0,1.998158662358077
breadth,HIGH,751-1000,t2s,15065,3.0,1.0,21.0,1.998158662358077
breadth,HIGH,751-1000,t3s,15065,3.0,1.0,21.0,1.998158662358077
breadth,HIGH,751-1000,t_peak,15065,21.0,10.0,30.0,1.998158662358077
breadth,LOW,751-1000,t1s,14996,2.0,1.0,21.0,1.7862159843912
breadth,LOW,751-1000,t2s,14996,2.0,1.0,21.0,1.7862159843912
breadth,LOW,751-1000,t3s,14996,3.0,1.0,21.0,1.7862159843912
breadth,LOW,751-1000,t_peak,14996,21.0,10.0,30.0,1.7862159843912
breadth,HIGH,1001-1500,t1s,30367,3.0,1.0,21.0,1.9978752729885505
breadth,HIGH,1001-1500,t2s,30367,3.0,1.0,21.0,1.9978752729885505
breadth,HIGH,1001-1500,t3s,30367,3.0,1.0,21.0,1.9978752729885505
breadth,HIGH,1001-1500,t_peak,30367,21.0,10.0,30.0,1.9978752729885505
breadth,LOW,1001-1500,t1s,30313,2.0,1.0,21.0,1.7773524840880373
breadth,LOW,1001-1500,t2s,30313,3.0,1.0,21.0,1.7773524840880373
breadth,LOW,1001-1500,t3s,30313,3.0,1.0,21.0,1.7773524840880373
