rank_band,outcome_split,feature,n_recover,n_fail,cohen_d,recover_mean,fail_mean
501-750,RECOVER_1S_BY_3D,z1,34,132,-0.08027358837098443,4.626699756609742,4.846763706618608
501-750,RECOVER_1S_BY_3D,rank,34,134,0.1381294836268554,625.8235294117648,615.0298507462686
501-750,RECOVER_1S_BY_3D,rank_neighbor_median_ret,34,134,0.23287781630159696,0.011110318913532754,0.006596856837727792
501-750,RECOVER_1S_BY_3D,rank_neighbor_same_sign,34,134,-0.045396891935896896,0.3976281280132747,0.40624688734464764
501-750,RECOVER_1S_BY_3D,rank_neighbor_tail_share,34,134,0.41747505721550776,0.050743952369337424,0.03197688583728062
501-750,RECOVER_1S_BY_3D,rank_context_isolation,34,134,-0.39086623883862986,2.4631115167858826,3.782712676177788
501-750,RECOVER_1S_BY_3D,listing_age_days,34,134,-0.08398583340902167,972.2647058823529,1036.8059701492537
501-750,RECOVER_1S_BY_3D,volume_24h_usd,34,128,0.18821170309653198,12479604.36252949,5735300.36580016
501-750,RECOVER_1S_BY_3D,mkt_vol_30d,33,132,0.03308973414232709,0.053305595229983474,0.052757293990869904
501-750,RECOVER_1S_BY_3D,btc_ret_1d,34,134,0.23766720626264784,0.014749238014231137,0.008645911107505469
501-750,RECOVER_1S_BY_3D,eth_ret_1d,34,134,0.035623718247715416,0.017685176305332256,0.016307731510847245
501-750,RECOVER_1S_BY_3D,top500_breadth_30d,34,134,0.17518185026085925,0.3546470588235294,0.309910447761194
501-750,RECOVER_1S_BY_3D,rank_vel_7d,34,134,-0.24442029082894298,-7.970588235294118,19.880597014925375
501-750,RECOVER_1S_BY_3D,rank_vel_14d,34,134,-0.22024926732605027,-0.38235294117647056,28.48507462686567
751-1000,RECOVER_1S_BY_3D,z1,27,83,-0.025801092248013798,4.270329301388674,4.310381692811551
751-1000,RECOVER_1S_BY_3D,rank,27,83,0.07227929618009067,891.4814814814815,886.2530120481928
751-1000,RECOVER_1S_BY_3D,rank_neighbor_median_ret,27,83,0.07950578578837657,0.011974192583853356,0.010073038368344847
751-1000,RECOVER_1S_BY_3D,rank_neighbor_same_sign,27,83,0.05242701570338304,0.39962962962962967,0.3900438116100766
751-1000,RECOVER_1S_BY_3D,rank_neighbor_tail_share,27,83,0.32288910422239986,0.0625925925925926,0.043979554581964224
751-1000,RECOVER_1S_BY_3D,rank_context_isolation,27,83,-0.004906780783769515,2.5853139925772006,2.595939671928695
751-1000,RECOVER_1S_BY_3D,listing_age_days,27,83,-0.053880277082210035,878.2222222222222,916.7469879518072
751-1000,RECOVER_1S_BY_3D,volume_24h_usd,27,79,0.32896471911727415,16561303.360039318,3950970.6242986103
751-1000,RECOVER_1S_BY_3D,mkt_vol_30d,27,79,0.14566743385549077,0.05512219179184702,0.052492531276659406
751-1000,RECOVER_1S_BY_3D,btc_ret_1d,27,83,-0.14430076206006623,0.01318187614580384,0.016962524670152707
751-1000,RECOVER_1S_BY_3D,eth_ret_1d,27,83,0.08591783315706678,0.028818870842877313,0.025206018559452963
751-1000,RECOVER_1S_BY_3D,top500_breadth_30d,27,83,0.5192198778321381,0.5250370370370371,0.3877831325301205
751-1000,RECOVER_1S_BY_3D,rank_vel_7d,27,83,-0.3509479779934099,-87.88888888888889,-54.975903614457835
751-1000,RECOVER_1S_BY_3D,rank_vel_14d,27,83,-0.41614083653423384,-107.77777777777777,-51.33734939759036
