participation,sign,rank_band,horizon,state,n,n_valid,prob,assets
BAND_BROAD,DOWN,1001-1500,1D,STABILIZED,1461,3263,0.44774747165185413,1033
BAND_BROAD,DOWN,1001-1500,1D,1S_RECOVERY,646,3263,0.19797732148329758,543
BAND_BROAD,DOWN,1001-1500,1D,25P_GIVEBACK,1074,3263,0.32914495862703036,791
BAND_BROAD,DOWN,1001-1500,1D,50P_GIVEBACK,732,3263,0.224333435488814,580
BAND_BROAD,DOWN,1001-1500,1D,FULL_REVERSAL,1802,3263,0.5522525283481459,1187
BAND_BROAD,DOWN,1001-1500,1D,NEW_EXTREME,99,3263,0.030340177750536317,94
BAND_BROAD,DOWN,1001-1500,2D,STABILIZED,1428,3268,0.4369645042839657,998
BAND_BROAD,DOWN,1001-1500,2D,1S_RECOVERY,667,3268,0.20410036719706243,538
BAND_BROAD,DOWN,1001-1500,2D,25P_GIVEBACK,1247,3268,0.3815789473684211,898
BAND_BROAD,DOWN,1001-1500,2D,50P_GIVEBACK,944,3268,0.28886168910648713,722
BAND_BROAD,DOWN,1001-1500,2D,FULL_REVERSAL,1840,3268,0.5630354957160343,1195
BAND_BROAD,DOWN,1001-1500,2D,NEW_EXTREME,183,3268,0.05599755201958384,167
BAND_BROAD,DOWN,1001-1500,3D,STABILIZED,1447,3262,0.4435928877988964,1008
BAND_BROAD,DOWN,1001-1500,3D,1S_RECOVERY,673,3262,0.20631514408338442,540
BAND_BROAD,DOWN,1001-1500,3D,25P_GIVEBACK,1314,3262,0.4028203556100552,943
BAND_BROAD,DOWN,1001-1500,3D,50P_GIVEBACK,984,3262,0.3016554261189454,736
BAND_BROAD,DOWN,1001-1500,3D,FULL_REVERSAL,1815,3262,0.5564071122011036,1185
BAND_BROAD,DOWN,1001-1500,3D,NEW_EXTREME,252,3262,0.07725321888412018,220
BAND_BROAD,DOWN,1001-1500,5D,STABILIZED,1398,3270,0.42752293577981654,961
BAND_BROAD,DOWN,1001-1500,5D,1S_RECOVERY,640,3270,0.19571865443425077,512
BAND_BROAD,DOWN,1001-1500,5D,25P_GIVEBACK,1449,3270,0.44311926605504587,1004
BAND_BROAD,DOWN,1001-1500,5D,50P_GIVEBACK,1151,3270,0.35198776758409783,840
BAND_BROAD,DOWN,1001-1500,5D,FULL_REVERSAL,1872,3270,0.5724770642201835,1216
BAND_BROAD,DOWN,1001-1500,5D,NEW_EXTREME,333,3270,0.1018348623853211,279
BAND_BROAD,DOWN,1001-1500,7D,STABILIZED,1413,3263,0.43303708243947286,974
BAND_BROAD,DOWN,1001-1500,7D,1S_RECOVERY,627,3263,0.19215445908673,492
BAND_BROAD,DOWN,1001-1500,7D,25P_GIVEBACK,1512,3263,0.4633772601900092,1023
BAND_BROAD,DOWN,1001-1500,7D,50P_GIVEBACK,1225,3263,0.37542139135764635,879
BAND_BROAD,DOWN,1001-1500,7D,FULL_REVERSAL,1850,3263,0.5669629175605271,1197
BAND_BROAD,DOWN,1001-1500,7D,NEW_EXTREME,421,3263,0.1290223720502605,341
BAND_BROAD,DOWN,1001-1500,10D,STABILIZED,1430,3259,0.43878490334458425,981
BAND_BROAD,DOWN,1001-1500,10D,1S_RECOVERY,678,3259,0.20803927585148818,510
BAND_BROAD,DOWN,1001-1500,10D,25P_GIVEBACK,1534,3259,0.4706965326787358,1046
BAND_BROAD,DOWN,1001-1500,10D,50P_GIVEBACK,1272,3259,0.3903037741638539,898
BAND_BROAD,DOWN,1001-1500,10D,FULL_REVERSAL,1829,3259,0.5612150966554158,1171
BAND_BROAD,DOWN,1001-1500,10D,NEW_EXTREME,519,3259,0.15925130408100643,408
BAND_BROAD,DOWN,1001-1500,14D,STABILIZED,1435,3265,0.43950995405819293,980
BAND_BROAD,DOWN,1001-1500,14D,1S_RECOVERY,663,3265,0.20306278713629403,512
BAND_BROAD,DOWN,1001-1500,14D,25P_GIVEBACK,1564,3265,0.4790199081163859,1051
BAND_BROAD,DOWN,1001-1500,14D,50P_GIVEBACK,1351,3265,0.4137825421133231,933
BAND_BROAD,DOWN,1001-1500,14D,FULL_REVERSAL,1830,3265,0.5604900459418071,1157
BAND_BROAD,DOWN,1001-1500,14D,NEW_EXTREME,624,3265,0.1911179173047473,491
BAND_BROAD,DOWN,1001-1500,21D,STABILIZED,1433,3261,0.4394357559030972,970
BAND_BROAD,DOWN,1001-1500,21D,1S_RECOVERY,668,3261,0.2048451395277522,503
BAND_BROAD,DOWN,1001-1500,21D,25P_GIVEBACK,1596,3261,0.48942042318307266,1056
BAND_BROAD,DOWN,1001-1500,21D,50P_GIVEBACK,1397,3261,0.4283961974854339,952
BAND_BROAD,DOWN,1001-1500,21D,FULL_REVERSAL,1828,3261,0.5605642440969028,1165
BAND_BROAD,DOWN,1001-1500,21D,NEW_EXTREME,744,3261,0.2281508739650414,563
BAND_BROAD,DOWN,1001-1500,30D,STABILIZED,1424,3264,0.4362745098039216,956
BAND_BROAD,DOWN,1001-1500,30D,1S_RECOVERY,703,3264,0.21537990196078433,525
BAND_BROAD,DOWN,1001-1500,30D,25P_GIVEBACK,1651,3264,0.5058210784313726,1084
BAND_BROAD,DOWN,1001-1500,30D,50P_GIVEBACK,1485,3264,0.45496323529411764,995
BAND_BROAD,DOWN,1001-1500,30D,FULL_REVERSAL,1840,3264,0.5637254901960784,1168
BAND_BROAD,DOWN,1001-1500,30D,NEW_EXTREME,853,3264,0.2613357843137255,622
BAND_BROAD,DOWN,1501-2000,1D,STABILIZED,2105,4878,0.4315293152931529,1436
BAND_BROAD,DOWN,1501-2000,1D,1S_RECOVERY,882,4878,0.18081180811808117,713
BAND_BROAD,DOWN,1501-2000,1D,25P_GIVEBACK,1652,4878,0.33866338663386636,1166
BAND_BROAD,DOWN,1501-2000,1D,50P_GIVEBACK,1214,4878,0.24887248872488724,901
BAND_BROAD,DOWN,1501-2000,1D,FULL_REVERSAL,2773,4878,0.568470684706847,1695
BAND_BROAD,DOWN,1501-2000,1D,NEW_EXTREME,131,4878,0.026855268552685527,121
BAND_BROAD,DOWN,1501-2000,2D,STABILIZED,1993,4907,0.4061544732015488,1371
BAND_BROAD,DOWN,1501-2000,2D,1S_RECOVERY,846,4907,0.17240676584471162,680
BAND_BROAD,DOWN,1501-2000,2D,25P_GIVEBACK,1954,4907,0.39820664357040964,1323
BAND_BROAD,DOWN,1501-2000,2D,50P_GIVEBACK,1504,4907,0.3065009170572651,1075
BAND_BROAD,DOWN,1501-2000,2D,FULL_REVERSAL,2914,4907,0.5938455267984512,1755
BAND_BROAD,DOWN,1501-2000,2D,NEW_EXTREME,263,4907,0.05359690238434889,222
BAND_BROAD,DOWN,1501-2000,3D,STABILIZED,1957,4918,0.39792598617324115,1332
BAND_BROAD,DOWN,1501-2000,3D,1S_RECOVERY,851,4918,0.17303782025213502,683
BAND_BROAD,DOWN,1501-2000,3D,25P_GIVEBACK,2160,4918,0.43920292801952016,1423
BAND_BROAD,DOWN,1501-2000,3D,50P_GIVEBACK,1681,4918,0.3418056120374136,1176
BAND_BROAD,DOWN,1501-2000,3D,FULL_REVERSAL,2961,4918,0.6020740138267588,1776
BAND_BROAD,DOWN,1501-2000,3D,NEW_EXTREME,341,4918,0.06933712891419276,288
BAND_BROAD,DOWN,1501-2000,5D,STABILIZED,1901,4913,0.38693262772236925,1308
BAND_BROAD,DOWN,1501-2000,5D,1S_RECOVERY,815,4913,0.16588642377366172,650
BAND_BROAD,DOWN,1501-2000,5D,25P_GIVEBACK,2356,4913,0.47954406676165273,1519
BAND_BROAD,DOWN,1501-2000,5D,50P_GIVEBACK,1930,4913,0.39283533482597194,1310
BAND_BROAD,DOWN,1501-2000,5D,FULL_REVERSAL,3012,4913,0.6130673722776308,1798
BAND_BROAD,DOWN,1501-2000,5D,NEW_EXTREME,434,4913,0.08833706492977814,363
BAND_BROAD,DOWN,1501-2000,7D,STABILIZED,1898,4919,0.38585078267940637,1291
BAND_BROAD,DOWN,1501-2000,7D,1S_RECOVERY,833,4919,0.16934336247204718,663
BAND_BROAD,DOWN,1501-2000,7D,25P_GIVEBACK,2468,4919,0.5017279934946127,1586
BAND_BROAD,DOWN,1501-2000,7D,50P_GIVEBACK,2094,4919,0.42569627973165275,1394
BAND_BROAD,DOWN,1501-2000,7D,FULL_REVERSAL,3021,4919,0.6141492173205936,1807
BAND_BROAD,DOWN,1501-2000,7D,NEW_EXTREME,572,4919,0.1162837975198211,473
BAND_BROAD,DOWN,1501-2000,10D,STABILIZED,1866,4915,0.37965412004069177,1267
BAND_BROAD,DOWN,1501-2000,10D,1S_RECOVERY,865,4915,0.17599186164801628,666
BAND_BROAD,DOWN,1501-2000,10D,25P_GIVEBACK,2583,4915,0.5255340793489318,1629
BAND_BROAD,DOWN,1501-2000,10D,50P_GIVEBACK,2241,4915,0.45595116988809764,1476
BAND_BROAD,DOWN,1501-2000,10D,FULL_REVERSAL,3049,4915,0.6203458799593082,1818
BAND_BROAD,DOWN,1501-2000,10D,NEW_EXTREME,690,4915,0.14038657171922686,549
BAND_BROAD,DOWN,1501-2000,14D,STABILIZED,1842,4919,0.37446635495019315,1254
BAND_BROAD,DOWN,1501-2000,14D,1S_RECOVERY,864,4919,0.17564545639357593,673
BAND_BROAD,DOWN,1501-2000,14D,25P_GIVEBACK,2700,4919,0.5488920512299248,1681
BAND_BROAD,DOWN,1501-2000,14D,50P_GIVEBACK,2393,4919,0.48648099207155926,1547
BAND_BROAD,DOWN,1501-2000,14D,FULL_REVERSAL,3077,4919,0.6255336450498069,1832
BAND_BROAD,DOWN,1501-2000,14D,NEW_EXTREME,792,4919,0.1610083350274446,626
BAND_BROAD,DOWN,1501-2000,21D,STABILIZED,1858,4925,0.37725888324873097,1243
BAND_BROAD,DOWN,1501-2000,21D,1S_RECOVERY,873,4925,0.17725888324873096,668
BAND_BROAD,DOWN,1501-2000,21D,25P_GIVEBACK,2794,4925,0.5673096446700507,1708
