rank_band,class7,n,assets,p_rev7,p_recover1s_3d,p_giveback50_7d,p_new_extreme_7d,med_signed_fwd7,p_1s_7d
1001-1500,CONTINUATION,12125,2966,0.0,0.43843298969072164,0.0,0.4950927835051546,0.2363274175487228,0.581278350515464
1001-1500,FULL_GIVEBACK,11675,3174,1.0,0.020214132762312632,1.0,0.0,-0.2001775372626681,0.0
1001-1500,PARTIAL_GIVEBACK_NEUTRAL,13141,3353,0.696902823225021,0.06666159348603606,0.0,0.0,-0.0329030671337402,0.0066205007229282395
1501-2000,CONTINUATION,10538,3089,0.0,0.4149743784399317,0.0,0.49715315999240844,0.2673098328250705,0.5764851015372936
1501-2000,FULL_GIVEBACK,9896,3183,1.0,0.024353274050121262,1.0,0.0,-0.21207600158298684,0.0
1501-2000,PARTIAL_GIVEBACK_NEUTRAL,11729,3248,0.6634836729473953,0.06530821041862052,0.0,0.0,-0.0279176792347781,0.005200784380595106
501-750,CONTINUATION,4755,1507,0.0,0.42965299684542585,0.0,0.4975814931650894,0.1757575757575757,0.5709779179810726
501-750,FULL_GIVEBACK,5059,1722,1.0,0.025696778019371418,1.0,0.0,-0.1821209794957495,0.0
501-750,PARTIAL_GIVEBACK_NEUTRAL,5493,1825,0.7107227380302202,0.075732750773712,0.0,0.0,-0.0292155311711498,0.0070999453850355
751-1000,CONTINUATION,5429,1871,0.0,0.4431755387732547,0.0,0.5043286056363971,0.2090214176268466,0.5763492355866642
751-1000,FULL_GIVEBACK,5103,1955,1.0,0.023123652753282382,1.0,0.0,-0.1871031149047671,0.0
751-1000,PARTIAL_GIVEBACK_NEUTRAL,5593,2118,0.6867512962631861,0.07777579116753085,0.0,0.0,-0.02748565593682515,0.007151796888968353
