rank_band,quadrant,n,assets,tail2,tail3,up_share,disp,median_z
1001-1500,BRD_HI_DISP_HI,3990,2096,0.06616541353383458,0.032330827067669175,0.5380952380952381,15.298839611499723,0.3893719772617865
1001-1500,BRD_HI_DISP_LO,544210,5145,0.058126458536226826,0.024903989268848424,0.4697194097866632,0.5093780892094392,0.4043220191772045
1001-1500,BRD_LO_DISP_HI,2981,1833,0.06910432740691043,0.029184837302918484,0.32505870513250584,9.952333029586827,0.45380000194480247
1001-1500,BRD_LO_DISP_LO,545803,4922,0.05235771881063314,0.02106071238157357,0.42227140561704496,0.4084146690050134,0.3964059844283586
1501-2000,BRD_HI_DISP_HI,1976,1602,0.05313765182186235,0.02479757085020243,0.36133603238866396,96.45636771275956,0.3752645278278619
1501-2000,BRD_HI_DISP_LO,545925,5221,0.055795209964738746,0.023875074414983745,0.4565334066034712,0.3367209742148794,0.35516478236833926
1501-2000,BRD_LO_DISP_HI,3000,1293,0.09666666666666666,0.053,0.5566666666666666,32.27178680019717,0.4383213115067239
1501-2000,BRD_LO_DISP_LO,545588,5365,0.052460831249954175,0.020905885026796776,0.40803683365469917,0.2364951325976202,0.35791707633098524
501-750,BRD_HI_DISP_HI,5999,1583,0.049674945824304054,0.024670778463077178,0.49974995832638774,469.6039200974419,0.4061161850578463
501-750,BRD_HI_DISP_LO,268240,3274,0.05463390993140471,0.023941246644795706,0.5046339099314047,0.5417018784227365,0.43332523486704994
501-750,BRD_LO_DISP_HI,4749,1242,0.03979785217940619,0.02000421141292904,0.44261949884186147,53.88454447932286,0.3719081795828958
501-750,BRD_LO_DISP_LO,269737,3180,0.04674553361237057,0.018729354890133724,0.4434133989775226,0.43286266101788895,0.4115463068082825
751-1000,BRD_HI_DISP_HI,3250,1388,0.0716923076923077,0.03415384615384615,0.5495384615384615,48817.68102446917,0.4411628056272045
751-1000,BRD_HI_DISP_LO,270930,3768,0.0574687188572694,0.02431993503857085,0.480301184807884,0.487145820083918,0.4276804306713682
751-1000,BRD_LO_DISP_HI,1748,1036,0.057208237986270026,0.02459954233409611,0.4073226544622426,24.27335936587177,0.44689018289370214
751-1000,BRD_LO_DISP_LO,272680,3718,0.051921666422179845,0.020580900689452838,0.4269803432594983,0.38990118887263003,0.41620633877550106
