sequence,n,assets,periods,p_recover1s3,baseline,lift
BAND_BROAD_DOWN -> 1S_RECOVERY,4843,2486,25,1.0,0.16832144924115996,0.83167855075884
BAND_BROAD_DOWN -> NO_1S_BY_3D,26375,4745,25,0.0,0.16832144924115996,-0.16832144924115996
BAND_BROAD_UP -> 1S_RECOVERY,9669,3495,25,1.0,0.16832144924115996,0.83167855075884
BAND_BROAD_UP -> NO_1S_BY_3D,51491,5312,25,0.0,0.16832144924115996,-0.16832144924115996
ISOLATED_DOWN -> 1S_RECOVERY,177,158,25,1.0,0.16832144924115996,0.83167855075884
ISOLATED_DOWN -> NO_1S_BY_3D,848,621,25,0.0,0.16832144924115996,-0.16832144924115996
ISOLATED_UP -> NO_1S_BY_3D,161,154,22,0.0,0.16832144924115996,-0.16832144924115996
LOCAL_CLUSTER_DOWN -> 1S_RECOVERY,1703,1117,25,1.0,0.16832144924115996,0.83167855075884
LOCAL_CLUSTER_DOWN -> NO_1S_BY_3D,8860,3019,25,0.0,0.16832144924115996,-0.16832144924115996
LOCAL_CLUSTER_UP -> 1S_RECOVERY,964,717,25,1.0,0.16832144924115996,0.83167855075884
LOCAL_CLUSTER_UP -> NO_1S_BY_3D,5802,2373,25,0.0,0.16832144924115996,-0.16832144924115996
MULTI_BAND_DOWN -> 1S_RECOVERY,4887,2256,25,1.0,0.16832144924115996,0.83167855075884
MULTI_BAND_DOWN -> NO_1S_BY_3D,22787,4218,25,0.0,0.16832144924115996,-0.16832144924115996
MULTI_BAND_UP -> 1S_RECOVERY,7687,3171,25,1.0,0.16832144924115996,0.83167855075884
MULTI_BAND_UP -> NO_1S_BY_3D,31689,4861,25,0.0,0.16832144924115996,-0.16832144924115996
