band,sign,amp,lf5,lf3,ratio
501-750,DOWN,2s,11844,9459,1.2521408182683158
501-750,DOWN,3s,3613,2925,1.2352136752136753
501-750,UP,2s,18656,18292,1.0198994095779577
501-750,UP,3s,8492,8792,0.9658780709736123
751-1000,DOWN,2s,11455,11207,1.022129026501294
751-1000,DOWN,3s,3614,3534,1.0226372382569326
751-1000,UP,2s,19180,18854,1.017290760581309
751-1000,UP,3s,8944,8821,1.0139439972792201
1001-1500,DOWN,2s,23504,23204,1.0129288053783831
1001-1500,DOWN,3s,7402,7322,1.0109259765091505
1001-1500,UP,2s,37954,37476,1.0127548297577116
1001-1500,UP,3s,18162,17942,1.0122617322483558
1501-2000,DOWN,2s,26835,26610,1.0084554678692221
1501-2000,DOWN,3s,9304,9222,1.0088917805248319
1501-2000,UP,2s,33296,32867,1.0130526059573433
1501-2000,UP,3s,15609,15426,1.0118630882924933
