rank_band,peer_family,n_events,n_peer_matched,true_loners,false_loners,pct_false,status
1001-1500,RANK_50,82,82,,,,COMPUTED
1001-1500,BEHAVIORAL_10,82,82,74.0,8.0,9.8,COMPUTED
1001-1500,CORR_60_10,82,79,79.0,,,COMPUTED
1001-1500,STATE,82,76,,,,COMPUTED
1001-1500,HYBRID_10,82,82,68.0,14.0,17.1,COMPUTED
101-250,RANK_50,566,566,,,,COMPUTED
101-250,BEHAVIORAL_10,566,566,457.0,109.0,19.3,COMPUTED
101-250,CORR_60_10,566,550,550.0,,,COMPUTED
101-250,STATE,566,510,,,,COMPUTED
101-250,HYBRID_10,566,566,432.0,134.0,23.7,COMPUTED
1501-2000,RANK_50,30,30,,,,COMPUTED
1501-2000,BEHAVIORAL_10,30,30,29.0,1.0,3.3,COMPUTED
1501-2000,CORR_60_10,30,27,27.0,,,COMPUTED
1501-2000,STATE,30,29,,,,COMPUTED
1501-2000,HYBRID_10,30,30,29.0,1.0,3.3,COMPUTED
251-500,RANK_50,537,537,,,,COMPUTED
251-500,BEHAVIORAL_10,537,537,455.0,82.0,15.3,COMPUTED
251-500,CORR_60_10,537,523,523.0,,,COMPUTED
251-500,STATE,537,494,,,,COMPUTED
251-500,HYBRID_10,537,537,452.0,85.0,15.8,COMPUTED
26-100,RANK_50,382,382,,,,COMPUTED
26-100,BEHAVIORAL_10,382,382,257.0,125.0,32.7,COMPUTED
26-100,CORR_60_10,382,375,375.0,,,COMPUTED
26-100,STATE,382,363,,,,COMPUTED
26-100,HYBRID_10,382,382,252.0,130.0,34.0,COMPUTED
501-750,RANK_50,465,465,,,,COMPUTED
501-750,BEHAVIORAL_10,465,465,386.0,79.0,17.0,COMPUTED
501-750,CORR_60_10,465,455,455.0,,,COMPUTED
501-750,STATE,465,439,,,,COMPUTED
501-750,HYBRID_10,465,465,408.0,57.0,12.3,COMPUTED
751-1000,RANK_50,400,400,,,,COMPUTED
751-1000,BEHAVIORAL_10,400,400,352.0,48.0,12.0,COMPUTED
751-1000,CORR_60_10,400,395,395.0,,,COMPUTED
751-1000,STATE,400,382,,,,COMPUTED
751-1000,HYBRID_10,400,400,364.0,36.0,9.0,COMPUTED
ALL,BEHAVIORAL_10,2462,2462,2010.0,452.0,18.4,CROSS_BAND_TOTAL
ALL,CORR_60_10,2462,2404,2404.0,,,CROSS_BAND_TOTAL
ALL,HYBRID_10,2462,2462,2005.0,457.0,18.6,CROSS_BAND_TOTAL
