rank_band,class,n,median_z1,median_vol_63d,median_turnover,median_rank_vel_7d,median_rank_vel_14d,median_listing_age_days,median_log10_mcap,median_btc_ret_1d,median_top500_breadth_30d,median_top500_dispersion_30d,median_residual_RANK_50,median_peer_disp_RANK_50,median_residual_BEHAVIORAL_10,median_peer_disp_BEHAVIORAL_10,median_residual_CORR_60_10,median_peer_disp_CORR_60_10,median_residual_STATE,median_peer_disp_STATE,median_residual_HYBRID_10,median_peer_disp_HYBRID_10
1001-1500,REVERSAL,45,2.5298988819122314,0.06657948344945908,0.012519869953393936,-60.0,-68.0,1064.0,6.723560333251953,0.011231490410864353,0.35600000619888306,0.38565242290496826,-0.17703532008454204,0.10840963613229455,-0.17839157581329346,0.05468757078051567,,,-0.16643114411272109,0.04669376510828882,-0.1859363168478012,0.04926413297653198
1001-1500,PARTIAL_RECOVERY,24,2.276076078414917,0.07669532299041748,0.047969989478588104,-40.5,-48.5,1059.0,6.6459479331970215,0.01424931176006794,0.3240000009536743,0.37117496132850647,-0.19660189154092222,0.09975387502301958,-0.18352197110652924,0.057706959545612335,,,-0.17332070274278522,0.061668005218495525,-0.20015037059783936,0.05666531249880791
1001-1500,EARLY_RECOVERY,12,2.7114338874816895,0.07812032848596573,0.0324980765581131,-84.0,-72.5,1300.5,6.65697717666626,0.005417010746896267,0.515999972820282,0.5011830925941467,-0.20896062022075057,0.17273445795843376,-0.21705462038516998,0.08621799945831299,,,-0.19394806353375316,0.045608138658653916,-0.23326653242111206,0.05332109332084656
101-250,EARLY_RECOVERY,98,2.6064372062683105,0.04394647106528282,0.05040540546178818,-4.0,-3.0,1029.0,8.530220031738281,0.002123260870575905,0.30799999833106995,0.315152645111084,-0.11355615977663547,0.05449689191240359,-0.11728378385305405,0.0370943620800972,,,-0.11563512403517962,0.026996003374465647,-0.11848130077123642,0.031249556690454483
101-250,REVERSAL,283,2.5418667793273926,0.02906065247952938,0.018165549263358116,-1.0,-1.0,745.0,8.551021575927734,0.0039604427292943,0.3100000023841858,0.2887274920940399,-0.07867677343892865,0.05480190862414662,-0.07482042908668518,0.024495381861925125,,,-0.0657398160547018,0.019910253330792764,-0.07396699488162994,0.031218433752655983
101-250,PARTIAL_RECOVERY,177,2.3236021995544434,0.0455942302942276,0.03464721143245697,-1.0,-1.0,1072.0,8.395454406738281,-7.346854545176029e-05,0.2800000011920929,0.27749940752983093,-0.11548633826896548,0.05080922060577415,-0.11326491832733154,0.027296246960759163,,,-0.10551942279562354,0.02660679433728914,-0.11355368793010712,0.02908964455127716
101-250,AMBIGUOUS,8,2.7710013389587402,0.022228844463825226,0.028066301718354225,-3.5,-5.0,1378.5,8.52409839630127,0.0068685272708535194,0.2759999930858612,0.32741105556488037,-0.07865298134856857,0.04707027916624466,-0.07440351694822311,0.029524877667427063,,,-0.08020492712967098,0.028787125118095495,-0.07405411452054977,0.01855991594493389
1501-2000,PARTIAL_RECOVERY,9,2.5491602420806885,0.06918492913246155,0.008104776963591576,-55.0,-50.0,685.0,6.146625518798828,0.016056984663009644,0.12399999797344208,0.45351165533065796,-0.19709595292806625,0.10418431454380125,-0.18716667592525482,0.04564839228987694,,,-0.22169078886508942,0.056530626911691174,-0.2075033187866211,0.05993979051709175
1501-2000,REVERSAL,18,2.2576231956481934,0.13526581227779388,0.003235326614230871,-128.0,-106.0,1174.0,5.796449184417725,0.010272707790136337,0.49900001287460327,0.5329157114028931,-0.35352477454580367,0.1333148540901352,-0.3473893404006958,0.0947776585817337,,,-0.3320836815983057,0.09556650580508166,-0.36262524127960205,0.07576801627874374
251-500,PARTIAL_RECOVERY,178,2.4813404083251953,0.054517101496458054,0.029400618746876717,-12.0,-7.0,859.5,7.916615962982178,0.0034383987076580524,0.343999981880188,0.29607370495796204,-0.15272150562668685,0.06117055046167934,-0.1509692519903183,0.0403204970061779,,,-0.14388892584247515,0.03351183930691404,-0.15268102288246155,0.038485586643218994
251-500,REVERSAL,247,2.457465887069702,0.04212953522801399,0.012112075462937355,-20.0,-20.0,911.0,7.894197463989258,0.006175925023853779,0.328000009059906,0.32233765721321106,-0.11177460076578427,0.06426398515604229,-0.10600508749485016,0.03789237141609192,,,-0.10832744743674994,0.02743594452788751,-0.11239060759544373,0.03577547147870064
251-500,AMBIGUOUS,5,2.2555112838745117,0.11039813607931137,0.0027545392513275146,-23.0,-38.0,733.0,7.556604862213135,0.019661525264382362,0.38600000739097595,0.36146727204322815,-0.2980676637380384,0.08443223056493955,-0.2849539518356323,0.03999710828065872,,,-0.374775328906253,0.035014804161964716,-0.2852836549282074,0.0416206456720829
251-500,EARLY_RECOVERY,107,2.663900136947632,0.04027500003576279,0.025664472952485085,-26.0,-31.0,700.0,7.909056186676025,0.008439752273261547,0.3880000114440918,0.37022778391838074,-0.11696106242015958,0.06264866675929118,-0.11315549910068512,0.04286942631006241,,,-0.11329006566666067,0.030565592517470333,-0.11723107099533081,0.03668311983346939
26-100,PARTIAL_RECOVERY,116,2.379781723022461,0.029831666499376297,0.045062609016895294,0.0,0.0,1215.0,8.963493347167969,-0.0012565067736431956,0.4189999997615814,0.34957340359687805,-0.05752315087011084,0.03811689075712671,-0.05323652923107147,0.023934250697493553,,,-0.05945585654262686,0.023815957564964484,-0.05585065484046936,0.029150215908885002
26-100,REVERSAL,188,2.5420026779174805,0.018241215497255325,0.045941393822431564,-1.0,-1.0,885.5,8.945005416870117,-0.003448548959568143,0.3059999942779541,0.3127947747707367,-0.04473640420474112,0.03840400521607537,-0.0350806787610054,0.02005627565085888,,,-0.036148834973573685,0.018136346675118157,-0.031769126653671265,0.019615791738033295
26-100,EARLY_RECOVERY,74,2.602419853210449,0.03722552955150604,0.07209338992834091,-3.0,-4.5,936.0,8.849284172058105,-0.0049760108813643456,0.3320000171661377,0.3016130328178406,-0.08975802781060338,0.0383817456873958,-0.08085981756448746,0.030703220516443253,,,-0.08336337310356612,0.018588113374994053,-0.0889231413602829,0.027770590037107468
501-750,REVERSAL,235,2.453878402709961,0.051468104124069214,0.011436095461249352,-23.0,-33.0,912.0,7.481029033660889,0.005945422220975161,0.29600000381469727,0.29108932614326477,-0.14193165372125804,0.07600966721195028,-0.12759949266910553,0.039580393582582474,,,-0.1308903768658638,0.029857079922493014,-0.1413608342409134,0.0411626361310482
501-750,EARLY_RECOVERY,85,2.645320177078247,0.043005917221307755,0.05035966634750366,-41.0,-39.0,597.0,7.544070720672607,0.008429680950939655,0.28999999165534973,0.2991185188293457,-0.14634954370558262,0.06468766004882391,-0.13817766308784485,0.05451412498950958,,,-0.1462892577983439,0.032611556182290134,-0.14625239372253418,0.040731560438871384
501-750,PARTIAL_RECOVERY,140,2.376901626586914,0.05953296273946762,0.05105061084032059,-27.0,-36.0,781.0,7.464868545532227,0.007208122406154871,0.2540000081062317,0.3248310387134552,-0.15769390276182094,0.0694887695896631,-0.14999377727508545,0.04218506067991257,,,-0.14305700128898025,0.032237043692581735,-0.155391126871109,0.041756875813007355
501-750,AMBIGUOUS,5,2.784065008163452,0.017130492255091667,0.12063069641590118,-45.0,-42.0,1753.0,7.450484275817871,0.018912827596068382,0.6940000057220459,0.3568672835826874,-0.14498208835721016,0.06494868810945732,-0.10364801436662674,0.018563615158200264,,,-0.1683992986800149,0.025386829630319567,-0.10712363570928574,0.05142364650964737
751-1000,REVERSAL,202,2.5021419525146484,0.05853284150362015,0.014182968996465206,-35.0,-41.5,800.5,7.119178771972656,0.006666737142950296,0.36500000953674316,0.3427817225456238,-0.16290907117945608,0.08515157189400352,-0.1469580978155136,0.04380998760461807,,,-0.16036344463395835,0.03526892850791119,-0.16046421229839325,0.048273660242557526
751-1000,PARTIAL_RECOVERY,127,2.4585230350494385,0.058598510921001434,0.05655079707503319,-25.0,-24.0,830.0,7.177725315093994,0.00816216692328453,0.3400000035762787,0.3188930153846741,-0.15385856665670872,0.08107449087224605,-0.14771077036857605,0.049240756779909134,,,-0.146830883808434,0.0348844289601617,-0.1563410609960556,0.043349362909793854
751-1000,EARLY_RECOVERY,62,2.7500815391540527,0.055420584976673126,0.08274396508932114,-50.0,-43.5,810.5,7.243483543395996,0.008882425725460052,0.335999995470047,0.3979651629924774,-0.160236407071352,0.08272646962739834,-0.16171889007091522,0.041366130113601685,,,-0.15474351681768894,0.03857342897478902,-0.16374272108078003,0.051172301173210144
751-1000,AMBIGUOUS,9,2.6457512378692627,0.08268426358699799,0.005715095903724432,-43.0,-99.0,877.0,7.244287967681885,0.008715858682990074,0.36800000071525574,0.22834691405296326,-0.2750398530624807,0.0600960021338654,-0.26722395420074463,0.03568102791905403,,,-0.2770298214163631,0.03299265924256366,-0.2762165367603302,0.09501738846302032
