rank_band,horizon,cross_state,n,median_return,median_rank_vel,pct_of_band
1001-1500,3,PRICE_DOWN_RANK_DOWN,51,-0.12312876433134079,-56.0,0.6219512195121951
1001-1500,3,PRICE_DOWN_RANK_UP,19,0.0299123115837574,25.0,0.23170731707317074
1001-1500,3,PRICE_UP_RANK_UP,12,0.28630056977272034,84.5,0.14634146341463414
1001-1500,7,PRICE_DOWN_RANK_DOWN,46,-0.21522163599729538,-73.5,0.5609756097560976
1001-1500,7,PRICE_DOWN_RANK_UP,24,0.0719553641974926,49.0,0.2926829268292683
1001-1500,7,PRICE_UP_RANK_DOWN,3,0.22106309235095978,-15.0,0.036585365853658534
1001-1500,7,PRICE_UP_RANK_UP,9,0.4939516484737396,125.0,0.10975609756097561
1001-1500,14,PRICE_DOWN_RANK_DOWN,42,-0.11916110664606094,-68.5,0.5121951219512195
1001-1500,14,PRICE_DOWN_RANK_UP,31,0.06193151697516441,62.0,0.3780487804878049
1001-1500,14,PRICE_UP_RANK_UP,9,0.35302531719207764,123.0,0.10975609756097561
1001-1500,30,PRICE_DOWN_RANK_DOWN,36,-0.2632354348897934,-98.5,0.43902439024390244
1001-1500,30,PRICE_DOWN_RANK_UP,40,0.12319228425621986,103.5,0.4878048780487805
1001-1500,30,PRICE_UP_RANK_DOWN,1,0.29617977142333984,-51.0,0.012195121951219513
1001-1500,30,PRICE_UP_RANK_UP,5,0.3723475933074951,126.0,0.06097560975609756
101-250,3,PRICE_DOWN_RANK_DOWN,304,-0.022725407034158707,-2.0,0.5371024734982333
101-250,3,PRICE_DOWN_RANK_UP,171,0.006421645171940327,4.0,0.30212014134275617
101-250,3,PRICE_UP_RANK_DOWN,18,0.05942423641681671,-1.0,0.03180212014134275
101-250,3,PRICE_UP_RANK_UP,73,0.1424916833639145,13.0,0.12897526501766785
101-250,7,PRICE_DOWN_RANK_DOWN,285,-0.007961411029100418,-2.0,0.5035335689045937
101-250,7,PRICE_DOWN_RANK_UP,183,0.002551283221691847,5.0,0.32332155477031804
101-250,7,PRICE_UP_RANK_DOWN,17,0.08349951356649399,-4.0,0.030035335689045935
101-250,7,PRICE_UP_RANK_UP,81,0.21774718165397644,15.0,0.1431095406360424
101-250,14,PRICE_DOWN_RANK_DOWN,250,-0.015206749550998211,-4.0,0.4416961130742049
101-250,14,PRICE_DOWN_RANK_UP,221,0.010202160105109215,8.0,0.39045936395759717
101-250,14,PRICE_UP_RANK_DOWN,21,0.17143601179122925,-3.0,0.037102473498233215
101-250,14,PRICE_UP_RANK_UP,74,0.29586173593997955,24.0,0.13074204946996468
101-250,30,PRICE_DOWN_RANK_DOWN,231,-0.010118172038346529,-7.0,0.4081272084805654
101-250,30,PRICE_DOWN_RANK_UP,241,0.005492859520018101,13.0,0.42579505300353354
101-250,30,PRICE_UP_RANK_DOWN,13,0.26624006032943726,-5.0,0.022968197879858657
101-250,30,PRICE_UP_RANK_UP,81,0.425009548664093,45.0,0.1431095406360424
1501-2000,3,PRICE_DOWN_RANK_DOWN,18,-0.23170611262321472,-38.0,0.6
1501-2000,3,PRICE_DOWN_RANK_UP,8,-0.024755076505243778,14.5,0.26666666666666666
1501-2000,3,PRICE_UP_RANK_UP,4,0.2758346349000931,95.5,0.13333333333333333
1501-2000,7,PRICE_DOWN_RANK_DOWN,18,-0.28870368003845215,-115.0,0.6
1501-2000,7,PRICE_DOWN_RANK_UP,10,0.03181707113981247,25.5,0.3333333333333333
