rank_band,response,n,median_fwd7_return,pct_btc_supportive
1001-1500,HEALTHY_RESPONSE,17,0.1915377825498581,1.0
1001-1500,NO_RESPONSE,2,-0.03298515942879021,1.0
1001-1500,PRICE_ONLY_RESPONSE,10,0.07163823023438454,1.0
1001-1500,RANK_ONLY_RESPONSE,5,-0.02571013756096363,1.0
1001-1500,WEAK_RESPONSE,30,-0.3360307365655899,1.0
101-250,HEALTHY_RESPONSE,93,0.14984583854675293,0.989247311827957
101-250,NO_RESPONSE,29,-0.007781784050166607,0.9655172413793104
101-250,PRICE_ONLY_RESPONSE,62,0.02778188418596983,0.9838709677419355
101-250,RANK_ONLY_RESPONSE,42,-0.026706453412771225,1.0
101-250,WEAK_RESPONSE,86,-0.13258244842290878,0.9767441860465116
1501-2000,HEALTHY_RESPONSE,7,0.09827586263418198,1.0
1501-2000,NO_RESPONSE,3,-0.04776651784777641,1.0
1501-2000,PRICE_ONLY_RESPONSE,3,0.0535246916115284,1.0
1501-2000,RANK_ONLY_RESPONSE,2,-0.20996963046491146,1.0
1501-2000,WEAK_RESPONSE,11,-1.044629454612732,1.0
251-500,HEALTHY_RESPONSE,149,0.13158997893333435,0.9798657718120806
251-500,NO_RESPONSE,27,-0.023229636251926422,1.0
251-500,PRICE_ONLY_RESPONSE,34,0.054264167323708534,0.9411764705882353
251-500,RANK_ONLY_RESPONSE,48,-0.021608000621199608,1.0
251-500,WEAK_RESPONSE,97,-0.19111523032188416,1.0
26-100,HEALTHY_RESPONSE,74,0.12218949943780899,0.9864864864864865
26-100,NO_RESPONSE,18,-0.01021137973293662,1.0
26-100,PRICE_ONLY_RESPONSE,29,0.021415695548057556,1.0
26-100,RANK_ONLY_RESPONSE,32,-0.007950473809614778,1.0
26-100,WEAK_RESPONSE,52,-0.07233944907784462,1.0
501-750,HEALTHY_RESPONSE,124,0.14166998118162155,0.9919354838709677
501-750,NO_RESPONSE,29,-0.02540884166955948,1.0
501-750,PRICE_ONLY_RESPONSE,35,0.029743578284978867,1.0
501-750,RANK_ONLY_RESPONSE,41,-0.04364234209060669,1.0
501-750,WEAK_RESPONSE,100,-0.16625700891017914,0.99
751-1000,HEALTHY_RESPONSE,111,0.12125225365161896,1.0
751-1000,NO_RESPONSE,19,-0.03721354529261589,1.0
751-1000,PRICE_ONLY_RESPONSE,19,0.03550484776496887,1.0
751-1000,RANK_ONLY_RESPONSE,53,-0.03435622155666351,0.9811320754716981
751-1000,WEAK_RESPONSE,88,-0.2090257629752159,1.0
