rank_band,participation,sign,n,median_z1,pct_reversal_7d,pct_recovery_1s_7d
1-25,ISOLATED,DOWN,249,2.4238526821136475,0.5943775100401606,0.1285140562248996
1-25,ISOLATED,UP,414,2.577481746673584,0.5869565217391305,0.14009661835748793
1-25,LOCAL_CLUSTER,DOWN,268,2.2857656478881836,0.5261194029850746,0.16044776119402984
1-25,LOCAL_CLUSTER,UP,775,2.6235597133636475,0.5225806451612903,0.22451612903225807
1-25,BAND_BROAD,DOWN,754,2.649932622909546,0.5583554376657824,0.1206896551724138
1-25,BAND_BROAD,UP,720,2.7584033012390137,0.5111111111111111,0.1527777777777778
1001-1500,ISOLATED,DOWN,82,2.460211753845215,0.5487804878048781,0.14634146341463414
1001-1500,LOCAL_CLUSTER,DOWN,2756,2.5183868408203125,0.532656023222061,0.1509433962264151
1001-1500,LOCAL_CLUSTER,UP,533,3.084933280944824,0.7035647279549718,0.09943714821763602
1001-1500,BAND_BROAD,DOWN,11136,2.531543731689453,0.4953304597701149,0.17420977011494254
1001-1500,BAND_BROAD,UP,18291,2.967738151550293,0.6785850964955442,0.11973101525340331
101-250,ISOLATED,DOWN,566,2.5162312984466553,0.5,0.17314487632508835
101-250,ISOLATED,UP,343,2.9053447246551514,0.6501457725947521,0.11661807580174927
101-250,LOCAL_CLUSTER,DOWN,1266,2.4920220375061035,0.49921011058451814,0.17851500789889416
101-250,LOCAL_CLUSTER,UP,3263,2.8350868225097656,0.6304014710389212,0.14434569414649095
101-250,BAND_BROAD,DOWN,1078,2.2818150520324707,0.4684601113172542,0.20964749536178107
101-250,BAND_BROAD,UP,4845,2.7330572605133057,0.5589267285861713,0.1979360165118679
1501-2000,ISOLATED,DOWN,30,2.3549230098724365,0.6,0.06666666666666667
1501-2000,ISOLATED,UP,7,2.3048200607299805,0.8571428571428571,0.0
1501-2000,LOCAL_CLUSTER,DOWN,1678,2.5344207286834717,0.5524433849821215,0.10965435041716329
1501-2000,LOCAL_CLUSTER,UP,694,2.885610342025757,0.6512968299711815,0.10951008645533142
1501-2000,BAND_BROAD,DOWN,15130,2.5988168716430664,0.5237276933245208,0.1388631857237277
1501-2000,BAND_BROAD,UP,19681,2.9422171115875244,0.646410243381942,0.11986179564046542
251-500,ISOLATED,DOWN,537,2.500079870223999,0.45996275605214154,0.19925512104283055
251-500,ISOLATED,UP,111,2.826707601547241,0.6936936936936937,0.10810810810810811
251-500,LOCAL_CLUSTER,DOWN,2466,2.523725986480713,0.48580697485806973,0.18329278183292783
251-500,LOCAL_CLUSTER,UP,2969,2.9392495155334473,0.6709329740653419,0.13203098686426407
251-500,BAND_BROAD,DOWN,1783,2.3218770027160645,0.4627033090297252,0.1968592260235558
251-500,BAND_BROAD,UP,10601,2.822465658187866,0.6179605697575701,0.16196585227808696
26-100,ISOLATED,DOWN,382,2.464535713195801,0.49214659685863876,0.193717277486911
26-100,ISOLATED,UP,544,2.648327589035034,0.6047794117647058,0.16176470588235295
26-100,LOCAL_CLUSTER,DOWN,482,2.3654913902282715,0.5746887966804979,0.17219917012448133
26-100,LOCAL_CLUSTER,UP,2027,2.6532108783721924,0.5752343364578194,0.18253576714356193
26-100,BAND_BROAD,DOWN,703,2.2758235931396484,0.5092460881934566,0.1337126600284495
26-100,BAND_BROAD,UP,2079,2.6634228229522705,0.4834054834054834,0.2405002405002405
501-750,ISOLATED,DOWN,465,2.453878402709961,0.5053763440860215,0.1827956989247312
501-750,ISOLATED,UP,106,3.233031749725342,0.6792452830188679,0.12264150943396226
501-750,LOCAL_CLUSTER,DOWN,3004,2.50185489654541,0.49900133155792276,0.177762982689747
501-750,LOCAL_CLUSTER,UP,2911,2.991670846939087,0.6640329783579526,0.13912744761250428
501-750,BAND_BROAD,DOWN,2834,2.409123420715332,0.4693013408609739,0.19795342272406494
501-750,BAND_BROAD,UP,11026,2.8850722312927246,0.6268819154725195,0.16524578269544712
751-1000,ISOLATED,DOWN,400,2.510434865951538,0.505,0.155
751-1000,ISOLATED,UP,70,3.260552406311035,0.7,0.11428571428571428
751-1000,LOCAL_CLUSTER,DOWN,3507,2.5257534980773926,0.4644995722840034,0.19047619047619047
751-1000,LOCAL_CLUSTER,UP,2650,2.961879014968872,0.689433962264151,0.11849056603773585
751-1000,BAND_BROAD,DOWN,3271,2.469454288482666,0.49098135126872516,0.18557016202996027
751-1000,BAND_BROAD,UP,12534,2.909186840057373,0.631641933939684,0.1530237753310994
OUT,ISOLATED,DOWN,28,2.422024726867676,0.7142857142857143,0.07142857142857142
OUT,ISOLATED,UP,18,4.464549541473389,0.2222222222222222,0.4444444444444444
OUT,LOCAL_CLUSTER,DOWN,41,2.8828656673431396,0.7804878048780488,0.04878048780487805
OUT,LOCAL_CLUSTER,UP,25,3.7712953090667725,0.24,0.24
