basket,rank_band,n,median_return,dispersion,breadth,tail_share,peer_norm_rate_BEHAVIORAL_10,peer_norm_rate_CORR_60_10
TRUE_LONER,1001-1500,86,-0.1837901771068573,0.19161522388458252,0.046511627906976744,0.313953488372093,0.5116279069767442,0.0
TRUE_LONER,101-250,909,-0.016205482184886932,0.1182139441370964,0.3773377337733773,0.36743674367436746,0.429042904290429,0.0
TRUE_LONER,1501-2000,37,-0.22169078886508942,0.24987252056598663,0.1891891891891892,0.21621621621621623,0.35135135135135137,0.0
TRUE_LONER,251-500,648,-0.09941331297159195,0.1355120688676834,0.1712962962962963,0.32407407407407407,0.5123456790123457,0.0
TRUE_LONER,26-100,926,0.037657730281353,0.11248447000980377,0.5874730021598272,0.3174946004319654,0.3207343412526998,0.0
TRUE_LONER,501-750,571,-0.11429212987422943,0.14959163963794708,0.18563922942206654,0.3397548161120841,0.47810858143607704,0.0
TRUE_LONER,751-1000,470,-0.13644233345985413,0.16269662976264954,0.14893617021276595,0.3148936170212766,0.425531914893617,0.0
EARLY_1SIGMA,1001-1500,14,-0.24267518520355225,0.2840374708175659,0.14285714285714285,0.42857142857142855,0.5,0.0
EARLY_1SIGMA,101-250,139,-0.07678183913230896,0.13888253271579742,0.34532374100719426,0.4028776978417266,0.43884892086330934,0.0
EARLY_1SIGMA,251-500,122,-0.0928269624710083,0.11143943667411804,0.11475409836065574,0.3770491803278688,0.5901639344262295,0.0
EARLY_1SIGMA,26-100,176,0.05091448128223419,0.12352174520492554,0.5454545454545454,0.32386363636363635,0.3693181818181818,0.0
EARLY_1SIGMA,501-750,99,-0.12188927829265594,0.14178015291690826,0.1414141414141414,0.4444444444444444,0.43434343434343436,0.0
EARLY_1SIGMA,751-1000,84,-0.14841759204864502,0.16078808903694153,0.10714285714285714,0.36904761904761907,0.4523809523809524,0.0
NO_1SIGMA,1001-1500,74,-0.17633002996444702,0.1876550316810608,0.05405405405405406,0.3108108108108108,0.5135135135135135,0.0
NO_1SIGMA,101-250,771,-0.008568515069782734,0.11547880619764328,0.39299610894941633,0.3631647211413748,0.4176394293125811,0.0
NO_1SIGMA,1501-2000,35,-0.22169078886508942,0.29172483086586,0.2,0.22857142857142856,0.37142857142857144,0.0
NO_1SIGMA,251-500,529,-0.09868825972080231,0.13579297065734863,0.18714555765595464,0.31758034026465026,0.502835538752363,0.0
NO_1SIGMA,26-100,764,0.04136466234922409,0.1064462959766388,0.5968586387434555,0.3023560209424084,0.31675392670157065,0.0
NO_1SIGMA,501-750,473,-0.11242995411157608,0.15502652525901794,0.19661733615221988,0.321353065539112,0.4820295983086681,0.0
NO_1SIGMA,751-1000,400,-0.1353338658809662,0.1615414023399353,0.155,0.2925,0.4225,0.0
