target_sigma,horizon,n_at_h,p_reached,n_reached,p_hit_full_2s_30d
0.5,1,2459,0.279,686,
0.5,2,2457,0.3187,783,
0.5,3,2454,0.3562,874,
0.5,5,2450,0.3878,950,
0.5,7,2444,0.4079,997,
0.5,10,2436,0.4323,1053,
0.5,14,2426,0.4596,1115,
0.5,21,2407,0.4819,1160,
0.5,30,2390,0.4971,1188,
1.0,1,2459,0.1728,425,
1.0,2,2457,0.2283,561,
1.0,3,2454,0.2763,678,
1.0,5,2450,0.3192,782,
1.0,7,2444,0.3441,841,
1.0,10,2436,0.3666,893,
1.0,14,2426,0.4048,982,
1.0,21,2407,0.4371,1052,
1.0,30,2390,0.459,1097,
2.0,1,2459,0.076,187,
2.0,2,2457,0.1127,277,
2.0,3,2454,0.1569,385,
2.0,5,2450,0.1996,489,
2.0,7,2444,0.2357,576,
2.0,10,2436,0.2631,641,
2.0,14,2426,0.3021,733,
2.0,21,2407,0.3565,858,
2.0,30,2390,0.3837,917,
3.0,1,2459,0.0354,87,
3.0,2,2457,0.0676,166,
3.0,3,2454,0.0909,223,
3.0,5,2450,0.129,316,
3.0,7,2444,0.1588,388,
3.0,10,2436,0.1843,449,
3.0,14,2426,0.2275,552,
3.0,21,2407,0.2788,671,
3.0,30,2390,0.3163,756,
