sigma_class,abs_class,n,p_1s_recovery_7d,p_2s_recovery_14d,p_full_repair_30d,median_rank_repair_30d,p_new_low_30d,median_resid7
2-3σ,<2%,347,0.0605,0.1095,0.0605,0.4726,0.6571,
2-3σ,2-5%,158,0.2342,0.3544,0.2785,0.6203,0.443,
2-3σ,5-10%,502,0.1912,0.3386,0.245,0.5618,0.4622,
2-3σ,10-20%,943,0.1665,0.2927,0.1453,0.6416,0.4655,
2-3σ,>20%,482,0.112,0.2054,0.0726,0.6245,0.4627,
3-4σ,<2%,88,0.1023,0.0909,0.0568,0.5341,0.6932,
3-4σ,2-5%,31,0.1613,0.1935,0.129,0.4516,0.5806,
3-4σ,5-10%,73,0.2603,0.3151,0.3288,0.5479,0.4658,
3-4σ,10-20%,219,0.2192,0.3288,0.1826,0.6164,0.4612,
3-4σ,>20%,214,0.1776,0.243,0.0841,0.6121,0.5374,
4σ+,<2%,69,0.087,0.1304,0.0435,0.3043,0.6957,
4σ+,2-5%,31,0.0645,0.1935,0.1935,0.5484,0.5806,
4σ+,5-10%,26,0.3077,0.2692,0.1923,0.5385,0.5385,
4σ+,10-20%,118,0.2881,0.3559,0.2966,0.5678,0.4661,
4σ+,>20%,346,0.1936,0.2601,0.1705,0.6561,0.5867,
