side,target_sigma,horizon,n_at_h,p_reached,n_reached
DOWN,0.5,1,2459,0.2786,686
DOWN,0.5,2,2457,0.318,783
DOWN,0.5,3,2454,0.355,874
DOWN,0.5,5,2450,0.3859,950
DOWN,0.5,7,2444,0.405,997
DOWN,0.5,10,2436,0.4277,1053
DOWN,0.5,14,2426,0.4529,1115
DOWN,0.5,21,2407,0.4712,1160
DOWN,0.5,30,2390,0.4825,1188
DOWN,1.0,1,2459,0.1726,425
DOWN,1.0,2,2457,0.2279,561
DOWN,1.0,3,2454,0.2754,678
DOWN,1.0,5,2450,0.3176,782
DOWN,1.0,7,2444,0.3416,841
DOWN,1.0,10,2436,0.3627,893
DOWN,1.0,14,2426,0.3989,982
DOWN,1.0,21,2407,0.4273,1052
DOWN,1.0,30,2390,0.4456,1097
DOWN,2.0,1,2459,0.076,187
DOWN,2.0,2,2457,0.1125,277
DOWN,2.0,3,2454,0.1564,385
DOWN,2.0,5,2450,0.1986,489
DOWN,2.0,7,2444,0.234,576
DOWN,2.0,10,2436,0.2604,641
DOWN,2.0,14,2426,0.2977,733
DOWN,2.0,21,2407,0.3485,858
DOWN,2.0,30,2390,0.3725,917
DOWN,3.0,1,2459,0.0353,87
DOWN,3.0,2,2457,0.0674,166
DOWN,3.0,3,2454,0.0906,223
DOWN,3.0,5,2450,0.1284,316
DOWN,3.0,7,2444,0.1576,388
DOWN,3.0,10,2436,0.1824,449
DOWN,3.0,14,2426,0.2242,552
DOWN,3.0,21,2407,0.2725,671
DOWN,3.0,30,2390,0.3071,756
UP,0.5,1,1185,0.2363,280
UP,0.5,2,1182,0.2523,299
UP,0.5,3,1180,0.2717,322
UP,0.5,5,1178,0.2802,332
UP,0.5,7,1178,0.2768,328
UP,0.5,10,1171,0.2717,322
UP,0.5,14,1168,0.2852,338
UP,0.5,21,1162,0.2861,339
UP,0.5,30,1154,0.281,333
UP,1.0,1,1185,0.1612,191
UP,1.0,2,1182,0.189,224
UP,1.0,3,1180,0.216,256
UP,1.0,5,1178,0.2262,268
UP,1.0,7,1178,0.2447,290
UP,1.0,10,1171,0.2278,270
UP,1.0,14,1168,0.2498,296
UP,1.0,21,1162,0.2481,294
UP,1.0,30,1154,0.2439,289
UP,2.0,1,1185,0.0827,98
UP,2.0,2,1182,0.1072,127
UP,2.0,3,1180,0.1359,161
UP,2.0,5,1178,0.1629,193
UP,2.0,7,1178,0.1671,198
UP,2.0,10,1171,0.1637,194
UP,2.0,14,1168,0.1865,221
UP,2.0,21,1162,0.1907,226
UP,2.0,30,1154,0.1932,229
UP,3.0,1,1185,0.0447,53
UP,3.0,2,1182,0.0692,82
UP,3.0,3,1180,0.0835,99
UP,3.0,5,1178,0.1165,138
UP,3.0,7,1178,0.1283,152
UP,3.0,10,1171,0.1249,148
UP,3.0,14,1168,0.1367,162
UP,3.0,21,1162,0.162,192
UP,3.0,30,1154,0.1654,196
