from_h,to_h,transition,n
1,3,CONTAGION->CONTAGION,658
1,3,REJOINING->REJOINING,631
1,3,CONTAGION->REJOINING,164
1,3,REJOINING->CONTAGION,148
1,3,CONTAGION->DECOUPLED,132
1,3,DECOUPLED->DECOUPLED,121
1,3,DECOUPLED->REJOINING,87
1,3,DECOUPLED->CONTAGION,86
1,3,REJOINED->REJOINED,76
1,3,REJOINED->REJOINING,69
1,3,CONTAGION->REJOINED,68
1,3,REJOINED->CONTAGION,67
1,3,REJOINING->DECOUPLED,66
1,3,REJOINING->REJOINED,57
1,3,DECOUPLED->REJOINED,16
1,3,REJOINED->DECOUPLED,16
3,7,REJOINING->REJOINING,698
3,7,CONTAGION->CONTAGION,609
3,7,DECOUPLED->DECOUPLED,150
3,7,CONTAGION->REJOINING,145
3,7,CONTAGION->DECOUPLED,119
3,7,REJOINING->CONTAGION,97
3,7,DECOUPLED->CONTAGION,89
3,7,CONTAGION->REJOINED,86
3,7,DECOUPLED->REJOINING,83
3,7,REJOINING->DECOUPLED,82
3,7,REJOINING->REJOINED,74
3,7,REJOINED->REJOINING,74
3,7,REJOINED->REJOINED,71
3,7,REJOINED->CONTAGION,57
3,7,REJOINED->DECOUPLED,15
3,7,DECOUPLED->REJOINED,13
7,14,REJOINING->REJOINING,758
7,14,CONTAGION->CONTAGION,551
7,14,DECOUPLED->DECOUPLED,172
7,14,CONTAGION->DECOUPLED,127
7,14,REJOINED->REJOINED,109
7,14,CONTAGION->REJOINING,103
7,14,DECOUPLED->REJOINING,93
7,14,REJOINING->CONTAGION,82
7,14,REJOINING->DECOUPLED,81
7,14,DECOUPLED->CONTAGION,81
7,14,REJOINING->REJOINED,79
7,14,REJOINED->REJOINING,79
7,14,CONTAGION->REJOINED,71
7,14,REJOINED->CONTAGION,52
7,14,DECOUPLED->REJOINED,20
7,14,REJOINED->DECOUPLED,4
14,30,REJOINING->REJOINING,772
14,30,CONTAGION->CONTAGION,468
14,30,DECOUPLED->DECOUPLED,199
14,30,CONTAGION->DECOUPLED,114
14,30,REJOINED->REJOINING,113
14,30,CONTAGION->REJOINING,111
14,30,REJOINED->REJOINED,107
14,30,DECOUPLED->REJOINING,98
14,30,REJOINING->REJOINED,92
14,30,REJOINING->DECOUPLED,85
14,30,REJOINING->CONTAGION,84
14,30,DECOUPLED->CONTAGION,75
14,30,CONTAGION->REJOINED,73
14,30,REJOINED->CONTAGION,47
14,30,DECOUPLED->REJOINED,12
14,30,REJOINED->DECOUPLED,12
