peer_family,horizon_d,n_snapshots,any_neighborhood_survival,alive_in_panel_at_h,same_member_jaccard_cond,same_member_jaccard_uncond,relational_state_survival_cond,relational_state_survival_uncond,peer_family_survival,lf7_fraction_alive_signal,lf7_alive_note
BEHAVIORAL_10,1,3647,0.0710172744721689,0.9789,0.3368,0.0239,0.4131,0.0293,0.0710172744721689,,fwd_cum_availability
BEHAVIORAL_10,3,3647,0.09021113243761997,0.9962,0.3263,0.0294,0.4195,0.0378,0.09021113243761997,,fwd_cum_availability
BEHAVIORAL_10,7,3647,0.0655333150534686,0.9975,0.2492,0.0163,0.3849,0.0252,0.0655333150534686,0.9931,fwd_cum_availability
BEHAVIORAL_10,14,3647,0.04442007129147244,0.9984,0.243,0.0108,0.4753,0.0211,0.04442007129147244,,fwd_cum_availability
BEHAVIORAL_10,30,3647,0.034274746366876885,0.9986,0.2171,0.0074,0.488,0.0167,0.034274746366876885,0.9718,fwd_cum_availability
BEHAVIORAL_10,60,3647,0.02385522347134631,0.9986,0.1513,0.0036,0.4368,0.0104,0.02385522347134631,0.869,DATA_FLOOR_peer_return_notna_approx
CORR_60_10,1,3568,0.07174887892376682,0.9832,0.3707,0.0266,0.4375,0.0314,0.07174887892376682,,fwd_cum_availability
CORR_60_10,3,3568,0.09080717488789238,0.9989,0.3476,0.0316,0.4228,0.0384,0.09080717488789238,,fwd_cum_availability
CORR_60_10,7,3568,0.0655829596412556,0.9989,0.2306,0.0151,0.5043,0.0331,0.0655829596412556,0.9936,fwd_cum_availability
CORR_60_10,14,3568,0.04456278026905829,0.9989,0.153,0.0068,0.5031,0.0224,0.04456278026905829,,fwd_cum_availability
CORR_60_10,30,3568,0.03447309417040359,0.9992,0.0911,0.0031,0.5772,0.0199,0.03447309417040359,0.9723,fwd_cum_availability
CORR_60_10,60,3568,0.02382286995515695,0.9992,0.0249,0.0006,0.5765,0.0137,0.02382286995515695,0.0,DATA_FLOOR_peer_return_notna_approx
CORR_120_10,1,3428,0.07438739789964995,0.9816,0.5677,0.0422,0.5137,0.0382,0.07438739789964995,,fwd_cum_availability
CORR_120_10,3,3428,0.09364060676779463,0.998,0.5476,0.0513,0.5171,0.0484,0.09364060676779463,,fwd_cum_availability
CORR_120_10,7,3428,0.06709451575262544,0.998,0.4321,0.029,0.5304,0.0356,0.06709451575262544,0.993,fwd_cum_availability
CORR_120_10,14,3428,0.04579929988331389,0.9982,0.2825,0.0129,0.4968,0.0228,0.04579929988331389,,fwd_cum_availability
CORR_120_10,30,3428,0.03500583430571762,0.9985,0.1895,0.0066,0.5583,0.0195,0.03500583430571762,0.9708,fwd_cum_availability
CORR_120_10,60,3428,0.024504084014002333,0.9985,0.0881,0.0022,0.4762,0.0117,0.024504084014002333,0.0,DATA_FLOOR_peer_return_notna_approx
STATE,1,3403,0.06876285630326183,0.9806,0.2104,0.0145,0.3803,0.0262,0.06876285630326183,,fwd_cum_availability
STATE,3,3403,0.08580664119894212,0.9971,0.1884,0.0162,0.3904,0.0335,0.08580664119894212,,fwd_cum_availability
STATE,7,3403,0.060828680575962385,0.9976,0.1172,0.0071,0.3575,0.0217,0.060828680575962385,0.9962,fwd_cum_availability
STATE,14,3403,0.03967087863649721,0.9982,0.0974,0.0039,0.4444,0.0176,0.03967087863649721,,fwd_cum_availability
STATE,30,3403,0.03232441962973846,0.9985,0.097,0.0031,0.4,0.0129,0.03232441962973846,0.9762,fwd_cum_availability
STATE,60,3403,0.02145166029973553,0.9985,0.0682,0.0015,0.4932,0.0106,0.02145166029973553,1.0,DATA_FLOOR_peer_return_notna_approx
HYBRID_10,1,3647,0.0710172744721689,0.9789,0.5696,0.0404,0.5598,0.0398,0.0710172744721689,,fwd_cum_availability
HYBRID_10,3,3647,0.09021113243761997,0.9962,0.5534,0.0499,0.5562,0.0502,0.09021113243761997,,fwd_cum_availability
HYBRID_10,7,3647,0.0655333150534686,0.9975,0.4698,0.0308,0.5816,0.0381,0.0655333150534686,0.9931,fwd_cum_availability
HYBRID_10,14,3647,0.04442007129147244,0.9984,0.3845,0.0171,0.5123,0.0228,0.04442007129147244,,fwd_cum_availability
HYBRID_10,30,3647,0.034274746366876885,0.9986,0.3193,0.0109,0.576,0.0197,0.034274746366876885,0.9718,fwd_cum_availability
HYBRID_10,60,3647,0.02385522347134631,0.9986,0.216,0.0052,0.5632,0.0134,0.02385522347134631,0.9733,DATA_FLOOR_peer_return_notna_approx
