peer_family,window_d,median_unique_peers,median_effective_peers,median_concentration,median_entropy_bits,mean_membership_turnover,dominant_member_persistence,n_snapshots
BEHAVIORAL_10,7,10.0,10.0,0.1,3.3219,0.908,0.1518,3647
BEHAVIORAL_10,14,10.0,10.0,0.1,3.3219,0.908,0.1635,3647
BEHAVIORAL_10,30,10.0,10.0,0.1,3.3219,0.908,0.1806,3647
BEHAVIORAL_10,60,10.0,10.0,0.1,3.3219,0.908,0.2004,3647
CORR_60_10,7,10.0,10.0,0.1,3.3219,0.9392,0.1151,3568
CORR_60_10,14,10.0,10.0,0.1,3.3219,0.9392,0.1252,3568
CORR_60_10,30,10.0,10.0,0.1,3.3219,0.9392,0.1394,3568
CORR_60_10,60,10.0,10.0,0.1,3.3219,0.9392,0.1619,3568
CORR_120_10,7,10.0,10.0,0.1,3.3219,0.8877,0.1965,3428
CORR_120_10,14,10.0,10.0,0.1,3.3219,0.8877,0.2065,3428
CORR_120_10,30,10.0,10.0,0.1,3.3219,0.8877,0.2165,3428
CORR_120_10,60,10.0,10.0,0.1,3.3219,0.8877,0.2432,3428
STATE,7,11.0,11.0,0.0909,3.4594,0.9563,0.0677,3403
STATE,14,12.0,12.0,0.0909,3.585,0.9563,0.0795,3403
STATE,30,13.0,12.0714,0.0833,3.6835,0.9563,0.0932,3403
STATE,60,14.0,14.0,0.08,3.8074,0.9563,0.1079,3403
HYBRID_10,7,10.0,10.0,0.1,3.3219,0.8374,0.2727,3647
HYBRID_10,14,10.0,10.0,0.1,3.3219,0.8374,0.2781,3647
HYBRID_10,30,10.0,10.0,0.1,3.3219,0.8374,0.2938,3647
HYBRID_10,60,10.0,10.0,0.1,3.3219,0.8374,0.3082,3647
