event_type,lag_d,n,median_vol_30d,median_rank_vel_7d,median_abs_move,median_breadth,median_dispersion,median_sigma_t0,median_member_entropy,median_peer_dispersion,median_member_turnover,p_state_conforming,p_state_reorganizing
HIGH_TURNOVER,-7,1556,0.0521,-1.0,0.0271,0.272,0.3081,0.0566,,,,0.0,0.0
HIGH_TURNOVER,-3,1556,0.0539,0.0,0.0305,0.278,0.3076,0.0566,,,,0.0,0.0
HIGH_TURNOVER,-1,1556,0.0566,4.0,0.0468,0.264,0.3083,0.0582,4.3219,0.0988,1.0,0.0,0.0019
HIGH_TURNOVER,0,1556,0.0617,0.0,0.167,0.274,0.3085,0.0613,4.3219,0.0988,1.0,0.0,0.0019
HIGH_TURNOVER,1,1556,0.071,0.0,0.049,0.294,0.3138,0.0655,4.3219,0.0988,1.0,0.0,0.0019
HIGH_TURNOVER,3,1556,0.0731,-2.0,0.032,0.289,0.3046,0.0666,4.3219,0.0953,1.0,0.0,0.0026
HIGH_TURNOVER,7,1556,0.074,-3.0,0.0287,0.282,0.3045,0.0684,4.3219,0.1306,1.0,0.0,0.0013
HIGH_TURNOVER,14,1556,0.0772,-3.0,0.0248,0.29,0.3055,0.07,4.3219,0.0609,1.0,0.0,0.0019
HIGH_TURNOVER,30,1556,0.0733,-3.0,0.0256,0.324,0.313,0.0719,3.3219,0.2006,1.0,0.0,0.0013
LOW_TURNOVER,-7,1277,0.0271,0.0,0.0109,0.268,0.2756,0.0298,,,,0.0,0.0
LOW_TURNOVER,-3,1277,0.0284,0.0,0.0128,0.273,0.2765,0.0307,,,,0.0,0.0
LOW_TURNOVER,-1,1277,0.0296,1.0,0.0169,0.278,0.2807,0.031,3.5974,0.0165,0.1818,0.0243,0.0
LOW_TURNOVER,0,1277,0.0311,0.0,0.0874,0.276,0.2774,0.0314,3.5974,0.0169,0.1818,0.029,0.0
LOW_TURNOVER,1,1277,0.036,0.0,0.0197,0.27,0.2782,0.034,3.5974,0.0176,0.3333,0.0329,0.0
LOW_TURNOVER,3,1277,0.0387,0.0,0.0158,0.284,0.2771,0.0354,3.5974,0.0185,0.3333,0.0407,0.0
LOW_TURNOVER,7,1277,0.0398,-1.0,0.0125,0.288,0.2817,0.0367,3.6366,0.0193,0.3333,0.0266,0.0
LOW_TURNOVER,14,1277,0.0417,-1.0,0.0138,0.29,0.2846,0.0379,3.6464,0.0189,0.4615,0.0274,0.0
LOW_TURNOVER,30,1277,0.0419,-1.0,0.012,0.314,0.2844,0.0401,3.6219,0.0162,0.4615,0.0219,0.0
LONER,-7,1957,0.0467,-1.0,0.0265,0.31,0.3075,0.0495,,,,0.0,0.0
LONER,-3,1957,0.0491,0.0,0.0294,0.302,0.3064,0.0501,,,,0.0,0.0
LONER,-1,1957,0.0508,3.0,0.046,0.302,0.3131,0.0511,3.7219,0.0289,0.5714,0.0,0.001
LONER,0,1957,0.056,-11.0,0.1446,0.312,0.3088,0.0537,3.7389,0.0287,0.5714,0.0,0.0026
LONER,1,1957,0.0631,-9.0,0.0436,0.33,0.3117,0.0572,3.7219,0.029,0.5714,0.0,0.0031
LONER,3,1957,0.0656,-9.0,0.031,0.328,0.3047,0.0586,3.7219,0.0309,0.5714,0.0,0.0036
LONER,7,1957,0.067,-2.0,0.0279,0.32,0.3144,0.06,3.8223,0.0326,0.6667,0.0,0.001
LONER,14,1957,0.071,-3.0,0.025,0.326,0.326,0.0624,4.0974,0.0334,0.8235,0.0,0.0046
LONER,30,1957,0.0689,-3.0,0.0245,0.344,0.3138,0.0661,3.8219,0.0391,0.8235,0.0,0.0026
CONTAGION,-7,1021,0.0398,0.0,0.0183,0.274,0.2948,0.042,,,,0.0,0.0
CONTAGION,-3,1021,0.0412,0.0,0.0208,0.268,0.287,0.0424,,,,0.0,0.0
CONTAGION,-1,1021,0.0423,1.0,0.0257,0.262,0.2917,0.0433,3.5723,0.0163,0.3333,0.0088,0.002
CONTAGION,0,1021,0.0443,-4.0,0.122,0.252,0.2899,0.0445,3.6219,0.0159,0.3333,0.0098,0.002
CONTAGION,1,1021,0.0515,-1.0,0.039,0.272,0.2876,0.0479,3.6219,0.0163,0.3333,0.0108,0.002
CONTAGION,3,1021,0.0546,0.0,0.026,0.264,0.2863,0.0493,3.6219,0.0176,0.3333,0.0118,0.0029
CONTAGION,7,1021,0.0575,9.0,0.0222,0.279,0.297,0.0509,3.7056,0.0272,0.5165,0.0049,0.001
CONTAGION,14,1021,0.0605,-1.0,0.0194,0.292,0.2948,0.0525,4.0219,0.0295,0.75,0.0078,0.002
CONTAGION,30,1021,0.0611,-1.0,0.017,0.34,0.3008,0.0553,3.6464,0.0254,0.8235,0.0059,0.001
REJOIN,-7,508,0.0388,0.0,0.0198,0.29,0.3062,0.0401,,,,0.0,0.0
REJOIN,-3,508,0.0401,0.0,0.0226,0.29,0.2987,0.0399,,,,0.0,0.0
REJOIN,-1,508,0.0408,2.0,0.0295,0.272,0.3025,0.0418,3.6308,0.0223,0.3333,0.002,0.0
REJOIN,0,508,0.0435,2.0,0.1237,0.263,0.3042,0.0423,3.6767,0.0223,0.3333,0.002,0.0
REJOIN,1,508,0.051,3.0,0.0278,0.261,0.3098,0.0458,3.7559,0.0245,0.3333,0.0039,0.002
REJOIN,3,508,0.0525,3.0,0.0223,0.241,0.3003,0.0469,3.6892,0.0281,0.3333,0.0039,0.002
REJOIN,7,508,0.0562,3.0,0.0201,0.22,0.2934,0.0487,3.6219,0.0281,0.4615,0.0059,0.002
REJOIN,14,508,0.0577,1.0,0.0197,0.214,0.2888,0.0507,3.6219,0.0352,0.3333,0.002,0.0
REJOIN,30,508,0.0607,2.0,0.0176,0.18,0.2621,0.0568,3.8219,0.0379,0.6667,0.0,0.0
DECOUPLING,-7,1017,0.0457,0.0,0.019,0.252,0.2966,0.0475,,,,0.0,0.0
DECOUPLING,-3,1017,0.0466,0.0,0.0229,0.262,0.2868,0.0472,,,,0.0,0.0
DECOUPLING,-1,1017,0.0486,2.0,0.0294,0.254,0.2907,0.0492,3.5219,0.0192,0.3333,0.0088,0.001
DECOUPLING,0,1017,0.0513,7.0,0.1447,0.24,0.2846,0.0508,3.5219,0.0185,0.3333,0.0088,0.002
DECOUPLING,1,1017,0.0602,5.0,0.0394,0.264,0.2917,0.0551,3.5219,0.0167,0.3333,0.0098,0.002
DECOUPLING,3,1017,0.0625,3.0,0.0247,0.262,0.2851,0.0562,3.5219,0.0158,0.3333,0.0108,0.002
DECOUPLING,7,1017,0.0619,-4.0,0.0211,0.282,0.2857,0.0563,3.5219,0.017,0.3333,0.0088,0.001
DECOUPLING,14,1017,0.0627,-3.0,0.0182,0.298,0.2957,0.0583,3.6219,0.0246,0.3333,0.0079,0.0
DECOUPLING,30,1017,0.0607,-3.0,0.0199,0.432,0.3278,0.0581,3.6219,0.0396,0.3333,0.0069,0.0
