view,horizon_d,n,corr_with_asset_fwd,residual_std,sign_agreement,median_basket_fwd
STATIC_T0_PEERS,1,3644,-0.0145,0.2931,0.4693,-0.0001
ROLLING_PEERS,1,259,0.1174,0.2281,0.5174,-0.0
HYBRID_FROZEN_THEN_ROLLING,1,3644,-0.0145,0.2931,0.4693,-0.0001
STATIC_T0_PEERS,3,3634,-0.0104,0.434,0.4719,-0.0005
ROLLING_PEERS,3,329,0.0289,0.2306,0.5046,-0.0006
HYBRID_FROZEN_THEN_ROLLING,3,3634,-0.0104,0.434,0.4719,-0.0005
STATIC_T0_PEERS,7,3622,-0.0653,0.4007,0.455,-0.0008
ROLLING_PEERS,7,239,-0.0346,0.3492,0.4686,-0.0
HYBRID_FROZEN_THEN_ROLLING,7,3622,-0.0653,0.4007,0.455,-0.0008
STATIC_T0_PEERS,14,3594,-0.0537,0.6526,0.4508,-0.001
ROLLING_PEERS,14,162,0.0786,0.5991,0.4753,0.0001
HYBRID_FROZEN_THEN_ROLLING,14,3594,-0.0526,0.6527,0.4502,-0.0009
STATIC_T0_PEERS,30,3544,-0.1189,0.7249,0.4554,-0.0008
ROLLING_PEERS,30,125,-0.2244,0.547,0.448,0.0001
HYBRID_FROZEN_THEN_ROLLING,30,3544,-0.1186,0.7264,0.4546,-0.0008
