peer_family,horizon_d,object,persistence_continuous,persistence_cond_new_snapshot,persistence_pure_carry,n_rows,n_cond,note,lf8_snapshot_anchored
BEHAVIORAL_10,1,relational_state,0.9781,0.4715,1.0,1177678,1153055,,
BEHAVIORAL_10,1,exact_membership,0.9994,0.2386,,1177678,1153055,,
BEHAVIORAL_10,1,any_neighborhood,0.9791,,,1177678,1153055,,
BEHAVIORAL_10,1,peer_family,0.9791,,,1177678,1153055,peer_family == any_neighborhood under single-family panels,
BEHAVIORAL_10,3,relational_state,0.9719,0.4696,1.0,1177678,1147911,,
BEHAVIORAL_10,3,exact_membership,0.9984,0.2213,,1177678,1147911,,
BEHAVIORAL_10,3,any_neighborhood,0.9747,,,1177678,1147911,,
BEHAVIORAL_10,3,peer_family,0.9747,,,1177678,1147911,peer_family == any_neighborhood under single-family panels,
BEHAVIORAL_10,7,relational_state,0.9611,0.4707,1.0,1177678,1139062,,
BEHAVIORAL_10,7,exact_membership,0.9965,0.2078,,1177678,1139062,,
BEHAVIORAL_10,7,any_neighborhood,0.9672,,,1177678,1139062,,
BEHAVIORAL_10,7,peer_family,0.9672,,,1177678,1139062,peer_family == any_neighborhood under single-family panels,
BEHAVIORAL_10,14,relational_state,0.9433,0.4697,1.0,1177678,1124369,,
BEHAVIORAL_10,14,exact_membership,0.994,0.195,,1177678,1124369,,
BEHAVIORAL_10,14,any_neighborhood,0.9547,,,1177678,1124369,,
BEHAVIORAL_10,14,peer_family,0.9547,,,1177678,1124369,peer_family == any_neighborhood under single-family panels,
BEHAVIORAL_10,30,relational_state,0.9088,0.4667,1.0,1177678,1096349,,
BEHAVIORAL_10,30,exact_membership,0.9902,0.1834,,1177678,1096349,,
BEHAVIORAL_10,30,any_neighborhood,0.9309,,,1177678,1096349,,
BEHAVIORAL_10,30,peer_family,0.9309,,,1177678,1096349,peer_family == any_neighborhood under single-family panels,
BEHAVIORAL_10,60,relational_state,0.8568,0.4655,1.0,1177678,1055162,,
BEHAVIORAL_10,60,exact_membership,0.9878,0.1714,,1177678,1055162,,
BEHAVIORAL_10,60,any_neighborhood,0.896,,,1177678,1055162,,
BEHAVIORAL_10,60,peer_family,0.896,,,1177678,1055162,peer_family == any_neighborhood under single-family panels,
CORR_60_10,1,relational_state,0.9787,0.6118,1.0,1156461,1132682,,
CORR_60_10,1,exact_membership,0.9994,0.2048,,1156461,1132682,,
CORR_60_10,1,any_neighborhood,0.9794,,,1156461,1132682,,
CORR_60_10,1,peer_family,0.9794,,,1156461,1132682,peer_family == any_neighborhood under single-family panels,
CORR_60_10,3,relational_state,0.9731,0.6191,1.0,1156461,1127720,,
CORR_60_10,3,exact_membership,0.9983,0.1772,,1156461,1127720,,
CORR_60_10,3,any_neighborhood,0.9751,,,1156461,1127720,,
CORR_60_10,3,peer_family,0.9751,,,1156461,1127720,peer_family == any_neighborhood under single-family panels,
CORR_60_10,7,relational_state,0.9633,0.6216,1.0,1156461,1119125,,
CORR_60_10,7,exact_membership,0.9963,0.1524,,1156461,1119125,,
CORR_60_10,7,any_neighborhood,0.9677,,,1156461,1119125,,
CORR_60_10,7,peer_family,0.9677,,,1156461,1119125,peer_family == any_neighborhood under single-family panels,
CORR_60_10,14,relational_state,0.9472,0.6239,1.0,1156461,1104852,,
CORR_60_10,14,exact_membership,0.9935,0.1271,,1156461,1104852,,
CORR_60_10,14,any_neighborhood,0.9554,,,1156461,1104852,,
CORR_60_10,14,peer_family,0.9554,,,1156461,1104852,peer_family == any_neighborhood under single-family panels,
CORR_60_10,30,relational_state,0.9162,0.6292,1.0,1156461,1077430,,
CORR_60_10,30,exact_membership,0.9892,0.0991,,1156461,1077430,,
CORR_60_10,30,any_neighborhood,0.9317,,,1156461,1077430,,
CORR_60_10,30,peer_family,0.9317,,,1156461,1077430,peer_family == any_neighborhood under single-family panels,
CORR_60_10,60,relational_state,0.87,0.6335,1.0,1156461,1037334,,
CORR_60_10,60,exact_membership,0.9864,0.0831,,1156461,1037334,,
CORR_60_10,60,any_neighborhood,0.897,,,1156461,1037334,,
CORR_60_10,60,peer_family,0.897,,,1156461,1037334,peer_family == any_neighborhood under single-family panels,
CORR_120_10,1,relational_state,0.9788,0.5884,1.0,1111849,1089139,,
CORR_120_10,1,exact_membership,0.9995,0.3676,,1111849,1089139,,
CORR_120_10,1,any_neighborhood,0.9796,,,1111849,1089139,,
CORR_120_10,1,peer_family,0.9796,,,1111849,1089139,peer_family == any_neighborhood under single-family panels,
CORR_120_10,3,relational_state,0.9732,0.5909,1.0,1111849,1084443,,
CORR_120_10,3,exact_membership,0.9986,0.3341,,1111849,1084443,,
CORR_120_10,3,any_neighborhood,0.9754,,,1111849,1084443,,
CORR_120_10,3,peer_family,0.9754,,,1111849,1084443,peer_family == any_neighborhood under single-family panels,
CORR_120_10,7,relational_state,0.9634,0.5966,1.0,1111849,1076363,,
CORR_120_10,7,exact_membership,0.9969,0.2997,,1111849,1076363,,
CORR_120_10,7,any_neighborhood,0.9681,,,1111849,1076363,,
CORR_120_10,7,peer_family,0.9681,,,1111849,1076363,peer_family == any_neighborhood under single-family panels,
CORR_120_10,14,relational_state,0.9474,0.6,1.0,1111849,1062914,,
CORR_120_10,14,exact_membership,0.9945,0.2615,,1111849,1062914,,
CORR_120_10,14,any_neighborhood,0.956,,,1111849,1062914,,
CORR_120_10,14,peer_family,0.956,,,1111849,1062914,peer_family == any_neighborhood under single-family panels,
CORR_120_10,30,relational_state,0.9163,0.6058,1.0,1111849,1036909,,
CORR_120_10,30,exact_membership,0.9907,0.2199,,1111849,1036909,,
CORR_120_10,30,any_neighborhood,0.9326,,,1111849,1036909,,
CORR_120_10,30,peer_family,0.9326,,,1111849,1036909,peer_family == any_neighborhood under single-family panels,
CORR_120_10,60,relational_state,0.8694,0.6058,1.0,1111849,998672,,
CORR_120_10,60,exact_membership,0.9881,0.1917,,1111849,998672,,
CORR_120_10,60,any_neighborhood,0.8982,,,1111849,998672,,
CORR_120_10,60,peer_family,0.8982,,,1111849,998672,peer_family == any_neighborhood under single-family panels,
STATE,1,relational_state,0.9787,0.5189,1.0,1151723,1128190,,
STATE,1,exact_membership,0.9994,0.1256,,1151723,1128190,,
STATE,1,any_neighborhood,0.9796,,,1151723,1128190,,
STATE,1,peer_family,0.9796,,,1151723,1128190,peer_family == any_neighborhood under single-family panels,
STATE,3,relational_state,0.9729,0.5166,1.0,1151723,1123293,,
STATE,3,exact_membership,0.9983,0.1115,,1151723,1123293,,
STATE,3,any_neighborhood,0.9753,,,1151723,1123293,,
STATE,3,peer_family,0.9753,,,1151723,1123293,peer_family == any_neighborhood under single-family panels,
STATE,7,relational_state,0.9628,0.5198,1.0,1151723,1114855,,
STATE,7,exact_membership,0.9964,0.1002,,1151723,1114855,,
STATE,7,any_neighborhood,0.968,,,1151723,1114855,,
STATE,7,peer_family,0.968,,,1151723,1114855,peer_family == any_neighborhood under single-family panels,
STATE,14,relational_state,0.9461,0.5257,1.0,1151723,1100803,,
STATE,14,exact_membership,0.9939,0.0912,,1151723,1100803,,
STATE,14,any_neighborhood,0.9558,,,1151723,1100803,,
STATE,14,peer_family,0.9558,,,1151723,1100803,peer_family == any_neighborhood under single-family panels,
STATE,30,relational_state,0.9139,0.5315,1.0,1151723,1073880,,
STATE,30,exact_membership,0.99,0.082,,1151723,1073880,,
STATE,30,any_neighborhood,0.9324,,,1151723,1073880,,
STATE,30,peer_family,0.9324,,,1151723,1073880,peer_family == any_neighborhood under single-family panels,
STATE,60,relational_state,0.8657,0.539,1.0,1151723,1034311,,
STATE,60,exact_membership,0.9874,0.0708,,1151723,1034311,,
STATE,60,any_neighborhood,0.8981,,,1151723,1034311,,
STATE,60,peer_family,0.8981,,,1151723,1034311,peer_family == any_neighborhood under single-family panels,
HYBRID_10,1,relational_state,0.9782,0.5194,1.0,1177678,1153055,,0.5598
HYBRID_10,1,exact_membership,0.9995,0.4069,,1177678,1153055,,
HYBRID_10,1,any_neighborhood,0.9791,,,1177678,1153055,,
HYBRID_10,1,peer_family,0.9791,,,1177678,1153055,peer_family == any_neighborhood under single-family panels,
HYBRID_10,3,relational_state,0.9722,0.5161,1.0,1177678,1147911,,0.5562
HYBRID_10,3,exact_membership,0.9987,0.3782,,1177678,1147911,,
HYBRID_10,3,any_neighborhood,0.9747,,,1177678,1147911,,
HYBRID_10,3,peer_family,0.9747,,,1177678,1147911,peer_family == any_neighborhood under single-family panels,
HYBRID_10,7,relational_state,0.9616,0.5102,1.0,1177678,1139062,,0.5816
HYBRID_10,7,exact_membership,0.9972,0.3523,,1177678,1139062,,
HYBRID_10,7,any_neighborhood,0.9672,,,1177678,1139062,,
HYBRID_10,7,peer_family,0.9672,,,1177678,1139062,peer_family == any_neighborhood under single-family panels,
HYBRID_10,14,relational_state,0.944,0.5034,1.0,1177678,1124369,,0.5123
HYBRID_10,14,exact_membership,0.995,0.3218,,1177678,1124369,,
HYBRID_10,14,any_neighborhood,0.9547,,,1177678,1124369,,
HYBRID_10,14,peer_family,0.9547,,,1177678,1124369,peer_family == any_neighborhood under single-family panels,
HYBRID_10,30,relational_state,0.9101,0.4994,1.0,1177678,1096349,,0.576
HYBRID_10,30,exact_membership,0.9914,0.2863,,1177678,1096349,,
HYBRID_10,30,any_neighborhood,0.9309,,,1177678,1096349,,
HYBRID_10,30,peer_family,0.9309,,,1177678,1096349,peer_family == any_neighborhood under single-family panels,
HYBRID_10,60,relational_state,0.8589,0.4952,1.0,1177678,1055162,,0.5632
HYBRID_10,60,exact_membership,0.9891,0.2609,,1177678,1055162,,
HYBRID_10,60,any_neighborhood,0.896,,,1177678,1055162,,
HYBRID_10,60,peer_family,0.896,,,1177678,1055162,peer_family == any_neighborhood under single-family panels,
