group,level,metric,n_up,n_down,upside_rate,downside_rate,down_up_ratio,direction
OVERALL,ALL,contagion_7d,1185,2462,0.1426,0.3461,2.4265,DOWNSIDE_STRONGER
OVERALL,ALL,rejoin_30d,1185,2462,0.189,0.1154,0.6102,UPSIDE_STRONGER
OVERALL,ALL,decoupling_30d,1185,2462,0.5122,0.1665,0.3251,UPSIDE_STRONGER
CYCLE,2020-2021,contagion_7d,201,649,0.0846,0.3544,4.1902,DOWNSIDE_STRONGER
CYCLE,2020-2021,rejoin_30d,201,649,0.2189,0.1156,0.5279,UPSIDE_STRONGER
CYCLE,2020-2021,decoupling_30d,201,649,0.5075,0.208,0.4099,UPSIDE_STRONGER
CYCLE,2022,contagion_7d,250,379,0.148,0.3852,2.6029,DOWNSIDE_STRONGER
CYCLE,2022,rejoin_30d,250,379,0.136,0.1398,1.0282,DOWNSIDE_STRONGER
CYCLE,2022,decoupling_30d,250,379,0.58,0.1135,0.1956,UPSIDE_STRONGER
CYCLE,2023,contagion_7d,160,331,0.1437,0.3444,2.3959,DOWNSIDE_STRONGER
CYCLE,2023,rejoin_30d,160,331,0.1688,0.0937,0.555,UPSIDE_STRONGER
CYCLE,2023,decoupling_30d,160,331,0.55,0.2115,0.3845,UPSIDE_STRONGER
CYCLE,2024,contagion_7d,216,441,0.1065,0.3061,2.8749,DOWNSIDE_STRONGER
CYCLE,2024,rejoin_30d,216,441,0.2083,0.1156,0.5551,UPSIDE_STRONGER
CYCLE,2024,decoupling_30d,216,441,0.4676,0.2018,0.4316,UPSIDE_STRONGER
CYCLE,2025-2026,contagion_7d,358,662,0.1927,0.3429,1.7791,DOWNSIDE_STRONGER
CYCLE,2025-2026,rejoin_30d,358,662,0.2067,0.1118,0.5408,UPSIDE_STRONGER
CYCLE,2025-2026,decoupling_30d,358,662,0.4777,0.1103,0.2309,UPSIDE_STRONGER
RANK_DEPTH,DEEP,contagion_7d,81,512,0.0741,0.3633,4.9043,DOWNSIDE_STRONGER
RANK_DEPTH,DEEP,rejoin_30d,81,512,0.2222,0.1113,0.501,UPSIDE_STRONGER
RANK_DEPTH,DEEP,decoupling_30d,81,512,0.5926,0.1387,0.234,UPSIDE_STRONGER
RANK_DEPTH,MID,contagion_7d,217,1002,0.1152,0.3453,2.9973,DOWNSIDE_STRONGER
RANK_DEPTH,MID,rejoin_30d,217,1002,0.1982,0.1048,0.5288,UPSIDE_STRONGER
RANK_DEPTH,MID,decoupling_30d,217,1002,0.5622,0.1407,0.2503,UPSIDE_STRONGER
RANK_DEPTH,SHALLOW,contagion_7d,887,948,0.1556,0.3376,2.1696,DOWNSIDE_STRONGER
RANK_DEPTH,SHALLOW,rejoin_30d,887,948,0.1838,0.1287,0.7003,UPSIDE_STRONGER
RANK_DEPTH,SHALLOW,decoupling_30d,887,948,0.4927,0.2089,0.4239,UPSIDE_STRONGER
FIELD_CELL6,M6_A,contagion_7d,123,584,0.1057,0.3271,3.0944,DOWNSIDE_STRONGER
FIELD_CELL6,M6_A,rejoin_30d,123,584,0.2033,0.1164,0.5729,UPSIDE_STRONGER
FIELD_CELL6,M6_A,decoupling_30d,123,584,0.439,0.214,0.4875,UPSIDE_STRONGER
FIELD_CELL6,M6_B,contagion_7d,123,313,0.1382,0.2812,2.0342,DOWNSIDE_STRONGER
FIELD_CELL6,M6_B,rejoin_30d,123,313,0.2195,0.1214,0.5531,UPSIDE_STRONGER
FIELD_CELL6,M6_B,decoupling_30d,123,313,0.5528,0.1629,0.2947,UPSIDE_STRONGER
FIELD_CELL6,M6_C,contagion_7d,330,527,0.1879,0.3719,1.9796,DOWNSIDE_STRONGER
FIELD_CELL6,M6_C,rejoin_30d,330,527,0.1848,0.1157,0.6262,UPSIDE_STRONGER
