asset,t_hours,p_not_resolved,p_resolved_by_t,n_resolved,n_censored,median_resolution_hours,p75_resolution_hours,p90_resolution_hours,max_resolution_hours
BTC,0.0,1.0,0.0,,,,,,
BTC,1.0,0.46766169154228854,0.5323383084577115,,,,,,
BTC,2.0,0.2885572139303483,0.7114427860696517,,,,,,
BTC,3.0,0.19402985074626866,0.8059701492537313,,,,,,
BTC,4.0,0.09950248756218906,0.900497512437811,,,,,,
BTC,5.0,0.0845771144278607,0.9154228855721394,,,,,,
BTC,6.0,0.05970149253731343,0.9402985074626866,,,,,,
BTC,7.0,0.04975124378109453,0.9502487562189055,,,,,,
BTC,8.0,0.04975124378109453,0.9502487562189055,,,,,,
BTC,9.0,0.029850746268656716,0.9701492537313433,,,,,,
BTC,10.0,0.029850746268656716,0.9701492537313433,,,,,,
BTC,11.0,0.009950248756218905,0.9900497512437811,,,,,,
BTC,12.0,0.009950248756218905,0.9900497512437811,,,,,,
BTC,13.0,0.004975124378109453,0.9950248756218906,,,,,,
BTC,14.0,0.004975124378109453,0.9950248756218906,,,,,,
BTC,15.0,0.004975124378109453,0.9950248756218906,,,,,,
BTC,16.0,0.004975124378109453,0.9950248756218906,,,,,,
BTC,17.0,0.004975124378109453,0.9950248756218906,,,,,,
BTC,18.0,0.004975124378109453,0.9950248756218906,,,,,,
BTC,19.0,0.004975124378109453,0.9950248756218906,,,,,,
BTC,20.0,0.0,1.0,,,,,,
BTC,21.0,0.0,1.0,,,,,,
BTC,22.0,0.0,1.0,,,,,,
BTC,23.0,0.0,1.0,,,,,,
BTC,24.0,0.0,1.0,,,,,,
BTC,25.0,0.0,1.0,,,,,,
BTC,26.0,0.0,1.0,,,,,,
BTC,27.0,0.0,1.0,,,,,,
BTC,28.0,0.0,1.0,,,,,,
BTC,29.0,0.0,1.0,,,,,,
BTC,30.0,0.0,1.0,,,,,,
BTC,31.0,0.0,1.0,,,,,,
BTC,32.0,0.0,1.0,,,,,,
BTC,33.0,0.0,1.0,,,,,,
BTC,34.0,0.0,1.0,,,,,,
BTC,35.0,0.0,1.0,,,,,,
BTC,36.0,0.0,1.0,,,,,,
BTC,37.0,0.0,1.0,,,,,,
BTC,38.0,0.0,1.0,,,,,,
BTC,39.0,0.0,1.0,,,,,,
BTC,40.0,0.0,1.0,,,,,,
BTC,41.0,0.0,1.0,,,,,,
BTC,42.0,0.0,1.0,,,,,,
BTC,43.0,0.0,1.0,,,,,,
BTC,44.0,0.0,1.0,,,,,,
BTC,45.0,0.0,1.0,,,,,,
BTC,46.0,0.0,1.0,,,,,,
BTC,47.0,0.0,1.0,,,,,,
BTC,48.0,0.0,1.0,,,,,,
BTC,49.0,0.0,1.0,,,,,,
BTC,50.0,0.0,1.0,,,,,,
BTC,51.0,0.0,1.0,,,,,,
BTC,52.0,0.0,1.0,,,,,,
BTC,53.0,0.0,1.0,,,,,,
BTC,54.0,0.0,1.0,,,,,,
BTC,55.0,0.0,1.0,,,,,,
BTC,56.0,0.0,1.0,,,,,,
BTC,57.0,0.0,1.0,,,,,,
BTC,58.0,0.0,1.0,,,,,,
BTC,59.0,0.0,1.0,,,,,,
BTC,60.0,0.0,1.0,,,,,,
BTC,61.0,0.0,1.0,,,,,,
BTC,62.0,0.0,1.0,,,,,,
BTC,63.0,0.0,1.0,,,,,,
BTC,64.0,0.0,1.0,,,,,,
BTC,65.0,0.0,1.0,,,,,,
BTC,66.0,0.0,1.0,,,,,,
BTC,67.0,0.0,1.0,,,,,,
BTC,68.0,0.0,1.0,,,,,,
BTC,69.0,0.0,1.0,,,,,,
BTC,70.0,0.0,1.0,,,,,,
BTC,71.0,0.0,1.0,,,,,,
BTC,72.0,0.0,1.0,,,,,,
BTC,73.0,0.0,1.0,,,,,,
BTC,74.0,0.0,1.0,,,,,,
BTC,75.0,0.0,1.0,,,,,,
BTC,76.0,0.0,1.0,,,,,,
