label,n,mean,median,std,mad,p1,p5,p10,p25,p50,p75,p90,p95,p97_5,p99,min,max,partition
BTC_basis_h0,141,-4.749604744116095,-4.802008020259543,1.7763724340383222,0.8267837449318352,-9.096654482668216,-7.313425018709299,-6.33055840470767,-5.628791765191378,-4.802008020259543,-3.9968345602775357,-2.7416677817533723,-2.030388149508428,-1.3583658795050846,0.4752295168363764,-12.818929356209111,1.1398446973950334,
BTC_basis_h1,141,-4.841347317494244,-4.852153047836044,1.3224317309447773,0.8434652736646173,-7.354243771546293,-7.021799784219106,-6.486336721374246,-5.715477832942776,-4.852153047836044,-4.026526321384782,-3.071119703584568,-2.52717190567262,-2.2763518813915633,-2.1757858151827247,-8.782327560263958,-1.239176568756422,
BTC_basis_h2,141,-4.74635599663023,-4.854307871108306,1.267001935072952,0.8541735784780089,-7.78829955705867,-6.728844901832154,-6.307902256642146,-5.555608662902737,-4.854307871108306,-3.9208585685938844,-3.253002278679676,-2.8635517782652,-2.2684719501174997,-1.9100907486959025,-8.101539537878773,-0.3414821613698041,
BTC_basis_h3,141,-4.707409937328079,-4.646462050636045,1.4513541723313106,0.8829189988149864,-7.7879885265995465,-7.118855060700424,-6.46034003697529,-5.587309402921431,-4.646462050636045,-3.77848308220823,-3.158333148859272,-2.6789302298895223,-1.74496637124664,-0.5322066120361107,-9.740278518539252,0.11044672266684934,
BTC_basis_h4,141,-4.65550223761946,-4.626014811613555,1.2915494110168468,0.7015728047241216,-7.655514873695545,-6.778732348218952,-6.060896367894165,-5.416165396940445,-4.626014811613555,-3.9619584783529938,-3.2346873377506653,-2.651067955053454,-2.01504127542136,-1.4322078178403677,-8.962733425747397,0.11457860434841172,
BTC_basis_h5,141,-4.759921040776649,-4.728029724128097,1.365962239892296,0.9057425893390345,-7.664394844095586,-6.972226832727669,-6.527776090772995,-5.60089864729587,-4.728029724128097,-3.822287134789063,-3.1038252419278267,-2.522810424179086,-2.3300034828861125,-2.164421461208216,-8.884191900232555,-0.29276432961630927,
BTC_basis_h6,142,-4.731881502659379,-4.6664015003267885,1.562763122894863,0.820580174157203,-8.24634458490686,-7.117384259875851,-6.661583906228363,-5.603450178410437,-4.6664015003267885,-3.8598408833815334,-2.9211634759193092,-2.1757544005692178,-1.4707980962778533,-0.6976554762252172,-9.405371065259057,-0.15064438134436806,
BTC_basis_h7,142,-4.642383235753317,-4.697183802481186,1.3988244140070323,0.8515595182098199,-7.854024903856183,-6.893548753449232,-6.1484844048766405,-5.421490206432012,-4.697183802481186,-3.7170343338187863,-2.9852557652262637,-2.458732850582312,-1.8314502922337828,-1.4426918677326328,-9.564212067283002,0.33645686769207633,
BTC_basis_h8,142,-4.6693131357234625,-4.796163132667896,1.505491237009884,0.944218900501979,-7.888204440116578,-6.873680048762536,-6.350037829190818,-5.67588293674979,-4.796163132667896,-3.732051446862747,-2.5940465501034486,-2.2896842285064083,-1.7841596491728111,-1.23349396948605,-9.53227479878972,-0.8124364302545676,
BTC_basis_h9,142,-4.639068410834897,-4.688164062406664,1.4615890655110508,0.8687881528410373,-8.282262635991525,-6.842130400669449,-6.442404327352335,-5.4503985654379905,-4.688164062406664,-3.778746035844775,-2.9187309166197855,-2.0322311882969326,-1.5776785622841156,-0.9482615559689099,-10.160990895317491,0.27952090119378226,
BTC_basis_h10,142,-4.818382178833335,-4.866571783117923,1.426594220863615,0.8088568444219648,-8.481458048996728,-6.827268892701139,-6.508808684330296,-5.6225994768632495,-4.866571783117923,-4.041902353210077,-3.133780036402573,-2.3119594565348893,-1.5781075269177915,-0.8359779459344479,-9.12611964383656,-0.4216913324101122,
BTC_basis_h11,142,-4.851427068100469,-4.886166326132569,1.4726223462474062,0.8440023660100215,-8.144998521990166,-7.0444885073616685,-6.59013609231885,-5.764440776896344,-4.886166326132569,-4.088836616577302,-3.0829077224270294,-2.5337021289857633,-1.6873413863713975,-1.0452175870268368,-9.747215685273547,0.36175345190743163,
BTC_basis_h12,142,-4.675239051138351,-4.69143658051779,1.4957026672288534,0.8636455250882893,-8.101162376797982,-7.190794423803333,-6.849266034658541,-5.4547658679753654,-4.69143658051779,-3.7003140262381784,-2.828393822556056,-2.4778446462115693,-1.7339459358103781,-0.951021085501293,-10.0250634962559,-0.7306942630647599,
BTC_basis_h13,142,-4.5913194099837735,-4.794997969889354,1.3973806820765926,0.8537505090723136,-7.26548435225061,-6.668093510961886,-6.271713746729037,-5.542746824843895,-4.794997969889354,-3.733576715306809,-2.742607866305795,-2.2353288540438,-1.910203215140624,-0.6690816500663432,-8.867110108597677,0.1410035710389626,
BTC_basis_h14,142,-4.639335435904113,-4.7115633976124895,1.697283577515289,1.0170274023663604,-9.127556081677984,-7.062486916007488,-6.642320332944303,-5.697792001752576,-4.7115633976124895,-3.687979182579344,-2.3586118791527557,-2.0222141980777844,-1.4112454656479951,-0.9384120692178511,-10.400613794655122,0.24791134691468378,
