asset,family,axis,state,horizon_hours,n_state,entropy_unconditional,entropy_conditional,entropy_reduction_bits,js_divergence,observed_diff_abs_basis,effect_size_smd,boot_ci_p05,boot_ci_p95,bootstrap_p,decay_fraction_mean,max_expansion_mean,spot_contrib_mean,perp_contrib_mean,future_basis_vol_mean,time_to_exit_median_hours,n_censored_exit,observed_diff_abs_funding,simple_parent,incremental_er_bits,redundant
BTC,STATE_INFO_VALUE,basis_state,B0_NORMAL,4,2550,3.321927,3.27582,0.046106,0.012097,0.387171,0.204638,0.313244,0.469329,0.0,-0.284496,1.52208,6.853423,-7.265573,1.003466,6.0,0,,,,
BTC,STATE_INFO_VALUE,basis_state,B0_NORMAL,24,2531,3.321927,3.267472,0.054454,0.014368,0.46992,0.229113,0.378587,0.547183,0.0,-0.406864,2.960438,29.742888,-30.23798,1.235965,6.0,0,,,,
BTC,STATE_INFO_VALUE,basis_state,B3_ELEVATED_NEGATIVE,4,510,3.321927,3.074395,0.247532,0.065761,-0.815946,-0.49201,-0.926523,-0.693623,0.0,0.129954,0.631197,-6.111773,6.907703,0.954216,1.0,0,,,,
BTC,STATE_INFO_VALUE,basis_state,B3_ELEVATED_NEGATIVE,24,509,3.321927,3.062701,0.259225,0.070569,-0.888516,-0.363987,-1.08259,-0.668506,0.0,0.141184,1.678833,2.817082,-1.942455,1.214705,1.0,0,,,,
BTC,STATE_INFO_VALUE,basis_state,B4_EXTREME_NEGATIVE,4,337,3.321927,2.572444,0.749483,0.182058,-1.69482,-0.941375,-1.85821,-1.523025,0.0,0.218019,0.408568,-8.710117,10.380786,1.273908,1.0,2,,,,
BTC,STATE_INFO_VALUE,basis_state,B4_EXTREME_NEGATIVE,24,337,3.321927,2.326971,0.994956,0.251931,-2.187282,-1.136209,-2.340675,-2.0266,0.0,0.284149,0.909104,-26.315672,28.479671,1.323569,1.0,2,,,,
BTC,STATE_INFO_VALUE,funding_state,F_NEG_ELEVATED,4,1932,3.321927,3.318034,0.003893,0.000985,-0.072938,-0.036969,-0.171776,0.005272,0.07,-0.066285,1.232166,-2.152188,2.20377,1.002743,5.0,8,,,,
BTC,STATE_INFO_VALUE,funding_state,F_NEG_ELEVATED,24,1926,3.321927,3.304624,0.017303,0.004548,-0.270837,-0.135061,-0.365408,-0.181817,0.0,-0.044955,2.328936,2.331088,-2.080647,1.203854,5.0,8,,,,
BTC,STATE_INFO_VALUE,funding_state,F_NORMAL,4,1129,3.321927,3.302699,0.019228,0.004718,0.228776,0.125071,0.130722,0.325223,0.0,-0.410686,1.401047,15.876315,-16.134025,1.057115,5.0,0,,,,
BTC,STATE_INFO_VALUE,funding_state,F_NORMAL,24,1115,3.321927,3.238001,0.083926,0.020452,0.726973,0.29899,0.591024,0.874538,0.0,-0.726589,3.16057,66.14504,-66.900658,1.309279,5.0,0,,,,
BTC,STATE_INFO_VALUE,funding_state,F_NEG_EXTREME,4,336,3.321927,3.274994,0.046933,0.011828,-0.349319,-0.191686,-0.512132,-0.193654,0.006,0.017511,1.126713,-6.971481,7.296649,1.023848,2.5,0,,,,
BTC,STATE_INFO_VALUE,funding_state,F_NEG_EXTREME,24,336,3.321927,3.181467,0.140459,0.035702,-0.859953,-0.422811,-1.02478,-0.679646,0.0,0.101956,1.917252,-30.942355,31.780271,1.232404,2.5,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_NORMAL,4,1853,3.321927,3.320311,0.001615,0.000417,-0.000503,-0.000254,-0.092707,0.098594,0.534,-0.155144,1.223357,3.021768,-3.045417,0.979801,22.0,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_NORMAL,24,1833,3.321927,3.317798,0.004129,0.001045,0.034808,0.01567,-0.056714,0.13233,0.274,-0.211876,2.403712,8.492706,-8.548969,1.182297,22.0,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_LOW,4,684,3.321927,3.305549,0.016378,0.00417,0.026448,0.015262,-0.084557,0.137875,0.348,-0.193671,1.197473,3.902895,-3.953494,0.935914,15.0,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_LOW,24,684,3.321927,3.308829,0.013097,0.003331,0.098978,0.049578,-0.024865,0.232551,0.086,-0.258763,2.438956,5.957143,-6.076732,1.12128,15.0,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_HIGH,4,577,3.321927,3.300814,0.021112,0.00535,0.022907,0.012382,-0.109052,0.16228,0.384,-0.180604,1.398776,3.172809,-3.219867,1.138427,11.0,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_HIGH,24,577,3.321927,3.297915,0.024012,0.005878,0.016257,0.007374,-0.152747,0.17795,0.438,-0.411276,3.039594,63.271207,-63.319188,1.405441,11.0,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_EXTREME,4,283,3.321927,3.245751,0.076176,0.018327,-0.107336,-0.052306,-0.316745,0.111856,0.216,-0.217143,1.58253,4.67946,-4.596275,1.279806,13.0,0,,,,
BTC,STATE_INFO_VALUE,vol_state,V_EXTREME,24,283,3.321927,3.191004,0.130922,0.03091,-0.497823,-0.209081,-0.741595,-0.241696,0.002,-0.210205,2.917553,41.326717,-40.853257,1.581309,13.0,0,,,,
BTC,STATE_INFO_VALUE,mark_index_state,MI_NORMAL,4,2232,3.321927,3.316145,0.005781,0.001447,0.142749,0.072192,0.060806,0.22592,0.0,-0.264967,1.350534,8.032295,-8.199875,1.038757,10.0,0,,,,
BTC,STATE_INFO_VALUE,mark_index_state,MI_NORMAL,24,2212,3.321927,3.307214,0.014713,0.003651,0.294712,0.130351,0.194809,0.402956,0.0,-0.417899,2.797389,38.781621,-39.10129,1.261046,10.0,0,,,,
BTC,STATE_INFO_VALUE,mark_index_state,MI_STRESS_NEGATIVE,4,1165,3.321927,3.300823,0.021104,0.005309,-0.27349,-0.154005,-0.372384,-0.178463,0.0,0.004901,1.138635,-5.582977,5.833618,0.992524,5.0,3,,,,
BTC,STATE_INFO_VALUE,mark_index_state,MI_STRESS_NEGATIVE,24,1165,3.321927,3.262717,0.059209,0.015618,-0.559573,-0.280756,-0.656935,-0.459096,0.0,0.053416,2.116685,-15.399299,15.938768,1.204396,5.0,3,,,,
BTC,STATE_INFO_VALUE,funding_accel,F_STABLE,4,1308,3.321927,3.31998,0.001947,0.000471,0.030174,0.014876,-0.068653,0.148179,0.336,-0.226278,1.296349,10.76317,-10.821257,1.036633,2.0,0,,,,
BTC,STATE_INFO_VALUE,funding_accel,F_STABLE,24,1291,3.321927,3.316565,0.005362,0.001327,0.194459,0.081563,0.054736,0.314572,0.002,-0.3914,2.710191,39.485909,-39.703142,1.269569,2.0,0,,,,
BTC,STATE_INFO_VALUE,funding_accel,F_ACCEL_POS,4,1047,3.321927,3.309612,0.012314,0.003111,0.11483,0.063081,0.018674,0.209145,0.022,-0.255385,1.319443,3.628063,-3.767314,1.019019,3.0,0,,,,
BTC,STATE_INFO_VALUE,funding_accel,F_ACCEL_POS,24,1046,3.321927,3.313837,0.00809,0.001994,0.151167,0.072565,0.0342,0.267522,0.018,-0.357591,2.638737,27.278804,-27.45533,1.208298,3.0,0,,,,
BTC,STATE_INFO_VALUE,funding_accel,F_ACCEL_NEG,4,1018,3.321927,3.312792,0.009135,0.002296,-0.155614,-0.083568,-0.257994,-0.045191,0.012,-0.020541,1.211539,-6.629701,6.766273,1.009654,3.0,3,,,,
BTC,STATE_INFO_VALUE,funding_accel,F_ACCEL_NEG,24,1016,3.321927,3.290174,0.031753,0.008279,-0.414533,-0.205681,-0.538307,-0.300093,0.0,0.022074,2.306551,-10.709592,11.102333,1.243448,3.0,3,,,,
BTC,STATE_INFO_VALUE,relative_state,SYNCHRONIZED,4,1754,3.321927,3.314242,0.007685,0.001974,0.097526,0.055092,0.012052,0.183345,0.026,-0.194448,1.316952,1.345212,-1.469416,0.994344,3.0,2,,,,
BTC,STATE_INFO_VALUE,relative_state,SYNCHRONIZED,24,1740,3.321927,3.316807,0.005119,0.001284,0.132537,0.062036,0.030321,0.225869,0.02,-0.322034,2.724064,25.311243,-25.466241,1.244826,3.0,2,,,,
BTC,STATE_INFO_VALUE,relative_state,BTC_LED,4,1016,3.321927,3.283753,0.038174,0.009279,-0.315479,-0.144479,-0.439588,-0.172367,0.0,-0.000296,1.083356,1.640364,-1.344134,1.035253,3.0,0,,,,
BTC,STATE_INFO_VALUE,relative_state,BTC_LED,24,1010,3.321927,3.255775,0.066152,0.016427,-0.555817,-0.24055,-0.700951,-0.409974,0.0,0.03625,1.956823,19.797803,-19.260283,1.202332,3.0,0,,,,
BTC,STATE_INFO_VALUE,relative_state,ETH_LED,4,627,3.321927,3.298027,0.0239,0.006004,0.238382,0.131776,0.116752,0.354848,0.002,-0.389887,1.483695,11.798727,-12.062138,1.082771,2.0,0,,,,
BTC,STATE_INFO_VALUE,relative_state,ETH_LED,24,627,3.321927,3.250743,0.071184,0.019409,0.527528,0.257925,0.390972,0.657686,0.0,-0.539965,3.090112,6.072439,-6.633562,1.29538,2.0,0,,,,
BTC,STATE_INFO_VALUE,systemic_state,NORMAL_CROSS_STATE,4,2523,3.321927,3.308954,0.012973,0.003368,0.208502,0.10916,0.123558,0.291829,0.0,-0.223461,1.375386,5.555053,-5.788149,0.993587,8.0,0,,,,
BTC,STATE_INFO_VALUE,systemic_state,NORMAL_CROSS_STATE,24,2503,3.321927,3.305377,0.01655,0.004286,0.27651,0.12669,0.180443,0.372268,0.0,-0.324101,2.762565,33.454917,-33.753294,1.231605,8.0,0,,,,
BTC,STATE_INFO_VALUE,systemic_state,BTC_SPECIFIC,4,388,3.321927,3.06682,0.255107,0.061197,-0.946848,-0.520885,-1.107724,-0.783085,0.0,0.10923,0.72551,-14.974689,15.897386,1.089175,2.0,0,,,,
BTC,STATE_INFO_VALUE,systemic_state,BTC_SPECIFIC,24,388,3.321927,2.955621,0.366306,0.088683,-1.348996,-0.668316,-1.50642,-1.184618,0.0,0.174708,1.345358,-46.349803,47.676595,1.239057,2.0,0,,,,
BTC,STATE_INFO_VALUE,systemic_state,ETH_SPECIFIC,4,325,3.321927,3.313016,0.008911,0.002281,0.013918,0.007826,-0.136121,0.176498,0.408,-0.25342,1.37027,6.808523,-6.843157,1.068846,1.0,0,,,,
BTC,STATE_INFO_VALUE,systemic_state,ETH_SPECIFIC,24,325,3.321927,3.288042,0.033885,0.00908,0.244269,0.119557,0.052246,0.421701,0.02,-0.459209,2.872666,-4.925962,4.646221,1.284729,1.0,0,,,,
BTC,STATE_INFO_VALUE,systemic_state,SYSTEMIC_STRESS,4,161,3.321927,3.078583,0.243344,0.054026,-1.013641,-0.506701,-1.282671,-0.756313,0.0,0.11234,0.894197,6.247977,-5.258487,1.229815,1.0,2,,,,
BTC,STATE_INFO_VALUE,systemic_state,SYSTEMIC_STRESS,24,161,3.321927,2.843028,0.478899,0.123454,-1.540872,-0.735543,-1.789684,-1.284228,0.0,0.189298,1.760546,22.930228,-21.412639,1.314013,1.0,2,,,,
ETH,STATE_INFO_VALUE,basis_state,B0_NORMAL,4,2550,3.321927,3.276224,0.045702,0.012231,0.419997,0.133666,0.294494,0.555237,0.0,-0.301131,1.63051,8.243394,-8.709219,1.097322,6.0,0,,,,
ETH,STATE_INFO_VALUE,basis_state,B0_NORMAL,24,2530,3.321927,3.257393,0.064533,0.017496,0.556214,0.169675,0.411229,0.693735,0.0,-0.385163,3.224132,48.898395,-49.489881,1.335381,6.0,0,,,,
ETH,STATE_INFO_VALUE,basis_state,B3_ELEVATED_NEGATIVE,4,508,3.321927,3.111554,0.210373,0.054674,-0.849906,-0.354589,-0.988167,-0.721844,0.0,0.129105,0.759147,-8.48496,9.32899,1.161489,1.0,0,,,,
ETH,STATE_INFO_VALUE,basis_state,B3_ELEVATED_NEGATIVE,24,508,3.321927,3.032245,0.289682,0.076145,-1.163425,-0.456085,-1.309128,-1.01891,0.0,0.183089,1.756258,-32.243272,33.436007,1.392953,1.0,0,,,,
ETH,STATE_INFO_VALUE,basis_state,B4_EXTREME_NEGATIVE,4,337,3.321927,2.629077,0.69285,0.158238,-1.876844,-0.731027,-2.076769,-1.692724,0.0,0.22647,0.485475,7.551785,-5.723116,1.409462,1.0,2,,,,
ETH,STATE_INFO_VALUE,basis_state,B4_EXTREME_NEGATIVE,24,337,3.321927,2.400335,0.921592,0.217691,-2.411947,-0.915222,-2.613034,-2.219088,0.0,0.300216,1.083106,26.247338,-23.848697,1.508533,1.0,2,,,,
ETH,STATE_INFO_VALUE,funding_state,F_NEG_ELEVATED,4,1621,3.321927,3.318437,0.00349,0.000885,-0.153166,-0.061763,-0.260859,-0.041135,0.006,-0.08127,1.286055,-6.036962,6.132948,1.108441,4.0,0,,,,
ETH,STATE_INFO_VALUE,funding_state,F_NEG_ELEVATED,24,1621,3.321927,3.294905,0.027022,0.007,-0.383965,-0.14505,-0.499132,-0.27363,0.0,-0.038803,2.480333,-33.84813,34.211314,1.335411,4.0,0,,,,
ETH,STATE_INFO_VALUE,funding_state,F_NORMAL,4,1488,3.321927,3.310956,0.010971,0.002786,0.273144,0.07579,0.104935,0.485367,0.004,-0.336045,1.522099,15.817625,-16.136669,1.159299,6.0,38,,,,
ETH,STATE_INFO_VALUE,funding_state,F_NORMAL,24,1468,3.321927,3.267945,0.053982,0.01379,0.603887,0.161688,0.421557,0.8076,0.0,-0.502888,3.251632,105.801879,-106.449797,1.371601,6.0,38,,,,
ETH,STATE_INFO_VALUE,funding_state,F_NEG_EXTREME,4,288,3.321927,3.244617,0.07731,0.018404,-0.549152,-0.212215,-0.765187,-0.341141,0.0,0.023478,1.241234,18.933726,-18.393819,1.218636,4.0,0,,,,
ETH,STATE_INFO_VALUE,funding_state,F_NEG_EXTREME,24,288,3.321927,3.190406,0.131521,0.031176,-0.917012,-0.329921,-1.173899,-0.687112,0.0,0.074112,2.170129,59.478778,-58.589712,1.465859,4.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_NORMAL,4,1791,3.321927,3.319344,0.002583,0.000659,-0.075998,-0.030956,-0.180204,0.022084,0.128,-0.141275,1.269347,-3.415969,3.442298,1.065796,16.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_NORMAL,24,1777,3.321927,3.320337,0.00159,0.000398,-0.038175,-0.010642,-0.189434,0.144817,0.344,-0.208532,2.679506,2.348913,-2.328631,1.318702,16.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_LOW,4,757,3.321927,3.29922,0.022707,0.005731,-0.040386,-0.016709,-0.176294,0.095477,0.336,-0.121034,1.164491,8.76735,-8.775139,0.963049,16.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_LOW,24,757,3.321927,3.305747,0.01618,0.004145,0.078185,0.030137,-0.064678,0.209448,0.164,-0.182638,2.544891,8.320537,-8.440658,1.193942,16.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_HIGH,4,559,3.321927,3.286205,0.035722,0.00873,0.414887,0.083199,0.058048,0.910901,0.028,-0.380632,1.940953,27.543499,-28.004774,1.489177,7.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_HIGH,24,553,3.321927,3.307387,0.014539,0.003587,0.121267,0.043975,-0.05156,0.287972,0.128,-0.368128,3.259272,144.682197,-144.887137,1.569524,7.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_EXTREME,4,290,3.321927,3.25303,0.068897,0.016846,-0.224955,-0.082105,-0.460891,0.02793,0.064,-0.233075,1.610828,11.33767,-11.155109,1.387818,12.0,0,,,,
ETH,STATE_INFO_VALUE,vol_state,V_EXTREME,24,290,3.321927,3.286516,0.035411,0.008557,-0.201411,-0.070138,-0.433492,0.050706,0.082,-0.232422,3.202313,93.438993,-93.225712,1.673393,12.0,0,,,,
ETH,STATE_INFO_VALUE,mark_index_state,MI_NORMAL,4,2654,3.321927,3.318589,0.003337,0.000858,0.107836,0.034186,-0.008507,0.247375,0.066,-0.232629,1.416828,8.383429,-8.538711,1.130839,19.0,76,,,,
ETH,STATE_INFO_VALUE,mark_index_state,MI_NORMAL,24,2634,3.321927,3.31359,0.008337,0.002145,0.210334,0.06359,0.076437,0.345958,0.004,-0.309029,2.924939,44.045338,-44.289167,1.34538,19.0,76,,,,
ETH,STATE_INFO_VALUE,mark_index_state,MI_STRESS_NEGATIVE,4,743,3.321927,3.285318,0.036609,0.008661,-0.385189,-0.150609,-0.522295,-0.230516,0.0,-0.010247,1.274281,-4.099591,4.434004,1.173002,4.0,0,,,,
ETH,STATE_INFO_VALUE,mark_index_state,MI_STRESS_NEGATIVE,24,743,3.321927,3.228179,0.093748,0.022671,-0.745651,-0.274505,-0.898949,-0.604314,0.0,0.046014,2.307836,2.104721,-1.383488,1.422138,4.0,0,,,,
ETH,STATE_INFO_VALUE,funding_accel,F_STABLE,4,1611,3.321927,3.319475,0.002452,0.000633,0.126098,0.035687,-0.035261,0.312839,0.106,-0.25588,1.464362,10.528987,-10.697663,1.139831,3.0,25,,,,
ETH,STATE_INFO_VALUE,funding_accel,F_STABLE,24,1591,3.321927,3.316969,0.004958,0.001274,0.152079,0.041587,-0.026547,0.337347,0.094,-0.318495,2.866739,51.60498,-51.773219,1.34536,3.0,25,,,,
ETH,STATE_INFO_VALUE,funding_accel,F_ACCEL_POS,4,886,3.321927,3.315368,0.006559,0.001667,0.104155,0.04217,-0.025077,0.219094,0.102,-0.189574,1.364727,1.923719,-2.093556,1.121217,3.0,0,,,,
ETH,STATE_INFO_VALUE,funding_accel,F_ACCEL_POS,24,886,3.321927,3.303003,0.018924,0.004783,0.300003,0.110147,0.150066,0.436206,0.0,-0.295792,2.991848,59.556288,-59.930452,1.344098,3.0,0,,,,
ETH,STATE_INFO_VALUE,funding_accel,F_ACCEL_NEG,4,876,3.321927,3.300161,0.021766,0.005324,-0.332997,-0.131843,-0.477459,-0.18561,0.0,-0.049259,1.255577,0.008276,0.283961,1.154957,3.0,0,,,,
ETH,STATE_INFO_VALUE,funding_accel,F_ACCEL_NEG,24,876,3.321927,3.269837,0.05209,0.012825,-0.574175,-0.213046,-0.725542,-0.440462,0.0,-0.011301,2.419415,-16.770316,17.328312,1.408869,3.0,0,,,,
ETH,STATE_INFO_VALUE,relative_state,SYNCHRONIZED,4,1754,3.321927,3.31931,0.002616,0.000657,0.041798,0.016887,-0.061084,0.148518,0.228,-0.224414,1.396237,3.736621,-3.827413,1.11066,3.0,2,,,,
ETH,STATE_INFO_VALUE,relative_state,SYNCHRONIZED,24,1740,3.321927,3.319703,0.002224,0.000562,0.061656,0.022868,-0.059322,0.174716,0.204,-0.30096,2.857757,36.115285,-36.198588,1.359589,3.0,2,,,,
ETH,STATE_INFO_VALUE,relative_state,BTC_LED,4,1016,3.321927,3.292464,0.029462,0.007805,0.349673,0.087721,0.132478,0.614907,0.0,-0.235786,1.500081,3.80737,-4.181718,1.10778,3.0,0,,,,
ETH,STATE_INFO_VALUE,relative_state,BTC_LED,24,1010,3.321927,3.279059,0.042868,0.011703,0.46696,0.114806,0.23219,0.77566,0.0,-0.28852,2.995492,36.165021,-36.655836,1.318482,3.0,0,,,,
ETH,STATE_INFO_VALUE,relative_state,ETH_LED,4,627,3.321927,3.219955,0.101971,0.023818,-0.683542,-0.262662,-0.842593,-0.518957,0.0,0.01303,1.170609,14.005267,-13.405689,1.274614,2.0,0,,,,
ETH,STATE_INFO_VALUE,relative_state,ETH_LED,24,627,3.321927,3.177472,0.144455,0.033701,-0.923302,-0.332527,-1.078461,-0.742389,0.0,0.056271,2.266457,29.04619,-28.194037,1.440234,2.0,0,,,,
ETH,STATE_INFO_VALUE,systemic_state,NORMAL_CROSS_STATE,4,2523,3.321927,3.307086,0.014841,0.003897,0.240842,0.076263,0.11822,0.377438,0.002,-0.252165,1.513093,8.792625,-9.079173,1.110598,8.0,0,,,,
