provider_id,sensor_family,instrument,granularity,earliest_claimed,earliest_verified,boundary_confidence,latest_verified,probe_method,evidence_ids
BINANCE_USDM,MECHANICAL_BOOK_SNAPSHOT,,,,,UNKNOWN,,runtime,
BINANCE_USDM,MECHANICAL_FUNDING,,,,,UNKNOWN,,runtime,
BINANCE_USDM,MECHANICAL_OPEN_INTEREST,,,,2022-06-15T00:00:00Z,UNKNOWN,2022-06-15T00:00:00Z,runtime,
BINANCE_USDM,MECHANICAL_TRADE,,,,2022-06-15T00:00:00Z,UNKNOWN,2022-06-15T00:00:00Z,runtime,
BITFINEX_COMMUNITY_ARCHIVE,MECHANICAL_LIQUIDATION,,,,2026-08-23T14:55:12.370177Z,UNKNOWN,2026-08-23T14:55:12.370177Z,archive,
BYBIT_LINEAR,MECHANICAL_BOOK_SNAPSHOT,,,,,UNKNOWN,,runtime,
BYBIT_LINEAR,MECHANICAL_FUNDING,,,,,UNKNOWN,,runtime,
BYBIT_LINEAR,MECHANICAL_OPEN_INTEREST,,,,,UNKNOWN,,runtime,
BYBIT_LINEAR,MECHANICAL_TRADE,,,,,UNKNOWN,,runtime,
COINALYZE,MECHANICAL_FUNDING,,,,,UNKNOWN,,runtime,
COINALYZE,MECHANICAL_LIQUIDATION,,,,,UNKNOWN,,runtime,
COINALYZE,MECHANICAL_OPEN_INTEREST,,,,,UNKNOWN,,runtime,
COINALYZE,MECHANICAL_POSITIONING,,,,,UNKNOWN,,runtime,
DERIBIT,MECHANICAL_BOOK_SNAPSHOT,,,,2026-08-30T13:55:12.240279Z,UNKNOWN,2026-08-30T13:55:12.240279Z,runtime,
DERIBIT,MECHANICAL_FUNDING,,,,2026-08-23T14:55:12.048205Z,UNKNOWN,2026-08-23T14:55:12.048205Z,runtime,
DERIBIT,MECHANICAL_LIQUIDATION,,,,2026-08-23T14:55:11.833559Z,UNKNOWN,2026-08-23T14:55:11.833559Z,runtime,
DERIBIT,MECHANICAL_TRADE,,,,2026-08-30T13:55:11.474770Z,UNKNOWN,2026-08-30T13:55:11.474770Z,runtime,
GATE_FUTURES,MECHANICAL_FUNDING,,,,,UNKNOWN,,runtime,
GATE_FUTURES,MECHANICAL_LIQUIDATION,,,,2026-08-23T14:55:06.963000Z,UNKNOWN,2026-08-23T14:55:06.963000Z,runtime,
GATE_FUTURES,MECHANICAL_OPEN_INTEREST,,,,2026-08-23T14:55:05.522441Z,UNKNOWN,2026-08-23T14:55:05.522441Z,runtime,
GATE_FUTURES,MECHANICAL_POSITIONING,,,,2026-08-23T14:55:07.337755Z,UNKNOWN,2026-08-23T14:55:07.337755Z,runtime,
GATE_FUTURES,MECHANICAL_TRADE,,,,,UNKNOWN,,runtime,
KRAKEN_FUTURES,MECHANICAL_BASIS,,,,2022-06-15T00:00:00Z,UNKNOWN,2026-08-23T14:55:04.725011Z,runtime,
KRAKEN_FUTURES,MECHANICAL_BOOK_METRIC,,,,2026-08-23T14:55:05.140795Z,UNKNOWN,2026-08-23T14:55:05.140795Z,runtime,
KRAKEN_FUTURES,MECHANICAL_BOOK_SNAPSHOT,,,,,UNKNOWN,,runtime,
KRAKEN_FUTURES,MECHANICAL_FUNDING,,,,2026-08-23T14:55:04.309346Z,UNKNOWN,2026-08-23T14:55:04.309346Z,runtime,
KRAKEN_FUTURES,MECHANICAL_OPEN_INTEREST,,,,2024-06-15T00:00:00Z,UNKNOWN,2026-08-23T14:55:03.925948Z,runtime,
KRAKEN_FUTURES,MECHANICAL_POSITIONING,,,,2026-08-23T14:55:05.009310Z,UNKNOWN,2026-08-23T14:55:05.009310Z,runtime,
KRAKEN_FUTURES,MECHANICAL_TRADE,,,,,UNKNOWN,,runtime,
OKX_SWAP,MECHANICAL_BOOK_SNAPSHOT,,,,2026-08-30T13:55:11.250844Z,UNKNOWN,2026-08-30T13:55:11.250844Z,runtime,
OKX_SWAP,MECHANICAL_FUNDING,,,,2022-06-15T00:00:00Z,UNKNOWN,2026-08-23T14:55:10.584064Z,runtime,
OKX_SWAP,MECHANICAL_TRADE,,,,2026-08-30T13:55:11.053007Z,UNKNOWN,2026-08-30T13:55:11.053007Z,runtime,
