provider_id,sensor_family,framework_status,adapter_status,promoted,evidence_basis,planned,implemented,offline_pass,smoke_pass,access_pass,resume_pass,schema_pass
COMMON_FRAMEWORK,all,COMMON_FRAMEWORK_READY,NOT_STARTED,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
KRAKEN_FUTURES,MECHANICAL_BASIS,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,YES,YES
KRAKEN_FUTURES,MECHANICAL_BOOK_METRIC,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,YES,YES
KRAKEN_FUTURES,MECHANICAL_FUNDING,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,YES,YES
KRAKEN_FUTURES,MECHANICAL_LIQUIDATION,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,YES,YES
KRAKEN_FUTURES,MECHANICAL_OPEN_INTEREST,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,YES,YES
KRAKEN_FUTURES,MECHANICAL_POSITIONING,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,YES,YES
KRAKEN_FUTURES,MECHANICAL_TRADE,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,NOT promoted per I14 (typed CapabilityUnavailable; /history schema problems),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
KRAKEN_FUTURES,MECHANICAL_BOOK_SNAPSHOT,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,NOT promoted per I14 (typed CapabilityUnavailable; /orderbook schema problems),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
GATE_FUTURES,MECHANICAL_FUNDING,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,LIMITED,YES
GATE_FUTURES,MECHANICAL_LIQUIDATION,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,LIMITED,YES
GATE_FUTURES,MECHANICAL_OPEN_INTEREST,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,LIMITED,YES
GATE_FUTURES,MECHANICAL_POSITIONING,COMMON_FRAMEWORK_READY,ADAPTER_READY,YES,source_promotion_candidates.yaml,YES,YES,YES,NOT_RUN,YES,LIMITED,YES
GATE_FUTURES,MECHANICAL_TRADE,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,NOT promoted per I14 (typed CapabilityUnavailable),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
GATE_FUTURES,MECHANICAL_BOOK_SNAPSHOT,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,NOT promoted per I14 (typed CapabilityUnavailable),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
OKX_SWAP,MECHANICAL_BOOK_SNAPSHOT,COMMON_FRAMEWORK_READY,PLANNED,YES,source_promotion_candidates.yaml,YES,NO,n/a,NOT_RUN,n/a,n/a,n/a
OKX_SWAP,MECHANICAL_FUNDING,COMMON_FRAMEWORK_READY,PLANNED,YES,source_promotion_candidates.yaml,YES,NO,n/a,NOT_RUN,n/a,n/a,n/a
OKX_SWAP,MECHANICAL_TRADE,COMMON_FRAMEWORK_READY,PLANNED,YES,source_promotion_candidates.yaml,YES,NO,n/a,NOT_RUN,n/a,n/a,n/a
DERIBIT,MECHANICAL_BOOK_SNAPSHOT,COMMON_FRAMEWORK_READY,PLANNED,YES,source_promotion_candidates.yaml,YES,NO,n/a,NOT_RUN,n/a,n/a,n/a
DERIBIT,MECHANICAL_FUNDING,COMMON_FRAMEWORK_READY,PLANNED,YES,source_promotion_candidates.yaml,YES,NO,n/a,NOT_RUN,n/a,n/a,n/a
DERIBIT,MECHANICAL_LIQUIDATION,COMMON_FRAMEWORK_READY,PLANNED,YES,source_promotion_candidates.yaml,YES,NO,n/a,NOT_RUN,n/a,n/a,n/a
DERIBIT,MECHANICAL_TRADE,COMMON_FRAMEWORK_READY,PLANNED,YES,source_promotion_candidates.yaml,YES,NO,n/a,NOT_RUN,n/a,n/a,n/a
BINANCE_USDM,*,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,excluded per I14 (REST geo-blocked; archive-only),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
BYBIT_LINEAR,*,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,excluded per I14 (geo-blocked),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
COINALYZE,*,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,corroborator per I14 (CREDENTIAL_NOT_CONFIGURED),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
BITFINEX_COMMUNITY_ARCHIVE,*,COMMON_FRAMEWORK_READY,NOT_PLANNED,NO,corroborator per I14 (community archive),NO,NO,n/a,NOT_RUN,n/a,n/a,n/a
