slot,canonical_ny,K1_reason,K2_gamma_reason,K2_accel_reason,K2_w1_reason,K3_OLS_reason,K3_w2_reason,K4_RV6_reason,K4_alpha_reason,K4_wt_reason
2023-01-03 03:00:00+00:00,2023-01-03 03:00:00,INVALID: insufficient history (<720 slots),,INVALID: no previous sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,INVALID: insufficient history (<6 returns),INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 04:00:00+00:00,2023-01-03 04:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,INVALID: insufficient history (<6 returns),INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 05:00:00+00:00,2023-01-03 05:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,INVALID: insufficient history (<6 returns),INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 06:00:00+00:00,2023-01-03 06:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,INVALID: insufficient history (<6 returns),INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 07:00:00+00:00,2023-01-03 07:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,INVALID: insufficient history (<6 returns),INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 08:00:00+00:00,2023-01-03 08:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,,INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 09:00:00+00:00,2023-01-03 09:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,,INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 10:00:00+00:00,2023-01-03 10:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,,INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 11:00:00+00:00,2023-01-03 11:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,,INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
2023-01-03 12:00:00+00:00,2023-01-03 12:00:00,INVALID: insufficient history (<720 slots),,INVALID: non-finite sigma,INACTIVE: gamma_bar or accel invalid,INVALID: insufficient history (<20 bars),INACTIVE: OLS invalid or inputs non-finite,,INVALID: insufficient history (<20 bars),INACTIVE: alpha_D invalid
