kernel,observable,horizon,target,rank_ic,correlation,r_squared,p_value_adj,significant
K1,lambda_magnitude,1,future_return_W_h1,N/A,N/A,N/A,N/A,DATA_REQUIRED
K1,lambda_magnitude,2,future_return_W_h2,N/A,N/A,N/A,N/A,DATA_REQUIRED
K1,lambda_magnitude,4,future_return_W_h4,N/A,N/A,N/A,N/A,DATA_REQUIRED
K1,lambda_magnitude,6,future_return_W_h6,N/A,N/A,N/A,N/A,DATA_REQUIRED
K1,lambda_magnitude,12,future_return_W_h12,N/A,N/A,N/A,N/A,DATA_REQUIRED
K1,lambda_magnitude,24,future_return_W_h24,N/A,N/A,N/A,N/A,DATA_REQUIRED
K2,gamma_bar,1,future_return_W_h1,N/A,N/A,N/A,N/A,DATA_REQUIRED
K2,gamma_bar,2,future_return_W_h2,N/A,N/A,N/A,N/A,DATA_REQUIRED
K2,gamma_bar,4,future_return_W_h4,N/A,N/A,N/A,N/A,DATA_REQUIRED
K2,gamma_bar,6,future_return_W_h6,N/A,N/A,N/A,N/A,DATA_REQUIRED
K2,gamma_bar,12,future_return_W_h12,N/A,N/A,N/A,N/A,DATA_REQUIRED
K2,gamma_bar,24,future_return_W_h24,N/A,N/A,N/A,N/A,DATA_REQUIRED
K3,edge_density,1,future_return_W_h1,N/A,N/A,N/A,N/A,DATA_REQUIRED
K3,edge_density,2,future_return_W_h2,N/A,N/A,N/A,N/A,DATA_REQUIRED
K3,edge_density,4,future_return_W_h4,N/A,N/A,N/A,N/A,DATA_REQUIRED
K3,edge_density,6,future_return_W_h6,N/A,N/A,N/A,N/A,DATA_REQUIRED
K3,edge_density,12,future_return_W_h12,N/A,N/A,N/A,N/A,DATA_REQUIRED
K3,edge_density,24,future_return_W_h24,N/A,N/A,N/A,N/A,DATA_REQUIRED
K4,alpha_D,1,future_return_W_h1,N/A,N/A,N/A,N/A,DATA_REQUIRED
K4,alpha_D,2,future_return_W_h2,N/A,N/A,N/A,N/A,DATA_REQUIRED
K4,alpha_D,4,future_return_W_h4,N/A,N/A,N/A,N/A,DATA_REQUIRED
K4,alpha_D,6,future_return_W_h6,N/A,N/A,N/A,N/A,DATA_REQUIRED
K4,alpha_D,12,future_return_W_h12,N/A,N/A,N/A,N/A,DATA_REQUIRED
K4,alpha_D,24,future_return_W_h24,N/A,N/A,N/A,N/A,DATA_REQUIRED
