checkpoint,group,n,mean,median,p10,p25,p50,p75,p90,iqr,mad,variance
6AM,overall,442,0.4645504711267709,0.4418273361976317,0.2424522478192935,0.3177437241657325,0.4418273361976317,0.5969597882593047,0.7302299391295805,0.27921606409357225,0.13101452894322596,0.03718669235982145
6AM,tier_1,327,0.42796080574528905,0.40757575757577363,0.2272916855562537,0.3005241897922639,0.40757575757577363,0.5226271954103869,0.6611300113401141,0.22210300561812302,0.1082127002509285,0.030424259868028623
6AM,tier_2,114,0.5654969167785843,0.558641886720252,0.30731546934079423,0.41705783410588093,0.558641886720252,0.6995966545508459,0.8349904985468319,0.2825388204449649,0.14217184979555594,0.04104854406266864
6AM,tier_3,1,0.9214762465645854,0.9214762465645854,0.9214762465645854,0.9214762465645854,0.9214762465645854,0.9214762465645854,0.9214762465645854,0.0,0.0,0.0
6AM,state_BALANCED_ASIA,37,0.36334599555806746,0.3885017421602805,0.18180832069423672,0.274582560296832,0.3885017421602805,0.46506550218339565,0.5109318996416097,0.19048294188656367,0.0996128532713893,0.017629860984983044
6AM,state_FULL_LOOP,29,0.5041516962008479,0.47234678624811577,0.26785544796057636,0.367139959432045,0.47234678624811577,0.6253602305475567,0.7641226940738084,0.2582202711155117,0.12683521784187657,0.03774729260243079
6AM,state_ONE_SIDED_DOWN,20,0.4024752844389525,0.34367365417797296,0.1759142212189686,0.28664976223437993,0.34367365417797296,0.4692130540257057,0.7368513649674246,0.18256329179132574,0.10872536015938376,0.041553867580202186
6AM,state_ONE_SIDED_UP,20,0.4195718468096784,0.3399828767123353,0.21670058435328135,0.2674184632393706,0.3399828767123353,0.49468676048197957,0.7297433372865654,0.227268297242609,0.10996316992636272,0.04593528048277607
6AM,state_OVER_COMPLETED,80,0.5200763637450169,0.4851177185550042,0.28057583948116016,0.3395926593643199,0.4851177185550042,0.6650862825854302,0.8382578193510474,0.3254936232211103,0.15368841314740778,0.046877414863332426
6AM,state_PARTIAL_LOOP,256,0.4657033417499441,0.4554561388536834,0.24389522602450858,0.3194472813431939,0.4554561388536834,0.5950265616413687,0.70213965484646,0.2755792802981748,0.13739988318276036,0.03281484741505435
6AM,balance_BALANCED,52,0.5639552169270016,0.5598235991795746,0.3488320237842336,0.43271981330924447,0.5598235991795746,0.6834555598869471,0.7919865962063264,0.2507357465777026,0.12627852084972663,0.03458929160285338
6AM,balance_DOWN_HEAVY,132,0.4297753841945339,0.38981538720918363,0.24257710651829553,0.31594984933954606,0.38981538720918363,0.5127688172043106,0.6481781236869173,0.1968189678647645,0.0941331696015886,0.0329799330627844
6AM,balance_DOWN_LEAN,79,0.5117047617117272,0.47940691927511675,0.26589670943994986,0.36561486749656136,0.47940691927511675,0.6567065974579545,0.7698080150640754,0.2910917299613931,0.14065387099844945,0.036902754418747165
6AM,balance_UP_HEAVY,126,0.42035125750842844,0.401341803939198,0.20917706489356735,0.27346344770198855,0.401341803939198,0.5314003537447045,0.6674057765349112,0.25793690604271596,0.12940372839098838,0.03222112478709452
6AM,balance_UP_LEAN,53,0.48842172873324036,0.4657258064516127,0.2435656949725401,0.3271812080537009,0.4657258064516127,0.5693848354792336,0.8293252797677674,0.2422036274255327,0.1332459159134191,0.04120524961941705
9AM,overall,442,0.6245201420533251,0.6270000421875597,0.32920919694358847,0.46774691155426107,0.6270000421875597,0.7886146969237398,0.9261308880647181,0.3208677853694787,0.16050984837567284,0.04651074745169076
9AM,tier_1,327,0.6021213942170803,0.6043956043955943,0.31503546820574596,0.44197960298669975,0.6043956043955943,0.7454726076476963,0.9127088106941273,0.30349300466099655,0.14800615206294138,0.04538144116741506
9AM,tier_2,114,0.6861229754983658,0.6963217857511075,0.3785657431531386,0.5228831602389679,0.6963217857511075,0.8536953191522493,1.0,0.3308121589132814,0.16937058959923118,0.04412578070629906
9AM,tier_3,1,0.9261876717707149,0.9261876717707149,0.9261876717707149,0.9261876717707149,0.9261876717707149,0.9261876717707149,0.9261876717707149,0.0,0.0,0.0
9AM,state_BALANCED_ASIA,37,0.5714866768743111,0.5371702637889727,0.31312867574123526,0.4429065743944536,0.5371702637889727,0.701298701298681,0.86875931963504,0.2583921269042274,0.13694853429896386,0.04359203703221116
9AM,state_FULL_LOOP,29,0.6442044299055979,0.6474201474201483,0.3958596035348985,0.4563894523326529,0.6474201474201483,0.7603143418467604,0.954105512271253,0.3039248895141075,0.14863248415878294,0.04269549363006411
9AM,state_ONE_SIDED_DOWN,20,0.5744382205883568,0.560240902310931,0.2616051491672218,0.3993708053691424,0.560240902310931,0.8067230148883279,0.8723251100705758,0.4073522095191855,0.2200292307817836,0.05671989356094831
9AM,state_ONE_SIDED_UP,20,0.6059821090403332,0.5783414924941992,0.32669360269360515,0.4138341239702452,0.5783414924941992,0.7334690729046769,0.9949579831932999,0.3196349489344317,0.1759428901623256,0.05545981679790102
9AM,state_OVER_COMPLETED,80,0.6673247458900794,0.6789444949954427,0.407990054731606,0.5092897695458585,0.6789444949954427,0.8381001920614426,0.9729379418695975,0.3288104225155841,0.16735135048723726,0.04627796089691216
9AM,state_PARTIAL_LOOP,256,0.621939769578819,0.6299895316553831,0.33471679174286256,0.47131696428570813,0.6299895316553831,0.7708985411037605,0.9069076543660783,0.2995815768180524,0.1539578437042221,0.04468837204368709
9AM,balance_BALANCED,52,0.6839519049622138,0.6881617828121209,0.4408355274705998,0.6200615484652011,0.6881617828121209,0.7920013310078909,0.9171194787107017,0.17193978254268982,0.08930200362733215,0.03497759354448853
9AM,balance_DOWN_HEAVY,132,0.6220971490588154,0.618242500801037,0.3165648548176504,0.43272792988163905,0.618242500801037,0.8132833049667416,0.9802221749760643,0.38055537508510257,0.18882143604772544,0.0560052877064571
9AM,balance_DOWN_LEAN,79,0.6499132937705444,0.6654064272211637,0.3948635436489379,0.48602041710053634,0.6654064272211637,0.7881660366002352,0.9123926512580143,0.30214561949969887,0.16886264841931747,0.037138231537182244
9AM,balance_UP_HEAVY,126,0.5750743269798533,0.5630009564801637,0.2926106332516606,0.4196229502301604,0.5630009564801637,0.7428876638885573,0.8651092788731038,0.32326471365839693,0.15828663087342382,0.045568528005598255
9AM,balance_UP_LEAN,53,0.6519446159704975,0.6756756756756686,0.41783401210926696,0.5049261083743753,0.6756756756756686,0.8216867469879554,0.8902445214766198,0.31676063861358006,0.16571551631311254,0.039384136634976384
12PM,overall,442,0.8211234463178607,0.8506831837718217,0.5940754806420112,0.7059990662931628,0.8506831837718217,0.9904475043029429,1.0,0.28444843800978015,0.1445674041266517,0.02867985003421415
12PM,tier_1,327,0.8082826262470294,0.8414442700157052,0.5875789593489739,0.6884573391991371,0.8414442700157052,0.9706453428922591,1.0,0.282188003693122,0.14121468952188132,0.029739123450870434
12PM,tier_2,114,0.8563872323659286,0.8928874123103225,0.6185407000324759,0.7586757317203198,0.8928874123103225,1.0,1.0,0.24132426827968023,0.10711258768967746,0.023895812651283387
12PM,tier_3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12PM,state_BALANCED_ASIA,37,0.7915792179490676,0.7838312829525445,0.6315953250747394,0.6678200692041598,0.7838312829525445,0.9118541033434955,1.0,0.24403403413933566,0.1252946975867112,0.02067575938569008
12PM,state_FULL_LOOP,29,0.8170847701743275,0.8495145631067799,0.5870899667527328,0.6856516976998769,0.8495145631067799,0.9854227405247509,1.0,0.299771042824874,0.15048543689322014,0.029823973413464787
12PM,state_ONE_SIDED_DOWN,20,0.751453038158457,0.8327529325513165,0.4286036036036035,0.6257944150611574,0.8327529325513165,0.9008886356539064,1.0,0.275094220592749,0.14184434406895002,0.04169063476684419
12PM,state_ONE_SIDED_UP,20,0.8034713394854412,0.7899264038921375,0.5924298720472467,0.7013895203607661,0.7899264038921375,0.9776119402984443,1.0,0.27622241993767827,0.1614197123630976,0.027124833479352916
12PM,state_OVER_COMPLETED,80,0.8497304703092136,0.880064879422209,0.6130121330300016,0.7685450509881667,0.880064879422209,1.0,1.0,0.23145494901183328,0.11993512057779099,0.027012042517182987
12PM,state_PARTIAL_LOOP,256,0.823733393342611,0.8616361474873504,0.5858423999009575,0.714782772617163,0.8616361474873504,0.9857925035980346,1.0,0.27100973098087155,0.1349327894091535,0.02853917854647307
12PM,balance_BALANCED,52,0.8473858270725138,0.874631577111568,0.6872411441697062,0.7424300060864295,0.874631577111568,0.9703019987779773,1.0,0.2278719926915478,0.10986491170231161,0.01609259667662962
12PM,balance_DOWN_HEAVY,132,0.8174902182626794,0.8496298321838405,0.5583670340900746,0.7117584042488987,0.8496298321838405,1.0,1.0,0.2882415957511013,0.15037016781615953,0.03299246182435595
12PM,balance_DOWN_LEAN,79,0.8374368310377027,0.8812154696132776,0.6250491954459372,0.737118501061936,0.8812154696132776,0.979042145175224,1.0,0.24192364411328804,0.11878453038672243,0.021176275129486877
12PM,balance_UP_HEAVY,126,0.8086059828914046,0.8498387147781434,0.5318996653058187,0.6784351819145202,0.8498387147781434,0.9979953420815338,1.0,0.3195601601670136,0.15016128522185657,0.0349726249529072
12PM,balance_UP_LEAN,53,0.8098476973161234,0.8104738154613265,0.60945463262617,0.7167235494880597,0.8104738154613265,0.9826353421859036,1.0,0.26591179269784393,0.10917511416264547,0.02490725750955927
